lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
5,1,CNF,1,469,52,29,[16; 17],14,0.639338,0.750000,5,[(NOT X1) OR X2 >= 1.650000 OR X4 < 211.500000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.2926829268292683; 'recall': 0.08955223880597014; 'f1-score': 0.13714285714285715; 'support': 134}; '1.0': {'precision': 0.7149532710280374; 'recall': 0.9134328358208955; 'f1-score': 0.8020969855832242; 'support': 335}; 'accuracy': 0.6780383795309168; 'macro avg': {'precision': 0.5038180989286528; 'recall': 0.5014925373134328; 'f1-score': 0.46961992136304065; 'support': 469}; 'weighted avg': {'precision': 0.5943046012569605; 'recall': 0.6780383795309168; 'f1-score': 0.6121100917431194; 'support': 469}},{'0.0': {'precision': 0.6666666666666666; 'recall': 0.14285714285714285; 'f1-score': 0.23529411764705882; 'support': 14}; '1.0': {'precision': 0.7551020408163265; 'recall': 0.9736842105263158; 'f1-score': 0.8505747126436782; 'support': 38}; 'accuracy': 0.75; 'macro avg': {'precision': 0.7108843537414966; 'recall': 0.5582706766917294; 'f1-score': 0.5429344151453686; 'support': 52}; 'weighted avg': {'precision': 0.7312925170068026; 'recall': 0.75; 'f1-score': 0.6849222447599731; 'support': 52}}
5,1,CNF,2,469,52,29,[16; 17],14,0.652614,0.730769,3,[X4 >= 211.500000 OR X5 >= 61.500000 OR X6 < 59.500000],{'0.0': {'precision': 0.44; 'recall': 0.08208955223880597; 'f1-score': 0.13836477987421386; 'support': 134}; '1.0': {'precision': 0.722972972972973; 'recall': 0.9582089552238806; 'f1-score': 0.8241335044929397; 'support': 335}; 'accuracy': 0.7078891257995735; 'macro avg': {'precision': 0.5814864864864865; 'recall': 0.5201492537313432; 'f1-score': 0.48124914218357673; 'support': 469}; 'weighted avg': {'precision': 0.6421235521235522; 'recall': 0.7078891257995735; 'f1-score': 0.6281995831733037; 'support': 469}},{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 14}; '1.0': {'precision': 0.7307692307692307; 'recall': 1.0; 'f1-score': 0.8444444444444443; 'support': 38}; 'accuracy': 0.7307692307692307; 'macro avg': {'precision': 0.36538461538461536; 'recall': 0.5; 'f1-score': 0.42222222222222217; 'support': 52}; 'weighted avg': {'precision': 0.5340236686390532; 'recall': 0.7307692307692307; 'f1-score': 0.6170940170940169; 'support': 52}}
5,1,CNF,3,469,52,29,[16; 17],14,0.618144,0.673077,4,[X1 OR X2 >= 1.650000 OR X3 >= 1.250000 OR X9 < 0.895000],{'0.0': {'precision': 0.484375; 'recall': 0.23308270676691728; 'f1-score': 0.3147208121827411; 'support': 133}; '1.0': {'precision': 0.7481481481481481; 'recall': 0.9017857142857143; 'f1-score': 0.8178137651821862; 'support': 336}; 'accuracy': 0.7121535181236673; 'macro avg': {'precision': 0.616261574074074; 'recall': 0.5674342105263158; 'f1-score': 0.5662672886824637; 'support': 469}; 'weighted avg': {'precision': 0.673346807628524; 'recall': 0.7121535181236673; 'f1-score': 0.6751456143315974; 'support': 469}},{'0.0': {'precision': 0.375; 'recall': 0.2; 'f1-score': 0.26086956521739135; 'support': 15}; '1.0': {'precision': 0.7272727272727273; 'recall': 0.8648648648648649; 'f1-score': 0.7901234567901235; 'support': 37}; 'accuracy': 0.6730769230769231; 'macro avg': {'precision': 0.5511363636363636; 'recall': 0.5324324324324324; 'f1-score': 0.5254965110037575; 'support': 52}; 'weighted avg': {'precision': 0.6256555944055944; 'recall': 0.6730769230769231; 'f1-score': 0.6374540649902969; 'support': 52}}
5,1,CNF,4,469,52,29,[16; 17],14,0.610217,0.711538,4,[X2 >= 1.650000 OR X3 >= 1.250000 OR X4 >= 211.500000 OR X6 >= 59.500000],{'0.0': {'precision': 0.5085714285714286; 'recall': 0.6691729323308271; 'f1-score': 0.5779220779220778; 'support': 133}; '1.0': {'precision': 0.8503401360544217; 'recall': 0.7440476190476191; 'f1-score': 0.7936507936507937; 'support': 336}; 'accuracy': 0.7228144989339019; 'macro avg': {'precision': 0.6794557823129251; 'recall': 0.7066102756892231; 'f1-score': 0.6857864357864358; 'support': 469}; 'weighted avg': {'precision': 0.7534206518428267; 'recall': 0.7228144989339019; 'f1-score': 0.7324739936680235; 'support': 469}},{'0.0': {'precision': 0.5; 'recall': 0.5333333333333333; 'f1-score': 0.5161290322580646; 'support': 15}; '1.0': {'precision': 0.8055555555555556; 'recall': 0.7837837837837838; 'f1-score': 0.7945205479452055; 'support': 37}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.6527777777777778; 'recall': 0.6585585585585585; 'f1-score': 0.655324790101635; 'support': 52}; 'weighted avg': {'precision': 0.7174145299145299; 'recall': 0.7115384615384616; 'f1-score': 0.7142153030354533; 'support': 52}}
5,1,CNF,5,469,52,29,[16; 17],14,0.646100,0.711538,3,[X2 >= 1.650000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.4656084656084656; 'recall': 0.6616541353383458; 'f1-score': 0.5465838509316769; 'support': 133}; '1.0': {'precision': 0.8392857142857143; 'recall': 0.6994047619047619; 'f1-score': 0.7629870129870129; 'support': 336}; 'accuracy': 0.6886993603411514; 'macro avg': {'precision': 0.65244708994709; 'recall': 0.6805294486215538; 'f1-score': 0.6547854319593449; 'support': 469}; 'weighted avg': {'precision': 0.7333175392876885; 'recall': 0.6886993603411514; 'f1-score': 0.701618952105649; 'support': 469}},{'0.0': {'precision': 0.5; 'recall': 0.8; 'f1-score': 0.6153846153846154; 'support': 15}; '1.0': {'precision': 0.8928571428571429; 'recall': 0.6756756756756757; 'f1-score': 0.7692307692307693; 'support': 37}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.6964285714285714; 'recall': 0.7378378378378379; 'f1-score': 0.6923076923076923; 'support': 52}; 'weighted avg': {'precision': 0.779532967032967; 'recall': 0.7115384615384616; 'f1-score': 0.7248520710059172; 'support': 52}}
5,1,CNF,6,469,52,29,[16; 17],14,0.645976,0.673077,4,[X2 >= 1.650000 OR X4 >= 211.500000 OR X5 >= 61.500000 OR X6 < 59.500000],{'0.0': {'precision': 0.6153846153846154; 'recall': 0.06015037593984962; 'f1-score': 0.1095890410958904; 'support': 133}; '1.0': {'precision': 0.7258771929824561; 'recall': 0.9851190476190477; 'f1-score': 0.835858585858586; 'support': 336}; 'accuracy': 0.7228144989339019; 'macro avg': {'precision': 0.6706309041835358; 'recall': 0.5226347117794486; 'f1-score': 0.4727238134772382; 'support': 469}; 'weighted avg': {'precision': 0.6945434769472476; 'recall': 0.7228144989339019; 'f1-score': 0.6299015507766275; 'support': 469}},{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 15}; '1.0': {'precision': 0.7; 'recall': 0.9459459459459459; 'f1-score': 0.8045977011494254; 'support': 37}; 'accuracy': 0.6730769230769231; 'macro avg': {'precision': 0.35; 'recall': 0.47297297297297297; 'f1-score': 0.4022988505747127; 'support': 52}; 'weighted avg': {'precision': 0.49807692307692303; 'recall': 0.6730769230769231; 'f1-score': 0.572502210433245; 'support': 52}}
5,1,CNF,7,469,52,29,[16; 17],14,0.646305,0.692308,3,[X1 OR X2 >= 1.650000 OR X6 >= 59.500000],{'0.0': {'precision': 0.44594594594594594; 'recall': 0.24812030075187969; 'f1-score': 0.31884057971014496; 'support': 133}; '1.0': {'precision': 0.7468354430379747; 'recall': 0.8779761904761905; 'f1-score': 0.8071135430916553; 'support': 336}; 'accuracy': 0.6993603411513859; 'macro avg': {'precision': 0.5963906944919604; 'recall': 0.5630482456140351; 'f1-score': 0.5629770614009001; 'support': 469}; 'weighted avg': {'precision': 0.6615085707282949; 'recall': 0.6993603411513859; 'f1-score': 0.6686480758640628; 'support': 469}},{'0.0': {'precision': 0.45454545454545453; 'recall': 0.3333333333333333; 'f1-score': 0.3846153846153846; 'support': 15}; '1.0': {'precision': 0.7560975609756098; 'recall': 0.8378378378378378; 'f1-score': 0.7948717948717948; 'support': 37}; 'accuracy': 0.6923076923076923; 'macro avg': {'precision': 0.6053215077605322; 'recall': 0.5855855855855856; 'f1-score': 0.5897435897435896; 'support': 52}; 'weighted avg': {'precision': 0.6691113764284496; 'recall': 0.6923076923076923; 'f1-score': 0.6765285996055226; 'support': 52}}
5,1,CNF,8,469,52,29,[16; 17],14,0.617266,0.673077,4,[X1 OR X2 >= 1.650000 OR X3 >= 1.250000 OR X4 >= 211.500000],{'0.0': {'precision': 0.5081967213114754; 'recall': 0.23308270676691728; 'f1-score': 0.31958762886597936; 'support': 133}; '1.0': {'precision': 0.75; 'recall': 0.9107142857142857; 'f1-score': 0.8225806451612904; 'support': 336}; 'accuracy': 0.7185501066098081; 'macro avg': {'precision': 0.6290983606557377; 'recall': 0.5718984962406015; 'f1-score': 0.5710841370136348; 'support': 469}; 'weighted avg': {'precision': 0.6814289209689259; 'recall': 0.7185501066098081; 'f1-score': 0.6799408345700827; 'support': 469}},{'0.0': {'precision': 0.4; 'recall': 0.26666666666666666; 'f1-score': 0.32; 'support': 15}; '1.0': {'precision': 0.7380952380952381; 'recall': 0.8378378378378378; 'f1-score': 0.7848101265822786; 'support': 37}; 'accuracy': 0.6730769230769231; 'macro avg': {'precision': 0.569047619047619; 'recall': 0.5522522522522523; 'f1-score': 0.5524050632911393; 'support': 52}; 'weighted avg': {'precision': 0.6405677655677656; 'recall': 0.6730769230769231; 'f1-score': 0.650730282375852; 'support': 52}}
5,1,CNF,9,469,52,29,[16; 17],14,0.621987,0.634615,3,[(NOT X1) OR X3 >= 1.250000 OR X9 < 0.895000],{'0.0': {'precision': 0.39204545454545453; 'recall': 0.518796992481203; 'f1-score': 0.44660194174757284; 'support': 133}; '1.0': {'precision': 0.7815699658703071; 'recall': 0.6815476190476191; 'f1-score': 0.7281399046104928; 'support': 336}; 'accuracy': 0.6353944562899787; 'macro avg': {'precision': 0.5868077102078808; 'recall': 0.600172305764411; 'f1-score': 0.5873709231790328; 'support': 469}; 'weighted avg': {'precision': 0.6711077910169907; 'recall': 0.6353944562899787; 'f1-score': 0.6483007808135454; 'support': 469}},{'0.0': {'precision': 0.3888888888888889; 'recall': 0.4666666666666667; 'f1-score': 0.42424242424242425; 'support': 15}; '1.0': {'precision': 0.7647058823529411; 'recall': 0.7027027027027027; 'f1-score': 0.7323943661971832; 'support': 37}; 'accuracy': 0.6346153846153846; 'macro avg': {'precision': 0.576797385620915; 'recall': 0.5846846846846847; 'f1-score': 0.5783183952198038; 'support': 52}; 'weighted avg': {'precision': 0.6562971342383107; 'recall': 0.6346153846153846; 'f1-score': 0.6435043829410028; 'support': 52}}
5,1,CNF,0,468,53,14,[33; 34],14,0.323857,0.698113,2,[X1 OR X3 >= 1.250000],{'0.0': {'precision': 0.41; 'recall': 0.3082706766917293; 'f1-score': 0.35193133047210295; 'support': 133}; '1.0': {'precision': 0.75; 'recall': 0.8238805970149253; 'f1-score': 0.7852062588904694; 'support': 335}; 'accuracy': 0.6773504273504274; 'macro avg': {'precision': 0.58; 'recall': 0.5660756368533273; 'f1-score': 0.5685687946812862; 'support': 468}; 'weighted avg': {'precision': 0.6533760683760683; 'recall': 0.6773504273504274; 'f1-score': 0.6620747087202925; 'support': 468}},{'0.0': {'precision': 0.42857142857142855; 'recall': 0.2; 'f1-score': 0.27272727272727276; 'support': 15}; '1.0': {'precision': 0.7391304347826086; 'recall': 0.8947368421052632; 'f1-score': 0.8095238095238095; 'support': 38}; 'accuracy': 0.6981132075471698; 'macro avg': {'precision': 0.5838509316770186; 'recall': 0.5473684210526316; 'f1-score': 0.5411255411255411; 'support': 53}; 'weighted avg': {'precision': 0.6512363764209539; 'recall': 0.6981132075471698; 'f1-score': 0.6576002613738463; 'support': 53}}
