lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
5,1,CNF,1,469,53,29,[16; 17],14,0.652446,0.716981,3,[X1 OR X4 >= 211.500000 OR X5 >= 61.500000],{'0.0': {'precision': 0.45; 'recall': 0.20149253731343283; 'f1-score': 0.27835051546391754; 'support': 134}; '1.0': {'precision': 0.7383863080684596; 'recall': 0.9014925373134328; 'f1-score': 0.8118279569892473; 'support': 335}; 'accuracy': 0.7014925373134329; 'macro avg': {'precision': 0.5941931540342298; 'recall': 0.5514925373134328; 'f1-score': 0.5450892362265825; 'support': 469}; 'weighted avg': {'precision': 0.6559902200488997; 'recall': 0.7014925373134329; 'f1-score': 0.659405830839153; 'support': 469}},{'0.0': {'precision': 0.5; 'recall': 0.4666666666666667; 'f1-score': 0.4827586206896552; 'support': 15}; '1.0': {'precision': 0.7948717948717948; 'recall': 0.8157894736842105; 'f1-score': 0.8051948051948051; 'support': 38}; 'accuracy': 0.7169811320754716; 'macro avg': {'precision': 0.6474358974358974; 'recall': 0.6412280701754386; 'f1-score': 0.6439767129422301; 'support': 53}; 'weighted avg': {'precision': 0.7114175133043057; 'recall': 0.7169811320754716; 'f1-score': 0.7139392812782533; 'support': 53}}
5,1,CNF,2,470,52,29,[16; 17],14,0.630821,0.711538,4,[X2 >= 1.650000 OR X4 >= 211.500000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5337837837837838; 'recall': 0.5851851851851851; 'f1-score': 0.558303886925795; 'support': 135}; '1.0': {'precision': 0.8260869565217391; 'recall': 0.7940298507462686; 'f1-score': 0.8097412480974124; 'support': 335}; 'accuracy': 0.7340425531914894; 'macro avg': {'precision': 0.6799353701527615; 'recall': 0.6896075179657268; 'f1-score': 0.6840225675116037; 'support': 470}; 'weighted avg': {'precision': 0.7421275345650925; 'recall': 0.7340425531914894; 'f1-score': 0.7375198783991819; 'support': 470}},{'0.0': {'precision': 0.45454545454545453; 'recall': 0.35714285714285715; 'f1-score': 0.4; 'support': 14}; '1.0': {'precision': 0.7804878048780488; 'recall': 0.8421052631578947; 'f1-score': 0.810126582278481; 'support': 38}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.6175166297117517; 'recall': 0.599624060150376; 'f1-score': 0.6050632911392405; 'support': 52}; 'weighted avg': {'precision': 0.6927340951731196; 'recall': 0.7115384615384616; 'f1-score': 0.6997078870496592; 'support': 52}}
5,1,CNF,3,470,52,29,[16; 17],14,0.634491,0.730769,3,[X4 >= 211.500000 OR X5 >= 61.500000 OR X6 >= 59.500000],{'0.0': {'precision': 0.45077720207253885; 'recall': 0.6492537313432836; 'f1-score': 0.5321100917431193; 'support': 134}; '1.0': {'precision': 0.8303249097472925; 'recall': 0.6845238095238095; 'f1-score': 0.7504078303425775; 'support': 336}; 'accuracy': 0.674468085106383; 'macro avg': {'precision': 0.6405510559099157; 'recall': 0.6668887704335466; 'f1-score': 0.6412589610428484; 'support': 470}; 'weighted avg': {'precision': 0.7221134356442775; 'recall': 0.674468085106383; 'f1-score': 0.6881697516780511; 'support': 470}},{'0.0': {'precision': 0.5217391304347826; 'recall': 0.8; 'f1-score': 0.6315789473684211; 'support': 15}; '1.0': {'precision': 0.896551724137931; 'recall': 0.7027027027027027; 'f1-score': 0.787878787878788; 'support': 37}; 'accuracy': 0.7307692307692307; 'macro avg': {'precision': 0.7091454272863569; 'recall': 0.7513513513513514; 'f1-score': 0.7097288676236045; 'support': 52}; 'weighted avg': {'precision': 0.7884327067235615; 'recall': 0.7307692307692307; 'f1-score': 0.7427922954238745; 'support': 52}}
5,1,CNF,4,470,52,29,[16; 17],14,0.639342,0.634615,4,[X2 >= 1.650000 OR X4 >= 211.500000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5448275862068965; 'recall': 0.5895522388059702; 'f1-score': 0.5663082437275986; 'support': 134}; '1.0': {'precision': 0.8307692307692308; 'recall': 0.8035714285714286; 'f1-score': 0.816944024205749; 'support': 336}; 'accuracy': 0.7425531914893617; 'macro avg': {'precision': 0.6877984084880637; 'recall': 0.6965618336886994; 'f1-score': 0.6916261339666738; 'support': 470}; 'weighted avg': {'precision': 0.749245442745076; 'recall': 0.7425531914893617; 'f1-score': 0.7454861633885741; 'support': 470}},{'0.0': {'precision': 0.35714285714285715; 'recall': 0.3333333333333333; 'f1-score': 0.3448275862068965; 'support': 15}; '1.0': {'precision': 0.7368421052631579; 'recall': 0.7567567567567568; 'f1-score': 0.7466666666666667; 'support': 37}; 'accuracy': 0.6346153846153846; 'macro avg': {'precision': 0.5469924812030075; 'recall': 0.545045045045045; 'f1-score': 0.5457471264367816; 'support': 52}; 'weighted avg': {'precision': 0.6273134759976865; 'recall': 0.6346153846153846; 'f1-score': 0.6307515473032714; 'support': 52}}
5,1,CNF,5,470,52,29,[16; 17],14,0.646805,0.750000,5,[X3 >= 1.250000 OR X4 < 211.500000 OR X5 >= 61.500000 OR X6 >= 59.500000 OR X9 >= 0.895000],{'0.0': {'precision': 0.25; 'recall': 0.05970149253731343; 'f1-score': 0.09638554216867469; 'support': 134}; '1.0': {'precision': 0.7123287671232876; 'recall': 0.9285714285714286; 'f1-score': 0.8062015503875969; 'support': 336}; 'accuracy': 0.6808510638297872; 'macro avg': {'precision': 0.4811643835616438; 'recall': 0.494136460554371; 'f1-score': 0.4512935462781358; 'support': 470}; 'weighted avg': {'precision': 0.5805158845817546; 'recall': 0.6808510638297872; 'f1-score': 0.6038284757039042; 'support': 470}},{'0.0': {'precision': 1.0; 'recall': 0.13333333333333333; 'f1-score': 0.23529411764705882; 'support': 15}; '1.0': {'precision': 0.74; 'recall': 1.0; 'f1-score': 0.8505747126436781; 'support': 37}; 'accuracy': 0.75; 'macro avg': {'precision': 0.87; 'recall': 0.5666666666666667; 'f1-score': 0.5429344151453684; 'support': 52}; 'weighted avg': {'precision': 0.815; 'recall': 0.75; 'f1-score': 0.6730899256254226; 'support': 52}}
5,1,CNF,6,470,52,29,[16; 17],14,0.645906,0.673077,6,[X1 OR X2 >= 1.650000 OR X3 >= 1.250000 OR X4 >= 211.500000 OR X6 >= 59.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5306122448979592; 'recall': 0.19402985074626866; 'f1-score': 0.28415300546448086; 'support': 134}; '1.0': {'precision': 0.7434679334916865; 'recall': 0.9315476190476191; 'f1-score': 0.8269484808454426; 'support': 336}; 'accuracy': 0.7212765957446808; 'macro avg': {'precision': 0.6370400891948229; 'recall': 0.5627887348969438; 'f1-score': 0.5555507431549618; 'support': 470}; 'weighted avg': {'precision': 0.6827814180202834; 'recall': 0.7212765957446808; 'f1-score': 0.6721940261623599; 'support': 470}},{'0.0': {'precision': 0.3333333333333333; 'recall': 0.13333333333333333; 'f1-score': 0.19047619047619044; 'support': 15}; '1.0': {'precision': 0.717391304347826; 'recall': 0.8918918918918919; 'f1-score': 0.7951807228915664; 'support': 37}; 'accuracy': 0.6730769230769231; 'macro avg': {'precision': 0.5253623188405797; 'recall': 0.5126126126126126; 'f1-score': 0.4928284566838784; 'support': 52}; 'weighted avg': {'precision': 0.6066053511705685; 'recall': 0.6730769230769231; 'f1-score': 0.6207467231563618; 'support': 52}}
5,1,CNF,7,470,52,29,[16; 17],14,0.614355,0.653846,2,[X4 >= 211.500000 OR X6 < 59.500000],{'0.0': {'precision': 0.25; 'recall': 0.08955223880597014; 'f1-score': 0.13186813186813187; 'support': 134}; '1.0': {'precision': 0.7109004739336493; 'recall': 0.8928571428571429; 'f1-score': 0.79155672823219; 'support': 336}; 'accuracy': 0.6638297872340425; 'macro avg': {'precision': 0.48045023696682465; 'recall': 0.49120469083155655; 'f1-score': 0.46171243005016094; 'support': 470}; 'weighted avg': {'precision': 0.5794948068972471; 'recall': 0.6638297872340425; 'f1-score': 0.6034752986305225; 'support': 470}},{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 15}; '1.0': {'precision': 0.6938775510204082; 'recall': 0.918918918918919; 'f1-score': 0.7906976744186046; 'support': 37}; 'accuracy': 0.6538461538461539; 'macro avg': {'precision': 0.3469387755102041; 'recall': 0.4594594594594595; 'f1-score': 0.3953488372093023; 'support': 52}; 'weighted avg': {'precision': 0.4937205651491366; 'recall': 0.6538461538461539; 'f1-score': 0.5626118067978533; 'support': 52}}
5,1,CNF,8,470,52,29,[16; 17],14,0.626035,0.653846,5,[X2 >= 1.650000 OR X3 >= 1.250000 OR X4 < 211.500000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.34782608695652173; 'recall': 0.11940298507462686; 'f1-score': 0.17777777777777776; 'support': 134}; '1.0': {'precision': 0.7216981132075472; 'recall': 0.9107142857142857; 'f1-score': 0.8052631578947368; 'support': 336}; 'accuracy': 0.6851063829787234; 'macro avg': {'precision': 0.5347621000820344; 'recall': 0.5150586353944563; 'f1-score': 0.49152046783625725; 'support': 470}; 'weighted avg': {'precision': 0.6151048121061911; 'recall': 0.6851063829787234; 'f1-score': 0.6263630707975612; 'support': 470}},{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 15}; '1.0': {'precision': 0.6938775510204082; 'recall': 0.918918918918919; 'f1-score': 0.7906976744186046; 'support': 37}; 'accuracy': 0.6538461538461539; 'macro avg': {'precision': 0.3469387755102041; 'recall': 0.4594594594594595; 'f1-score': 0.3953488372093023; 'support': 52}; 'weighted avg': {'precision': 0.4937205651491366; 'recall': 0.6538461538461539; 'f1-score': 0.5626118067978533; 'support': 52}}
5,1,CNF,9,470,52,29,[16; 17],14,0.583656,0.673077,4,[(NOT X1) OR X3 >= 1.250000 OR X4 >= 211.500000 OR X6 >= 59.500000],{'0.0': {'precision': 0.48091603053435117; 'recall': 0.4701492537313433; 'f1-score': 0.4754716981132076; 'support': 134}; '1.0': {'precision': 0.7905604719764012; 'recall': 0.7976190476190477; 'f1-score': 0.7940740740740742; 'support': 336}; 'accuracy': 0.7042553191489361; 'macro avg': {'precision': 0.6357382512553762; 'recall': 0.6338841506751955; 'f1-score': 0.6347728860936409; 'support': 470}; 'weighted avg': {'precision': 0.7022788652673913; 'recall': 0.7042553191489361; 'f1-score': 0.7032385030554441; 'support': 470}},{'0.0': {'precision': 0.4; 'recall': 0.26666666666666666; 'f1-score': 0.32; 'support': 15}; '1.0': {'precision': 0.7380952380952381; 'recall': 0.8378378378378378; 'f1-score': 0.7848101265822786; 'support': 37}; 'accuracy': 0.6730769230769231; 'macro avg': {'precision': 0.569047619047619; 'recall': 0.5522522522522523; 'f1-score': 0.5524050632911393; 'support': 52}; 'weighted avg': {'precision': 0.6405677655677656; 'recall': 0.6730769230769231; 'f1-score': 0.650730282375852; 'support': 52}}
5,1,CNF,0,469,53,14,[33; 34],14,0.315934,0.754717,3,[X3 >= 1.250000 OR X6 < 59.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.26; 'recall': 0.09701492537313433; 'f1-score': 0.14130434782608697; 'support': 134}; '1.0': {'precision': 0.711217183770883; 'recall': 0.8895522388059701; 'f1-score': 0.7904509283819628; 'support': 335}; 'accuracy': 0.6631130063965884; 'macro avg': {'precision': 0.48560859188544153; 'recall': 0.49328358208955225; 'f1-score': 0.46587763810402494; 'support': 469}; 'weighted avg': {'precision': 0.5822979884077737; 'recall': 0.6631130063965884; 'f1-score': 0.6049804767945698; 'support': 469}},{'0.0': {'precision': 0.75; 'recall': 0.2; 'f1-score': 0.31578947368421056; 'support': 15}; '1.0': {'precision': 0.7551020408163265; 'recall': 0.9736842105263158; 'f1-score': 0.8505747126436782; 'support': 38}; 'accuracy': 0.7547169811320755; 'macro avg': {'precision': 0.7525510204081632; 'recall': 0.5868421052631579; 'f1-score': 0.5831820931639444; 'support': 53}; 'weighted avg': {'precision': 0.7536580670003851; 'recall': 0.7547169811320755; 'f1-score': 0.6992203997306213; 'support': 53}}
