l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,DNF,0,460,52,1,[460; 460],122,4.545670,0.923077,4,[X7 >= 0.051420 AND X13 >= 18.515000 AND X20 >= 14.905000 AND X26 >= 0.216400],{'0.0': {'precision': 0.9313725490196079; 'recall': 0.986159169550173; 'f1-score': 0.957983193277311; 'support': 289}; '1.0': {'precision': 0.974025974025974; 'recall': 0.8771929824561403; 'f1-score': 0.9230769230769231; 'support': 171}; 'accuracy': 0.9456521739130435; 'macro avg': {'precision': 0.9526992615227909; 'recall': 0.9316760760031566; 'f1-score': 0.940530058177117; 'support': 460}; 'weighted avg': {'precision': 0.9472284961415396; 'recall': 0.9456521739130435; 'f1-score': 0.9450071667462973; 'support': 460}},{'0.0': {'precision': 0.9142857142857143; 'recall': 0.9696969696969697; 'f1-score': 0.9411764705882354; 'support': 33}; '1.0': {'precision': 0.9411764705882353; 'recall': 0.8421052631578947; 'f1-score': 0.8888888888888888; 'support': 19}; 'accuracy': 0.9230769230769231; 'macro avg': {'precision': 0.9277310924369748; 'recall': 0.9059011164274322; 'f1-score': 0.9150326797385622; 'support': 52}; 'weighted avg': {'precision': 0.9241111829347124; 'recall': 0.9230769230769231; 'f1-score': 0.922071392659628; 'support': 52}}
l: 5,1,DNF,1,460,52,1,[460; 460],122,3.644408,0.961538,4,[X7 >= 0.051420 AND X13 >= 18.515000 AND X20 >= 14.905000 AND X26 >= 0.216400],{'0.0': {'precision': 0.9253246753246753; 'recall': 0.986159169550173; 'f1-score': 0.9547738693467337; 'support': 289}; '1.0': {'precision': 0.9736842105263158; 'recall': 0.8654970760233918; 'f1-score': 0.9164086687306502; 'support': 171}; 'accuracy': 0.941304347826087; 'macro avg': {'precision': 0.9495044429254955; 'recall': 0.9258281227867824; 'f1-score': 0.9355912690386919; 'support': 460}; 'weighted avg': {'precision': 0.9433018068887634; 'recall': 0.941304347826087; 'f1-score': 0.9405120230307548; 'support': 460}},{'0.0': {'precision': 0.9696969696969697; 'recall': 0.9696969696969697; 'f1-score': 0.9696969696969697; 'support': 33}; '1.0': {'precision': 0.9473684210526315; 'recall': 0.9473684210526315; 'f1-score': 0.9473684210526315; 'support': 19}; 'accuracy': 0.9615384615384616; 'macro avg': {'precision': 0.9585326953748006; 'recall': 0.9585326953748006; 'f1-score': 0.9585326953748006; 'support': 52}; 'weighted avg': {'precision': 0.9615384615384616; 'recall': 0.9615384615384616; 'f1-score': 0.9615384615384616; 'support': 52}}
l: 5,1,DNF,2,461,51,1,[461; 461],122,3.251808,0.960784,4,[X7 >= 0.051420 AND X13 >= 18.515000 AND X20 >= 14.905000 AND X26 >= 0.216400],{'0.0': {'precision': 0.9283387622149837; 'recall': 0.9827586206896551; 'f1-score': 0.9547738693467336; 'support': 290}; '1.0': {'precision': 0.9675324675324676; 'recall': 0.8713450292397661; 'f1-score': 0.9169230769230768; 'support': 171}; 'accuracy': 0.9414316702819957; 'macro avg': {'precision': 0.9479356148737257; 'recall': 0.9270518249647106; 'f1-score': 0.9358484731349053; 'support': 461}; 'weighted avg': {'precision': 0.9428769913023801; 'recall': 0.9414316702819957; 'f1-score': 0.9407337706386093; 'support': 461}},{'0.0': {'precision': 0.9411764705882353; 'recall': 1.0; 'f1-score': 0.9696969696969697; 'support': 32}; '1.0': {'precision': 1.0; 'recall': 0.8947368421052632; 'f1-score': 0.9444444444444444; 'support': 19}; 'accuracy': 0.9607843137254902; 'macro avg': {'precision': 0.9705882352941176; 'recall': 0.9473684210526316; 'f1-score': 0.9570707070707071; 'support': 51}; 'weighted avg': {'precision': 0.9630911188004614; 'recall': 0.9607843137254902; 'f1-score': 0.960289166171519; 'support': 51}}
l: 5,1,DNF,3,461,51,1,[461; 461],122,3.862577,0.921569,4,[X13 >= 18.515000 AND X20 >= 14.905000 AND X26 >= 0.216400 AND X27 >= 0.109550],{'0.0': {'precision': 0.9459459459459459; 'recall': 0.9655172413793104; 'f1-score': 0.9556313993174061; 'support': 290}; '1.0': {'precision': 0.9393939393939394; 'recall': 0.9064327485380117; 'f1-score': 0.9226190476190477; 'support': 171}; 'accuracy': 0.9436008676789588; 'macro avg': {'precision': 0.9426699426699428; 'recall': 0.9359749949586611; 'f1-score': 0.9391252234682269; 'support': 461}; 'weighted avg': {'precision': 0.9435155921056139; 'recall': 0.9436008676789588; 'f1-score': 0.9433860367568436; 'support': 461}},{'0.0': {'precision': 0.9666666666666667; 'recall': 0.90625; 'f1-score': 0.9354838709677419; 'support': 32}; '1.0': {'precision': 0.8571428571428571; 'recall': 0.9473684210526315; 'f1-score': 0.9; 'support': 19}; 'accuracy': 0.9215686274509803; 'macro avg': {'precision': 0.9119047619047619; 'recall': 0.9268092105263157; 'f1-score': 0.917741935483871; 'support': 51}; 'weighted avg': {'precision': 0.9258636788048552; 'recall': 0.9215686274509803; 'f1-score': 0.9222643896268184; 'support': 51}}
l: 5,1,DNF,4,461,51,1,[461; 461],122,2.728981,0.862745,4,[X10 >= 0.193650 AND X20 >= 14.905000 AND X22 >= 101.650000 AND X26 >= 0.216400],{'0.0': {'precision': 0.9554794520547946; 'recall': 0.9620689655172414; 'f1-score': 0.9587628865979381; 'support': 290}; '1.0': {'precision': 0.9349112426035503; 'recall': 0.9239766081871345; 'f1-score': 0.9294117647058824; 'support': 171}; 'accuracy': 0.9479392624728851; 'macro avg': {'precision': 0.9451953473291724; 'recall': 0.9430227868521879; 'f1-score': 0.9440873256519102; 'support': 461}; 'weighted avg': {'precision': 0.9478500294600813; 'recall': 0.9479392624728851; 'f1-score': 0.9478755940956788; 'support': 461}},{'0.0': {'precision': 0.9629629629629629; 'recall': 0.8125; 'f1-score': 0.8813559322033898; 'support': 32}; '1.0': {'precision': 0.75; 'recall': 0.9473684210526315; 'f1-score': 0.8372093023255814; 'support': 19}; 'accuracy': 0.8627450980392157; 'macro avg': {'precision': 0.8564814814814814; 'recall': 0.8799342105263157; 'f1-score': 0.8592826172644856; 'support': 51}; 'weighted avg': {'precision': 0.8836238198983296; 'recall': 0.8627450980392157; 'f1-score': 0.864909148523422; 'support': 51}}
l: 5,1,DNF,5,461,51,1,[461; 461],122,4.332137,0.960784,4,[X7 >= 0.051420 AND X10 >= 0.193650 AND X23 >= 696.050000 AND X26 >= 0.216400],{'0.0': {'precision': 0.9283387622149837; 'recall': 0.9827586206896551; 'f1-score': 0.9547738693467336; 'support': 290}; '1.0': {'precision': 0.9675324675324676; 'recall': 0.8713450292397661; 'f1-score': 0.9169230769230768; 'support': 171}; 'accuracy': 0.9414316702819957; 'macro avg': {'precision': 0.9479356148737257; 'recall': 0.9270518249647106; 'f1-score': 0.9358484731349053; 'support': 461}; 'weighted avg': {'precision': 0.9428769913023801; 'recall': 0.9414316702819957; 'f1-score': 0.9407337706386093; 'support': 461}},{'0.0': {'precision': 0.9411764705882353; 'recall': 1.0; 'f1-score': 0.9696969696969697; 'support': 32}; '1.0': {'precision': 1.0; 'recall': 0.8947368421052632; 'f1-score': 0.9444444444444444; 'support': 19}; 'accuracy': 0.9607843137254902; 'macro avg': {'precision': 0.9705882352941176; 'recall': 0.9473684210526316; 'f1-score': 0.9570707070707071; 'support': 51}; 'weighted avg': {'precision': 0.9630911188004614; 'recall': 0.9607843137254902; 'f1-score': 0.960289166171519; 'support': 51}}
l: 5,1,DNF,6,461,51,1,[461; 461],122,4.345790,0.921569,4,[X13 >= 18.515000 AND X22 >= 101.650000 AND X26 >= 0.216400 AND X27 >= 0.109550],{'0.0': {'precision': 0.9461279461279462; 'recall': 0.9689655172413794; 'f1-score': 0.9574105621805792; 'support': 290}; '1.0': {'precision': 0.9451219512195121; 'recall': 0.9064327485380117; 'f1-score': 0.9253731343283581; 'support': 171}; 'accuracy': 0.9457700650759219; 'macro avg': {'precision': 0.9456249486737291; 'recall': 0.9376991328896955; 'f1-score': 0.9413918482544686; 'support': 461}; 'weighted avg': {'precision': 0.9457547896651648; 'recall': 0.9457700650759219; 'f1-score': 0.9455268308080632; 'support': 461}},{'0.0': {'precision': 0.9117647058823529; 'recall': 0.96875; 'f1-score': 0.9393939393939394; 'support': 32}; '1.0': {'precision': 0.9411764705882353; 'recall': 0.8421052631578947; 'f1-score': 0.8888888888888888; 'support': 19}; 'accuracy': 0.9215686274509803; 'macro avg': {'precision': 0.9264705882352942; 'recall': 0.9054276315789473; 'f1-score': 0.9141414141414141; 'support': 51}; 'weighted avg': {'precision': 0.9227220299884661; 'recall': 0.9215686274509803; 'f1-score': 0.9205783323430382; 'support': 51}}
l: 5,1,DNF,7,461,51,1,[461; 461],122,2.639436,0.901961,4,[X13 >= 18.515000 AND X22 >= 101.650000 AND X26 >= 0.216400 AND X27 >= 0.109550],{'0.0': {'precision': 0.9493243243243243; 'recall': 0.9689655172413794; 'f1-score': 0.9590443686006827; 'support': 290}; '1.0': {'precision': 0.9454545454545454; 'recall': 0.9122807017543859; 'f1-score': 0.9285714285714285; 'support': 171}; 'accuracy': 0.9479392624728851; 'macro avg': {'precision': 0.947389434889435; 'recall': 0.9406231094978826; 'f1-score': 0.9438078985860556; 'support': 461}; 'weighted avg': {'precision': 0.9478888965873781; 'recall': 0.9479392624728851; 'f1-score': 0.9477409570063172; 'support': 461}},{'0.0': {'precision': 0.8857142857142857; 'recall': 0.96875; 'f1-score': 0.9253731343283582; 'support': 32}; '1.0': {'precision': 0.9375; 'recall': 0.7894736842105263; 'f1-score': 0.8571428571428572; 'support': 19}; 'accuracy': 0.9019607843137255; 'macro avg': {'precision': 0.9116071428571428; 'recall': 0.8791118421052632; 'f1-score': 0.8912579957356077; 'support': 51}; 'weighted avg': {'precision': 0.9050070028011205; 'recall': 0.9019607843137255; 'f1-score': 0.8999540114553285; 'support': 51}}
l: 5,1,DNF,8,461,51,1,[461; 461],122,1.811244,0.862745,4,[X7 >= 0.051420 AND X10 >= 0.193650 AND X23 >= 696.050000 AND X26 >= 0.216400],{'0.0': {'precision': 0.9437086092715232; 'recall': 0.9827586206896551; 'f1-score': 0.9628378378378379; 'support': 290}; '1.0': {'precision': 0.9685534591194969; 'recall': 0.9005847953216374; 'f1-score': 0.9333333333333332; 'support': 171}; 'accuracy': 0.9522776572668112; 'macro avg': {'precision': 0.95613103419551; 'recall': 0.9416717080056463; 'f1-score': 0.9480855855855856; 'support': 461}; 'weighted avg': {'precision': 0.9529243778702293; 'recall': 0.9522776572668112; 'f1-score': 0.9518936507005923; 'support': 461}},{'0.0': {'precision': 0.8205128205128205; 'recall': 1.0; 'f1-score': 0.9014084507042254; 'support': 32}; '1.0': {'precision': 1.0; 'recall': 0.631578947368421; 'f1-score': 0.7741935483870968; 'support': 19}; 'accuracy': 0.8627450980392157; 'macro avg': {'precision': 0.9102564102564102; 'recall': 0.8157894736842105; 'f1-score': 0.837800999545661; 'support': 51}; 'weighted avg': {'precision': 0.8873805932629462; 'recall': 0.8627450980392157; 'f1-score': 0.8540146635664715; 'support': 51}}
l: 5,1,DNF,9,461,51,1,[461; 461],122,5.297940,0.921569,3,[X22 >= 101.650000 AND X26 >= 0.216400 AND X27 >= 0.109550],{'0.0': {'precision': 0.9457627118644067; 'recall': 0.9620689655172414; 'f1-score': 0.9538461538461539; 'support': 290}; '1.0': {'precision': 0.9337349397590361; 'recall': 0.9064327485380117; 'f1-score': 0.9198813056379821; 'support': 171}; 'accuracy': 0.9414316702819957; 'macro avg': {'precision': 0.9397488258117215; 'recall': 0.9342508570276266; 'f1-score': 0.936863729742068; 'support': 461}; 'weighted avg': {'precision': 0.9413012172222844; 'recall': 0.9414316702819957; 'f1-score': 0.9412474791311921; 'support': 461}},{'0.0': {'precision': 0.9375; 'recall': 0.9375; 'f1-score': 0.9375; 'support': 32}; '1.0': {'precision': 0.8947368421052632; 'recall': 0.8947368421052632; 'f1-score': 0.8947368421052632; 'support': 19}; 'accuracy': 0.9215686274509803; 'macro avg': {'precision': 0.9161184210526316; 'recall': 0.9161184210526316; 'f1-score': 0.9161184210526316; 'support': 51}; 'weighted avg': {'precision': 0.9215686274509803; 'recall': 0.9215686274509803; 'f1-score': 0.9215686274509803; 'support': 51}}
