lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
5,1,CNF,1,460,52,28,[16; 17],540,1.299600,0.923077,1,[X0 >= 15.056000],{'0.0': {'precision': 0.8619631901840491; 'recall': 0.972318339100346; 'f1-score': 0.913821138211382; 'support': 289}; '1.0': {'precision': 0.9402985074626866; 'recall': 0.7368421052631579; 'f1-score': 0.8262295081967214; 'support': 171}; 'accuracy': 0.8847826086956522; 'macro avg': {'precision': 0.9011308488233678; 'recall': 0.854580222181752; 'f1-score': 0.8700253232040517; 'support': 460}; 'weighted avg': {'precision': 0.8910834929115427; 'recall': 0.8847826086956522; 'f1-score': 0.8812599018363669; 'support': 460}},{'0.0': {'precision': 0.9393939393939394; 'recall': 0.9393939393939394; 'f1-score': 0.9393939393939394; 'support': 33}; '1.0': {'precision': 0.8947368421052632; 'recall': 0.8947368421052632; 'f1-score': 0.8947368421052632; 'support': 19}; 'accuracy': 0.9230769230769231; 'macro avg': {'precision': 0.9170653907496014; 'recall': 0.9170653907496014; 'f1-score': 0.9170653907496014; 'support': 52}; 'weighted avg': {'precision': 0.9230769230769231; 'recall': 0.9230769230769231; 'f1-score': 0.9230769230769231; 'support': 52}}
5,1,CNF,2,461,51,28,[16; 17],540,1.210018,0.745098,2,[X4 >= 0.114820 OR X28 >= 0.325380],{'0.0': {'precision': 0.7220630372492837; 'recall': 0.8689655172413793; 'f1-score': 0.7887323943661972; 'support': 290}; '1.0': {'precision': 0.6607142857142857; 'recall': 0.4327485380116959; 'f1-score': 0.5229681978798587; 'support': 171}; 'accuracy': 0.7071583514099783; 'macro avg': {'precision': 0.6913886614817847; 'recall': 0.6508570276265375; 'f1-score': 0.6558502961230279; 'support': 461}; 'weighted avg': {'precision': 0.6993067758339157; 'recall': 0.7071583514099783; 'f1-score': 0.6901517488148656; 'support': 461}},{'0.0': {'precision': 0.7567567567567568; 'recall': 0.875; 'f1-score': 0.8115942028985507; 'support': 32}; '1.0': {'precision': 0.7142857142857143; 'recall': 0.5263157894736842; 'f1-score': 0.6060606060606061; 'support': 19}; 'accuracy': 0.7450980392156863; 'macro avg': {'precision': 0.7355212355212355; 'recall': 0.700657894736842; 'f1-score': 0.7088274044795784; 'support': 51}; 'weighted avg': {'precision': 0.7409342115224468; 'recall': 0.7450980392156863; 'f1-score': 0.7350228629001008; 'support': 51}}
5,1,CNF,3,461,51,28,[16; 17],540,1.210607,0.901961,2,[X6 >= 0.086212 OR X27 >= 0.150800],{'0.0': {'precision': 0.9340659340659341; 'recall': 0.8793103448275862; 'f1-score': 0.9058614564831262; 'support': 290}; '1.0': {'precision': 0.8138297872340425; 'recall': 0.8947368421052632; 'f1-score': 0.852367688022284; 'support': 171}; 'accuracy': 0.8850325379609545; 'macro avg': {'precision': 0.8739478606499883; 'recall': 0.8870235934664247; 'f1-score': 0.8791145722527052; 'support': 461}; 'weighted avg': {'precision': 0.8894664088853409; 'recall': 0.8850325379609545; 'f1-score': 0.886018865578996; 'support': 461}},{'0.0': {'precision': 0.9655172413793104; 'recall': 0.875; 'f1-score': 0.9180327868852458; 'support': 32}; '1.0': {'precision': 0.8181818181818182; 'recall': 0.9473684210526315; 'f1-score': 0.8780487804878049; 'support': 19}; 'accuracy': 0.9019607843137255; 'macro avg': {'precision': 0.8918495297805643; 'recall': 0.9111842105263157; 'f1-score': 0.8980407836865254; 'support': 51}; 'weighted avg': {'precision': 0.9106275739135781; 'recall': 0.9019607843137255; 'f1-score': 0.9031367845018854; 'support': 51}}
5,1,CNF,4,461,51,28,[16; 17],540,1.215067,0.705882,2,[X4 >= 0.114820 OR X5 >= 0.141900],{'0.0': {'precision': 0.7571428571428571; 'recall': 0.9137931034482759; 'f1-score': 0.8281250000000001; 'support': 290}; '1.0': {'precision': 0.7747747747747747; 'recall': 0.5029239766081871; 'f1-score': 0.6099290780141843; 'support': 171}; 'accuracy': 0.7613882863340564; 'macro avg': {'precision': 0.765958815958816; 'recall': 0.7083585400282315; 'f1-score': 0.7190270390070922; 'support': 461}; 'weighted avg': {'precision': 0.7636831129238937; 'recall': 0.7613882863340564; 'f1-score': 0.7471889855540684; 'support': 461}},{'0.0': {'precision': 0.7073170731707317; 'recall': 0.90625; 'f1-score': 0.7945205479452054; 'support': 32}; '1.0': {'precision': 0.7; 'recall': 0.3684210526315789; 'f1-score': 0.48275862068965514; 'support': 19}; 'accuracy': 0.7058823529411765; 'macro avg': {'precision': 0.7036585365853658; 'recall': 0.6373355263157895; 'f1-score': 0.6386395843174303; 'support': 51}; 'weighted avg': {'precision': 0.7045911047345766; 'recall': 0.7058823529411765; 'f1-score': 0.6783739475950985; 'support': 51}}
5,1,CNF,5,461,51,28,[16; 17],540,1.304502,0.960784,2,[X0 >= 17.068000 OR X22 >= 105.740000],{'0.0': {'precision': 0.9460431654676259; 'recall': 0.906896551724138; 'f1-score': 0.926056338028169; 'support': 290}; '1.0': {'precision': 0.8524590163934426; 'recall': 0.9122807017543859; 'f1-score': 0.8813559322033898; 'support': 171}; 'accuracy': 0.9088937093275488; 'macro avg': {'precision': 0.8992510909305342; 'recall': 0.9095886267392619; 'f1-score': 0.9037061351157794; 'support': 461}; 'weighted avg': {'precision': 0.9113297392383735; 'recall': 0.9088937093275488; 'f1-score': 0.9094754933512986; 'support': 461}},{'0.0': {'precision': 0.9411764705882353; 'recall': 1.0; 'f1-score': 0.9696969696969697; 'support': 32}; '1.0': {'precision': 1.0; 'recall': 0.8947368421052632; 'f1-score': 0.9444444444444444; 'support': 19}; 'accuracy': 0.9607843137254902; 'macro avg': {'precision': 0.9705882352941176; 'recall': 0.9473684210526316; 'f1-score': 0.9570707070707071; 'support': 51}; 'weighted avg': {'precision': 0.9630911188004614; 'recall': 0.9607843137254902; 'f1-score': 0.960289166171519; 'support': 51}}
5,1,CNF,6,461,51,28,[16; 17],540,1.246493,0.803922,1,[X0 >= 15.056000],{'0.0': {'precision': 0.8808777429467085; 'recall': 0.9689655172413794; 'f1-score': 0.922824302134647; 'support': 290}; '1.0': {'precision': 0.9366197183098591; 'recall': 0.7777777777777778; 'f1-score': 0.8498402555910542; 'support': 171}; 'accuracy': 0.8980477223427332; 'macro avg': {'precision': 0.9087487306282838; 'recall': 0.8733716475095785; 'f1-score': 0.8863322788628506; 'support': 461}; 'weighted avg': {'precision': 0.9015542674306537; 'recall': 0.8980477223427332; 'f1-score': 0.8957521286878912; 'support': 461}},{'0.0': {'precision': 0.775; 'recall': 0.96875; 'f1-score': 0.8611111111111113; 'support': 32}; '1.0': {'precision': 0.9090909090909091; 'recall': 0.5263157894736842; 'f1-score': 0.6666666666666666; 'support': 19}; 'accuracy': 0.803921568627451; 'macro avg': {'precision': 0.8420454545454545; 'recall': 0.747532894736842; 'f1-score': 0.763888888888889; 'support': 51}; 'weighted avg': {'precision': 0.8249554367201427; 'recall': 0.803921568627451; 'f1-score': 0.7886710239651418; 'support': 51}}
5,1,CNF,7,461,51,28,[16; 17],540,1.258105,0.901961,3,[X2 >= 98.200000 OR X7 >= 0.048318 OR X27 >= 0.177540],{'0.0': {'precision': 0.9664179104477612; 'recall': 0.8931034482758621; 'f1-score': 0.9283154121863799; 'support': 290}; '1.0': {'precision': 0.8393782383419689; 'recall': 0.9473684210526315; 'f1-score': 0.8901098901098902; 'support': 171}; 'accuracy': 0.913232104121475; 'macro avg': {'precision': 0.902898074394865; 'recall': 0.9202359346642468; 'f1-score': 0.9092126511481351; 'support': 461}; 'weighted avg': {'precision': 0.9192947348944197; 'recall': 0.913232104121475; 'f1-score': 0.9141437326308923; 'support': 461}},{'0.0': {'precision': 0.9354838709677419; 'recall': 0.90625; 'f1-score': 0.9206349206349206; 'support': 32}; '1.0': {'precision': 0.85; 'recall': 0.8947368421052632; 'f1-score': 0.8717948717948718; 'support': 19}; 'accuracy': 0.9019607843137255; 'macro avg': {'precision': 0.8927419354838709; 'recall': 0.9004934210526316; 'f1-score': 0.8962148962148961; 'support': 51}; 'weighted avg': {'precision': 0.9036369386464261; 'recall': 0.9019607843137255; 'f1-score': 0.9024396083219612; 'support': 51}}
5,1,CNF,8,461,51,28,[16; 17],540,1.387641,0.823529,3,[X5 >= 0.175460 OR X9 < 0.055338 OR X20 >= 16.004000],{'0.0': {'precision': 0.9610894941634242; 'recall': 0.8517241379310345; 'f1-score': 0.903107861060329; 'support': 290}; '1.0': {'precision': 0.7892156862745098; 'recall': 0.9415204678362573; 'f1-score': 0.8586666666666667; 'support': 171}; 'accuracy': 0.8850325379609545; 'macro avg': {'precision': 0.875152590218967; 'recall': 0.896622302883646; 'f1-score': 0.8808872638634979; 'support': 461}; 'weighted avg': {'precision': 0.897335869111354; 'recall': 0.8850325379609545; 'f1-score': 0.8866231663936993; 'support': 461}},{'0.0': {'precision': 0.9259259259259259; 'recall': 0.78125; 'f1-score': 0.847457627118644; 'support': 32}; '1.0': {'precision': 0.7083333333333334; 'recall': 0.8947368421052632; 'f1-score': 0.7906976744186046; 'support': 19}; 'accuracy': 0.8235294117647058; 'macro avg': {'precision': 0.8171296296296297; 'recall': 0.8379934210526316; 'f1-score': 0.8190776507686244; 'support': 51}; 'weighted avg': {'precision': 0.8448620188816267; 'recall': 0.8235294117647058; 'f1-score': 0.8263117623872569; 'support': 51}}
5,1,CNF,9,461,51,28,[16; 17],540,1.384467,0.901961,3,[X0 >= 15.056000 OR X21 >= 33.646000 OR X27 >= 0.177540],{'0.0': {'precision': 0.9270833333333334; 'recall': 0.9206896551724137; 'f1-score': 0.9238754325259516; 'support': 290}; '1.0': {'precision': 0.8670520231213873; 'recall': 0.8771929824561403; 'f1-score': 0.872093023255814; 'support': 171}; 'accuracy': 0.9045553145336226; 'macro avg': {'precision': 0.8970676782273603; 'recall': 0.898941318814277; 'f1-score': 0.8979842278908827; 'support': 461}; 'weighted avg': {'precision': 0.9048157540573187; 'recall': 0.9045553145336226; 'f1-score': 0.9046676408010198; 'support': 461}},{'0.0': {'precision': 1.0; 'recall': 0.84375; 'f1-score': 0.9152542372881356; 'support': 32}; '1.0': {'precision': 0.7916666666666666; 'recall': 1.0; 'f1-score': 0.8837209302325582; 'support': 19}; 'accuracy': 0.9019607843137255; 'macro avg': {'precision': 0.8958333333333333; 'recall': 0.921875; 'f1-score': 0.8994875837603469; 'support': 51}; 'weighted avg': {'precision': 0.9223856209150326; 'recall': 0.9019607843137255; 'f1-score': 0.9035065346595871; 'support': 51}}
5,1,CNF,0,460,52,14,[32; 33],540,0.864821,0.865385,4,[X2 >= 111.680000 OR X3 >= 700.660000 OR X18 < 0.013012 OR X27 >= 0.150800],{'0.0': {'precision': 0.9550561797752809; 'recall': 0.8823529411764706; 'f1-score': 0.9172661870503597; 'support': 289}; '1.0': {'precision': 0.8238341968911918; 'recall': 0.9298245614035088; 'f1-score': 0.8736263736263737; 'support': 171}; 'accuracy': 0.9; 'macro avg': {'precision': 0.8894451883332364; 'recall': 0.9060887512899897; 'f1-score': 0.8954462803383667; 'support': 460}; 'weighted avg': {'precision': 0.9062758339640217; 'recall': 0.9; 'f1-score': 0.901043560755791; 'support': 460}},{'0.0': {'precision': 0.9333333333333333; 'recall': 0.8484848484848485; 'f1-score': 0.888888888888889; 'support': 33}; '1.0': {'precision': 0.7727272727272727; 'recall': 0.8947368421052632; 'f1-score': 0.8292682926829269; 'support': 19}; 'accuracy': 0.8653846153846154; 'macro avg': {'precision': 0.853030303030303; 'recall': 0.8716108452950558; 'f1-score': 0.859078590785908; 'support': 52}; 'weighted avg': {'precision': 0.8746503496503497; 'recall': 0.8653846153846154; 'f1-score': 0.8671044402751721; 'support': 52}}
