l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,284,32,17,[16; 17],222,0.953405,0.781250,1,[X12 >= 0.354740],{'0.0': {'precision': 0.5614035087719298; 'recall': 0.6274509803921569; 'f1-score': 0.5925925925925926; 'support': 102}; '1.0': {'precision': 0.7764705882352941; 'recall': 0.7252747252747253; 'f1-score': 0.75; 'support': 182}; 'accuracy': 0.6901408450704225; 'macro avg': {'precision': 0.6689370485036119; 'recall': 0.6763628528334411; 'f1-score': 0.6712962962962963; 'support': 284}; 'weighted avg': {'precision': 0.6992281864561984; 'recall': 0.6901408450704225; 'f1-score': 0.6934663536776213; 'support': 284}},{'0.0': {'precision': 0.6666666666666666; 'recall': 0.7272727272727273; 'f1-score': 0.6956521739130435; 'support': 11}; '1.0': {'precision': 0.85; 'recall': 0.8095238095238095; 'f1-score': 0.8292682926829269; 'support': 21}; 'accuracy': 0.78125; 'macro avg': {'precision': 0.7583333333333333; 'recall': 0.7683982683982684; 'f1-score': 0.7624602332979852; 'support': 32}; 'weighted avg': {'precision': 0.7869791666666666; 'recall': 0.78125; 'f1-score': 0.7833377518557796; 'support': 32}}
l: 5,1,CNF,1,284,32,17,[16; 17],222,1.025730,0.718750,1,[X4 >= 0.041440],{'0.0': {'precision': 1.0; 'recall': 0.5882352941176471; 'f1-score': 0.7407407407407407; 'support': 102}; '1.0': {'precision': 0.8125; 'recall': 1.0; 'f1-score': 0.896551724137931; 'support': 182}; 'accuracy': 0.852112676056338; 'macro avg': {'precision': 0.90625; 'recall': 0.7941176470588236; 'f1-score': 0.8186462324393359; 'support': 284}; 'weighted avg': {'precision': 0.8798415492957746; 'recall': 0.852112676056338; 'f1-score': 0.8405914413685177; 'support': 284}},{'0.0': {'precision': 1.0; 'recall': 0.18181818181818182; 'f1-score': 0.3076923076923077; 'support': 11}; '1.0': {'precision': 0.7; 'recall': 1.0; 'f1-score': 0.8235294117647058; 'support': 21}; 'accuracy': 0.71875; 'macro avg': {'precision': 0.85; 'recall': 0.5909090909090909; 'f1-score': 0.5656108597285068; 'support': 32}; 'weighted avg': {'precision': 0.803125; 'recall': 0.71875; 'f1-score': 0.6462104072398189; 'support': 32}}
l: 5,1,CNF,2,284,32,17,[16; 17],222,1.021101,0.781250,1,[X2 >= 0.739470],{'0.0': {'precision': 0.6181818181818182; 'recall': 0.6666666666666666; 'f1-score': 0.6415094339622642; 'support': 102}; '1.0': {'precision': 0.8045977011494253; 'recall': 0.7692307692307693; 'f1-score': 0.7865168539325844; 'support': 182}; 'accuracy': 0.7323943661971831; 'macro avg': {'precision': 0.7113897596656218; 'recall': 0.717948717948718; 'f1-score': 0.7140131439474243; 'support': 284}; 'weighted avg': {'precision': 0.7376455178300735; 'recall': 0.7323943661971831; 'f1-score': 0.7344367242249342; 'support': 284}},{'0.0': {'precision': 0.6666666666666666; 'recall': 0.7272727272727273; 'f1-score': 0.6956521739130435; 'support': 11}; '1.0': {'precision': 0.85; 'recall': 0.8095238095238095; 'f1-score': 0.8292682926829269; 'support': 21}; 'accuracy': 0.78125; 'macro avg': {'precision': 0.7583333333333333; 'recall': 0.7683982683982684; 'f1-score': 0.7624602332979852; 'support': 32}; 'weighted avg': {'precision': 0.7869791666666666; 'recall': 0.78125; 'f1-score': 0.7833377518557796; 'support': 32}}
l: 5,1,CNF,3,284,32,17,[16; 17],222,0.865654,0.875000,1,[X26 < 0.999945],{'0.0': {'precision': 0.8571428571428571; 'recall': 0.594059405940594; 'f1-score': 0.7017543859649122; 'support': 101}; '1.0': {'precision': 0.8084112149532711; 'recall': 0.9453551912568307; 'f1-score': 0.8715365239294711; 'support': 183}; 'accuracy': 0.8204225352112676; 'macro avg': {'precision': 0.8327770360480641; 'recall': 0.7697072985987123; 'f1-score': 0.7866454549471917; 'support': 284}; 'weighted avg': {'precision': 0.8257418341826662; 'recall': 0.8204225352112676; 'f1-score': 0.8111562565547513; 'support': 284}},{'0.0': {'precision': 0.9; 'recall': 0.75; 'f1-score': 0.8181818181818182; 'support': 12}; '1.0': {'precision': 0.8636363636363636; 'recall': 0.95; 'f1-score': 0.9047619047619048; 'support': 20}; 'accuracy': 0.875; 'macro avg': {'precision': 0.8818181818181818; 'recall': 0.85; 'f1-score': 0.8614718614718615; 'support': 32}; 'weighted avg': {'precision': 0.8772727272727273; 'recall': 0.875; 'f1-score': 0.8722943722943723; 'support': 32}}
l: 5,1,CNF,4,284,32,17,[16; 17],222,0.823357,0.750000,2,[X18 >= 0.998845 OR X26 < 0.999945],{'0.0': {'precision': 0.9545454545454546; 'recall': 0.4158415841584158; 'f1-score': 0.5793103448275863; 'support': 101}; '1.0': {'precision': 0.7541666666666667; 'recall': 0.9890710382513661; 'f1-score': 0.8557919621749409; 'support': 183}; 'accuracy': 0.7852112676056338; 'macro avg': {'precision': 0.8543560606060606; 'recall': 0.7024563112048909; 'f1-score': 0.7175511535012635; 'support': 284}; 'weighted avg': {'precision': 0.8254281370038412; 'recall': 0.7852112676056338; 'f1-score': 0.7574657531887338; 'support': 284}},{'0.0': {'precision': 1.0; 'recall': 0.3333333333333333; 'f1-score': 0.5; 'support': 12}; '1.0': {'precision': 0.7142857142857143; 'recall': 1.0; 'f1-score': 0.8333333333333333; 'support': 20}; 'accuracy': 0.75; 'macro avg': {'precision': 0.8571428571428572; 'recall': 0.6666666666666666; 'f1-score': 0.6666666666666666; 'support': 32}; 'weighted avg': {'precision': 0.8214285714285714; 'recall': 0.75; 'f1-score': 0.7083333333333333; 'support': 32}}
l: 5,1,CNF,5,284,32,17,[16; 17],222,1.067435,0.468750,3,[X3 < -0.000170 OR X14 < -0.028300 OR X15 >= 0.001430],{'0.0': {'precision': 0.5614035087719298; 'recall': 0.31683168316831684; 'f1-score': 0.40506329113924044; 'support': 101}; '1.0': {'precision': 0.6960352422907489; 'recall': 0.8633879781420765; 'f1-score': 0.7707317073170732; 'support': 183}; 'accuracy': 0.6690140845070423; 'macro avg': {'precision': 0.6287193755313394; 'recall': 0.5901098306551966; 'f1-score': 0.5878974992281568; 'support': 284}; 'weighted avg': {'precision': 0.6481556469196196; 'recall': 0.6690140845070423; 'f1-score': 0.6406876579017172; 'support': 284}},{'0.0': {'precision': 0.14285714285714285; 'recall': 0.08333333333333333; 'f1-score': 0.10526315789473685; 'support': 12}; '1.0': {'precision': 0.56; 'recall': 0.7; 'f1-score': 0.6222222222222222; 'support': 20}; 'accuracy': 0.46875; 'macro avg': {'precision': 0.3514285714285714; 'recall': 0.39166666666666666; 'f1-score': 0.36374269005847953; 'support': 32}; 'weighted avg': {'precision': 0.4035714285714286; 'recall': 0.46875; 'f1-score': 0.4283625730994152; 'support': 32}}
l: 5,1,CNF,6,285,31,17,[16; 17],222,0.891944,0.838710,2,[X14 >= 0.239955 OR X15 >= 0.001430],{'0.0': {'precision': 0.7868852459016393; 'recall': 0.47058823529411764; 'f1-score': 0.5889570552147239; 'support': 102}; '1.0': {'precision': 0.7589285714285714; 'recall': 0.9289617486338798; 'f1-score': 0.8353808353808354; 'support': 183}; 'accuracy': 0.7649122807017544; 'macro avg': {'precision': 0.7729069086651054; 'recall': 0.6997749919639987; 'f1-score': 0.7121689452977796; 'support': 285}; 'weighted avg': {'precision': 0.7689341180820904; 'recall': 0.7649122807017544; 'f1-score': 0.747187061426648; 'support': 285}},{'0.0': {'precision': 0.8; 'recall': 0.7272727272727273; 'f1-score': 0.761904761904762; 'support': 11}; '1.0': {'precision': 0.8571428571428571; 'recall': 0.9; 'f1-score': 0.8780487804878048; 'support': 20}; 'accuracy': 0.8387096774193549; 'macro avg': {'precision': 0.8285714285714285; 'recall': 0.8136363636363637; 'f1-score': 0.8199767711962833; 'support': 31}; 'weighted avg': {'precision': 0.8368663594470046; 'recall': 0.8387096774193549; 'f1-score': 0.8368363867970477; 'support': 31}}
l: 5,1,CNF,7,285,31,17,[16; 17],222,0.947612,0.645161,1,[X21 < 0.923655],{'0.0': {'precision': 0.9230769230769231; 'recall': 0.23529411764705882; 'f1-score': 0.375; 'support': 102}; '1.0': {'precision': 0.6988416988416989; 'recall': 0.9890710382513661; 'f1-score': 0.8190045248868778; 'support': 183}; 'accuracy': 0.7192982456140351; 'macro avg': {'precision': 0.810959310959311; 'recall': 0.6121825779492125; 'f1-score': 0.5970022624434389; 'support': 285}; 'weighted avg': {'precision': 0.779094305410095; 'recall': 0.7192982456140351; 'f1-score': 0.6600976422957847; 'support': 285}},{'0.0': {'precision': 0.5; 'recall': 0.09090909090909091; 'f1-score': 0.15384615384615385; 'support': 11}; '1.0': {'precision': 0.6551724137931034; 'recall': 0.95; 'f1-score': 0.7755102040816326; 'support': 20}; 'accuracy': 0.6451612903225806; 'macro avg': {'precision': 0.5775862068965517; 'recall': 0.5204545454545454; 'f1-score': 0.46467817896389324; 'support': 31}; 'weighted avg': {'precision': 0.600111234705228; 'recall': 0.6451612903225806; 'f1-score': 0.554919734643237; 'support': 31}}
l: 5,1,CNF,8,285,31,17,[16; 17],222,0.842140,0.806452,1,[X26 < 0.999945],{'0.0': {'precision': 0.863013698630137; 'recall': 0.6176470588235294; 'f1-score': 0.7200000000000001; 'support': 102}; '1.0': {'precision': 0.8160377358490566; 'recall': 0.9453551912568307; 'f1-score': 0.8759493670886076; 'support': 183}; 'accuracy': 0.8280701754385965; 'macro avg': {'precision': 0.8395257172395968; 'recall': 0.78150112504018; 'f1-score': 0.7979746835443038; 'support': 285}; 'weighted avg': {'precision': 0.8328501856864959; 'recall': 0.8280701754385965; 'f1-score': 0.8201359093937375; 'support': 285}},{'0.0': {'precision': 0.8571428571428571; 'recall': 0.5454545454545454; 'f1-score': 0.6666666666666665; 'support': 11}; '1.0': {'precision': 0.7916666666666666; 'recall': 0.95; 'f1-score': 0.8636363636363635; 'support': 20}; 'accuracy': 0.8064516129032258; 'macro avg': {'precision': 0.8244047619047619; 'recall': 0.7477272727272727; 'f1-score': 0.765151515151515; 'support': 31}; 'weighted avg': {'precision': 0.8149001536098309; 'recall': 0.8064516129032258; 'f1-score': 0.7937438905180839; 'support': 31}}
l: 5,1,CNF,9,285,31,17,[16; 17],222,1.008894,0.806452,2,[X9 >= 0.591395 OR X12 >= 0.354740],{'0.0': {'precision': 0.8253968253968254; 'recall': 0.5098039215686274; 'f1-score': 0.6303030303030303; 'support': 102}; '1.0': {'precision': 0.7747747747747747; 'recall': 0.9398907103825137; 'f1-score': 0.8493827160493828; 'support': 183}; 'accuracy': 0.7859649122807018; 'macro avg': {'precision': 0.8000858000858; 'recall': 0.7248473159755706; 'f1-score': 0.7398428731762066; 'support': 285}; 'weighted avg': {'precision': 0.7928921402605612; 'recall': 0.7859649122807018; 'f1-score': 0.7709752495717408; 'support': 285}},{'0.0': {'precision': 0.8571428571428571; 'recall': 0.5454545454545454; 'f1-score': 0.6666666666666665; 'support': 11}; '1.0': {'precision': 0.7916666666666666; 'recall': 0.95; 'f1-score': 0.8636363636363635; 'support': 20}; 'accuracy': 0.8064516129032258; 'macro avg': {'precision': 0.8244047619047619; 'recall': 0.7477272727272727; 'f1-score': 0.765151515151515; 'support': 31}; 'weighted avg': {'precision': 0.8149001536098309; 'recall': 0.8064516129032258; 'f1-score': 0.7937438905180839; 'support': 31}}
