lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
5,1,DNF,1,469,53,1,[469; 469],14,0.204134,0.716981,0,[],{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 134}; '1.0': {'precision': 0.7142857142857143; 'recall': 1.0; 'f1-score': 0.8333333333333333; 'support': 335}; 'accuracy': 0.7142857142857143; 'macro avg': {'precision': 0.35714285714285715; 'recall': 0.5; 'f1-score': 0.41666666666666663; 'support': 469}; 'weighted avg': {'precision': 0.5102040816326531; 'recall': 0.7142857142857143; 'f1-score': 0.5952380952380951; 'support': 469}},{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 15}; '1.0': {'precision': 0.7169811320754716; 'recall': 1.0; 'f1-score': 0.8351648351648352; 'support': 38}; 'accuracy': 0.7169811320754716; 'macro avg': {'precision': 0.3584905660377358; 'recall': 0.5; 'f1-score': 0.4175824175824176; 'support': 53}; 'weighted avg': {'precision': 0.5140619437522249; 'recall': 0.7169811320754716; 'f1-score': 0.5987974289861082; 'support': 53}}
5,1,DNF,2,470,52,1,[470; 470],14,0.198202,0.730769,0,[],{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 135}; '1.0': {'precision': 0.7127659574468085; 'recall': 1.0; 'f1-score': 0.8322981366459626; 'support': 335}; 'accuracy': 0.7127659574468085; 'macro avg': {'precision': 0.35638297872340424; 'recall': 0.5; 'f1-score': 0.4161490683229813; 'support': 470}; 'weighted avg': {'precision': 0.5080353100950656; 'recall': 0.7127659574468085; 'f1-score': 0.5932337782476543; 'support': 470}},{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 14}; '1.0': {'precision': 0.7307692307692307; 'recall': 1.0; 'f1-score': 0.8444444444444443; 'support': 38}; 'accuracy': 0.7307692307692307; 'macro avg': {'precision': 0.36538461538461536; 'recall': 0.5; 'f1-score': 0.42222222222222217; 'support': 52}; 'weighted avg': {'precision': 0.5340236686390532; 'recall': 0.7307692307692307; 'f1-score': 0.6170940170940169; 'support': 52}}
5,1,DNF,3,470,52,1,[470; 470],14,0.141591,0.711538,0,[],{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 134}; '1.0': {'precision': 0.7148936170212766; 'recall': 1.0; 'f1-score': 0.8337468982630273; 'support': 336}; 'accuracy': 0.7148936170212766; 'macro avg': {'precision': 0.3574468085106383; 'recall': 0.5; 'f1-score': 0.41687344913151364; 'support': 470}; 'weighted avg': {'precision': 0.5110728836577637; 'recall': 0.7148936170212766; 'f1-score': 0.5960403357795259; 'support': 470}},{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 15}; '1.0': {'precision': 0.7115384615384616; 'recall': 1.0; 'f1-score': 0.8314606741573033; 'support': 37}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.3557692307692308; 'recall': 0.5; 'f1-score': 0.41573033707865165; 'support': 52}; 'weighted avg': {'precision': 0.5062869822485208; 'recall': 0.7115384615384616; 'f1-score': 0.5916162489196196; 'support': 52}}
5,1,DNF,4,470,52,1,[470; 470],14,0.159489,0.711538,0,[],{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 134}; '1.0': {'precision': 0.7148936170212766; 'recall': 1.0; 'f1-score': 0.8337468982630273; 'support': 336}; 'accuracy': 0.7148936170212766; 'macro avg': {'precision': 0.3574468085106383; 'recall': 0.5; 'f1-score': 0.41687344913151364; 'support': 470}; 'weighted avg': {'precision': 0.5110728836577637; 'recall': 0.7148936170212766; 'f1-score': 0.5960403357795259; 'support': 470}},{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 15}; '1.0': {'precision': 0.7115384615384616; 'recall': 1.0; 'f1-score': 0.8314606741573033; 'support': 37}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.3557692307692308; 'recall': 0.5; 'f1-score': 0.41573033707865165; 'support': 52}; 'weighted avg': {'precision': 0.5062869822485208; 'recall': 0.7115384615384616; 'f1-score': 0.5916162489196196; 'support': 52}}
5,1,DNF,5,470,52,1,[470; 470],14,0.152220,0.711538,0,[],{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 134}; '1.0': {'precision': 0.7148936170212766; 'recall': 1.0; 'f1-score': 0.8337468982630273; 'support': 336}; 'accuracy': 0.7148936170212766; 'macro avg': {'precision': 0.3574468085106383; 'recall': 0.5; 'f1-score': 0.41687344913151364; 'support': 470}; 'weighted avg': {'precision': 0.5110728836577637; 'recall': 0.7148936170212766; 'f1-score': 0.5960403357795259; 'support': 470}},{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 15}; '1.0': {'precision': 0.7115384615384616; 'recall': 1.0; 'f1-score': 0.8314606741573033; 'support': 37}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.3557692307692308; 'recall': 0.5; 'f1-score': 0.41573033707865165; 'support': 52}; 'weighted avg': {'precision': 0.5062869822485208; 'recall': 0.7115384615384616; 'f1-score': 0.5916162489196196; 'support': 52}}
5,1,DNF,6,470,52,1,[470; 470],14,0.209003,0.711538,0,[],{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 134}; '1.0': {'precision': 0.7148936170212766; 'recall': 1.0; 'f1-score': 0.8337468982630273; 'support': 336}; 'accuracy': 0.7148936170212766; 'macro avg': {'precision': 0.3574468085106383; 'recall': 0.5; 'f1-score': 0.41687344913151364; 'support': 470}; 'weighted avg': {'precision': 0.5110728836577637; 'recall': 0.7148936170212766; 'f1-score': 0.5960403357795259; 'support': 470}},{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 15}; '1.0': {'precision': 0.7115384615384616; 'recall': 1.0; 'f1-score': 0.8314606741573033; 'support': 37}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.3557692307692308; 'recall': 0.5; 'f1-score': 0.41573033707865165; 'support': 52}; 'weighted avg': {'precision': 0.5062869822485208; 'recall': 0.7115384615384616; 'f1-score': 0.5916162489196196; 'support': 52}}
5,1,DNF,7,470,52,1,[470; 470],14,0.224598,0.711538,0,[],{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 134}; '1.0': {'precision': 0.7148936170212766; 'recall': 1.0; 'f1-score': 0.8337468982630273; 'support': 336}; 'accuracy': 0.7148936170212766; 'macro avg': {'precision': 0.3574468085106383; 'recall': 0.5; 'f1-score': 0.41687344913151364; 'support': 470}; 'weighted avg': {'precision': 0.5110728836577637; 'recall': 0.7148936170212766; 'f1-score': 0.5960403357795259; 'support': 470}},{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 15}; '1.0': {'precision': 0.7115384615384616; 'recall': 1.0; 'f1-score': 0.8314606741573033; 'support': 37}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.3557692307692308; 'recall': 0.5; 'f1-score': 0.41573033707865165; 'support': 52}; 'weighted avg': {'precision': 0.5062869822485208; 'recall': 0.7115384615384616; 'f1-score': 0.5916162489196196; 'support': 52}}
5,1,DNF,8,470,52,1,[470; 470],14,0.209459,0.711538,0,[],{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 134}; '1.0': {'precision': 0.7148936170212766; 'recall': 1.0; 'f1-score': 0.8337468982630273; 'support': 336}; 'accuracy': 0.7148936170212766; 'macro avg': {'precision': 0.3574468085106383; 'recall': 0.5; 'f1-score': 0.41687344913151364; 'support': 470}; 'weighted avg': {'precision': 0.5110728836577637; 'recall': 0.7148936170212766; 'f1-score': 0.5960403357795259; 'support': 470}},{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 15}; '1.0': {'precision': 0.7115384615384616; 'recall': 1.0; 'f1-score': 0.8314606741573033; 'support': 37}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.3557692307692308; 'recall': 0.5; 'f1-score': 0.41573033707865165; 'support': 52}; 'weighted avg': {'precision': 0.5062869822485208; 'recall': 0.7115384615384616; 'f1-score': 0.5916162489196196; 'support': 52}}
5,1,DNF,9,470,52,1,[470; 470],14,0.174658,0.711538,0,[],{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 134}; '1.0': {'precision': 0.7148936170212766; 'recall': 1.0; 'f1-score': 0.8337468982630273; 'support': 336}; 'accuracy': 0.7148936170212766; 'macro avg': {'precision': 0.3574468085106383; 'recall': 0.5; 'f1-score': 0.41687344913151364; 'support': 470}; 'weighted avg': {'precision': 0.5110728836577637; 'recall': 0.7148936170212766; 'f1-score': 0.5960403357795259; 'support': 470}},{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 15}; '1.0': {'precision': 0.7115384615384616; 'recall': 1.0; 'f1-score': 0.8314606741573033; 'support': 37}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.3557692307692308; 'recall': 0.5; 'f1-score': 0.41573033707865165; 'support': 52}; 'weighted avg': {'precision': 0.5062869822485208; 'recall': 0.7115384615384616; 'f1-score': 0.5916162489196196; 'support': 52}}
5,2,CNF,0,469,53,1,[469; 469],14,2.051233,0.679245,9,[X2 >= 1.650000 OR X4 >= 211.500000 OR X6 >= 59.500000 OR X9 < 0.895000] AND [X3 >= 1.250000 OR X4 < 211.500000 OR X5 >= 61.500000 OR X6 < 59.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5379310344827586; 'recall': 0.582089552238806; 'f1-score': 0.5591397849462366; 'support': 134}; '1.0': {'precision': 0.8271604938271605; 'recall': 0.8; 'f1-score': 0.8133535660091048; 'support': 335}; 'accuracy': 0.7377398720682303; 'macro avg': {'precision': 0.6825457641549595; 'recall': 0.691044776119403; 'f1-score': 0.6862466754776707; 'support': 469}; 'weighted avg': {'precision': 0.7445235054430457; 'recall': 0.7377398720682303; 'f1-score': 0.7407210571339996; 'support': 469}},{'0.0': {'precision': 0.4166666666666667; 'recall': 0.3333333333333333; 'f1-score': 0.3703703703703704; 'support': 15}; '1.0': {'precision': 0.7560975609756098; 'recall': 0.8157894736842105; 'f1-score': 0.7848101265822786; 'support': 38}; 'accuracy': 0.6792452830188679; 'macro avg': {'precision': 0.5863821138211383; 'recall': 0.5745614035087719; 'f1-score': 0.5775902484763245; 'support': 53}; 'weighted avg': {'precision': 0.6600322135296826; 'recall': 0.6792452830188679; 'f1-score': 0.6675158559562668; 'support': 53}}
