lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
5,1,DNF,1,460,52,1,[460; 460],122,5.187613,0.961538,3,[X7 >= 0.051420 AND X23 >= 696.050000 AND X26 >= 0.216400],{'0.0': {'precision': 0.9245901639344263; 'recall': 0.9791666666666666; 'f1-score': 0.9510961214165262; 'support': 288}; '1.0': {'precision': 0.9612903225806452; 'recall': 0.8662790697674418; 'f1-score': 0.9113149847094801; 'support': 172}; 'accuracy': 0.9369565217391305; 'macro avg': {'precision': 0.9429402432575358; 'recall': 0.9227228682170543; 'f1-score': 0.9312055530630032; 'support': 460}; 'weighted avg': {'precision': 0.938312831949969; 'recall': 0.9369565217391305; 'f1-score': 0.9362214355173698; 'support': 460}},{'0.0': {'precision': 0.9696969696969697; 'recall': 0.9696969696969697; 'f1-score': 0.9696969696969697; 'support': 33}; '1.0': {'precision': 0.9473684210526315; 'recall': 0.9473684210526315; 'f1-score': 0.9473684210526315; 'support': 19}; 'accuracy': 0.9615384615384616; 'macro avg': {'precision': 0.9585326953748006; 'recall': 0.9585326953748006; 'f1-score': 0.9585326953748006; 'support': 52}; 'weighted avg': {'precision': 0.9615384615384616; 'recall': 0.9615384615384616; 'f1-score': 0.9615384615384616; 'support': 52}}
5,1,DNF,2,461,51,1,[461; 461],122,1.840080,0.941176,4,[X7 >= 0.051420 AND X13 >= 18.515000 AND X20 >= 14.905000 AND X26 >= 0.216400],{'0.0': {'precision': 0.930921052631579; 'recall': 0.9792387543252595; 'f1-score': 0.954468802698145; 'support': 289}; '1.0': {'precision': 0.9617834394904459; 'recall': 0.877906976744186; 'f1-score': 0.9179331306990881; 'support': 172}; 'accuracy': 0.9414316702819957; 'macro avg': {'precision': 0.9463522460610124; 'recall': 0.9285728655347227; 'f1-score': 0.9362009666986166; 'support': 461}; 'weighted avg': {'precision': 0.9424358694205704; 'recall': 0.9414316702819957; 'f1-score': 0.9408372721475208; 'support': 461}},{'0.0': {'precision': 0.9142857142857143; 'recall': 1.0; 'f1-score': 0.955223880597015; 'support': 32}; '1.0': {'precision': 1.0; 'recall': 0.8421052631578947; 'f1-score': 0.9142857142857143; 'support': 19}; 'accuracy': 0.9411764705882353; 'macro avg': {'precision': 0.9571428571428571; 'recall': 0.9210526315789473; 'f1-score': 0.9347547974413646; 'support': 51}; 'weighted avg': {'precision': 0.9462184873949578; 'recall': 0.9411764705882353; 'f1-score': 0.939972406873197; 'support': 51}}
5,1,DNF,3,461,51,1,[461; 461],122,3.419497,0.862745,4,[X13 >= 18.515000 AND X22 >= 101.650000 AND X26 >= 0.216400 AND X27 >= 0.109550],{'0.0': {'precision': 0.9457627118644067; 'recall': 0.9653979238754326; 'f1-score': 0.9554794520547946; 'support': 289}; '1.0': {'precision': 0.9397590361445783; 'recall': 0.9069767441860465; 'f1-score': 0.923076923076923; 'support': 172}; 'accuracy': 0.9436008676789588; 'macro avg': {'precision': 0.9427608740044926; 'recall': 0.9361873340307395; 'f1-score': 0.9392781875658588; 'support': 461}; 'weighted avg': {'precision': 0.9435227287324969; 'recall': 0.9436008676789588; 'f1-score': 0.9433900052344172; 'support': 461}},{'0.0': {'precision': 0.9032258064516129; 'recall': 0.875; 'f1-score': 0.8888888888888888; 'support': 32}; '1.0': {'precision': 0.8; 'recall': 0.8421052631578947; 'f1-score': 0.8205128205128205; 'support': 19}; 'accuracy': 0.8627450980392157; 'macro avg': {'precision': 0.8516129032258064; 'recall': 0.8585526315789473; 'f1-score': 0.8547008547008547; 'support': 51}; 'weighted avg': {'precision': 0.8647691334598355; 'recall': 0.8627450980392157; 'f1-score': 0.8634154516507457; 'support': 51}}
5,1,DNF,4,461,51,1,[461; 461],122,2.499503,0.941176,4,[X7 >= 0.051420 AND X13 >= 18.515000 AND X20 >= 14.905000 AND X26 >= 0.216400],{'0.0': {'precision': 0.9281045751633987; 'recall': 0.9826989619377162; 'f1-score': 0.9546218487394957; 'support': 289}; '1.0': {'precision': 0.967741935483871; 'recall': 0.872093023255814; 'f1-score': 0.9174311926605504; 'support': 172}; 'accuracy': 0.9414316702819957; 'macro avg': {'precision': 0.9479232553236349; 'recall': 0.9273959925967651; 'f1-score': 0.9360265207000231; 'support': 461}; 'weighted avg': {'precision': 0.9428933516820999; 'recall': 0.9414316702819957; 'f1-score': 0.9407459423499542; 'support': 461}},{'0.0': {'precision': 0.9393939393939394; 'recall': 0.96875; 'f1-score': 0.9538461538461539; 'support': 32}; '1.0': {'precision': 0.9444444444444444; 'recall': 0.8947368421052632; 'f1-score': 0.918918918918919; 'support': 19}; 'accuracy': 0.9411764705882353; 'macro avg': {'precision': 0.9419191919191919; 'recall': 0.9317434210526316; 'f1-score': 0.9363825363825364; 'support': 51}; 'weighted avg': {'precision': 0.9412755000990295; 'recall': 0.9411764705882353; 'f1-score': 0.9408340467163996; 'support': 51}}
5,1,DNF,5,461,51,1,[461; 461],122,3.923469,0.941176,4,[X7 >= 0.051420 AND X13 >= 18.515000 AND X20 >= 14.905000 AND X26 >= 0.216400],{'0.0': {'precision': 0.9281045751633987; 'recall': 0.9826989619377162; 'f1-score': 0.9546218487394957; 'support': 289}; '1.0': {'precision': 0.967741935483871; 'recall': 0.872093023255814; 'f1-score': 0.9174311926605504; 'support': 172}; 'accuracy': 0.9414316702819957; 'macro avg': {'precision': 0.9479232553236349; 'recall': 0.9273959925967651; 'f1-score': 0.9360265207000231; 'support': 461}; 'weighted avg': {'precision': 0.9428933516820999; 'recall': 0.9414316702819957; 'f1-score': 0.9407459423499542; 'support': 461}},{'0.0': {'precision': 0.9393939393939394; 'recall': 0.96875; 'f1-score': 0.9538461538461539; 'support': 32}; '1.0': {'precision': 0.9444444444444444; 'recall': 0.8947368421052632; 'f1-score': 0.918918918918919; 'support': 19}; 'accuracy': 0.9411764705882353; 'macro avg': {'precision': 0.9419191919191919; 'recall': 0.9317434210526316; 'f1-score': 0.9363825363825364; 'support': 51}; 'weighted avg': {'precision': 0.9412755000990295; 'recall': 0.9411764705882353; 'f1-score': 0.9408340467163996; 'support': 51}}
5,1,DNF,6,461,51,1,[461; 461],122,2.234259,0.901961,4,[X7 >= 0.051420 AND X10 >= 0.193650 AND X23 >= 696.050000 AND X26 >= 0.216400],{'0.0': {'precision': 0.9370860927152318; 'recall': 0.9792387543252595; 'f1-score': 0.9576988155668358; 'support': 289}; '1.0': {'precision': 0.9622641509433962; 'recall': 0.8895348837209303; 'f1-score': 0.9244712990936556; 'support': 172}; 'accuracy': 0.9457700650759219; 'macro avg': {'precision': 0.949675121829314; 'recall': 0.9343868190230948; 'f1-score': 0.9410850573302456; 'support': 461}; 'weighted avg': {'precision': 0.9464800753947205; 'recall': 0.9457700650759219; 'f1-score': 0.9453015643013543; 'support': 461}},{'0.0': {'precision': 0.8648648648648649; 'recall': 1.0; 'f1-score': 0.927536231884058; 'support': 32}; '1.0': {'precision': 1.0; 'recall': 0.7368421052631579; 'f1-score': 0.8484848484848484; 'support': 19}; 'accuracy': 0.9019607843137255; 'macro avg': {'precision': 0.9324324324324325; 'recall': 0.868421052631579; 'f1-score': 0.8880105401844531; 'support': 51}; 'weighted avg': {'precision': 0.9152093269740329; 'recall': 0.9019607843137255; 'f1-score': 0.8980857165000388; 'support': 51}}
5,1,DNF,7,461,51,1,[461; 461],122,3.403475,0.921569,4,[X7 >= 0.051420 AND X10 >= 0.193650 AND X20 >= 14.905000 AND X26 >= 0.216400],{'0.0': {'precision': 0.9311475409836065; 'recall': 0.9826989619377162; 'f1-score': 0.9562289562289562; 'support': 289}; '1.0': {'precision': 0.967948717948718; 'recall': 0.877906976744186; 'f1-score': 0.9207317073170732; 'support': 172}; 'accuracy': 0.9436008676789588; 'macro avg': {'precision': 0.9495481294661623; 'recall': 0.9303029693409511; 'f1-score': 0.9384803317730147; 'support': 461}; 'weighted avg': {'precision': 0.9448781319554053; 'recall': 0.9436008676789588; 'f1-score': 0.9429848633594468; 'support': 461}},{'0.0': {'precision': 0.9375; 'recall': 0.9375; 'f1-score': 0.9375; 'support': 32}; '1.0': {'precision': 0.8947368421052632; 'recall': 0.8947368421052632; 'f1-score': 0.8947368421052632; 'support': 19}; 'accuracy': 0.9215686274509803; 'macro avg': {'precision': 0.9161184210526316; 'recall': 0.9161184210526316; 'f1-score': 0.9161184210526316; 'support': 51}; 'weighted avg': {'precision': 0.9215686274509803; 'recall': 0.9215686274509803; 'f1-score': 0.9215686274509803; 'support': 51}}
5,1,DNF,8,461,51,1,[461; 461],122,4.486384,0.941176,4,[X7 >= 0.051420 AND X10 >= 0.193650 AND X23 >= 696.050000 AND X26 >= 0.216400],{'0.0': {'precision': 0.9281045751633987; 'recall': 0.9826989619377162; 'f1-score': 0.9546218487394957; 'support': 289}; '1.0': {'precision': 0.967741935483871; 'recall': 0.872093023255814; 'f1-score': 0.9174311926605504; 'support': 172}; 'accuracy': 0.9414316702819957; 'macro avg': {'precision': 0.9479232553236349; 'recall': 0.9273959925967651; 'f1-score': 0.9360265207000231; 'support': 461}; 'weighted avg': {'precision': 0.9428933516820999; 'recall': 0.9414316702819957; 'f1-score': 0.9407459423499542; 'support': 461}},{'0.0': {'precision': 0.9393939393939394; 'recall': 0.96875; 'f1-score': 0.9538461538461539; 'support': 32}; '1.0': {'precision': 0.9444444444444444; 'recall': 0.8947368421052632; 'f1-score': 0.918918918918919; 'support': 19}; 'accuracy': 0.9411764705882353; 'macro avg': {'precision': 0.9419191919191919; 'recall': 0.9317434210526316; 'f1-score': 0.9363825363825364; 'support': 51}; 'weighted avg': {'precision': 0.9412755000990295; 'recall': 0.9411764705882353; 'f1-score': 0.9408340467163996; 'support': 51}}
5,1,DNF,9,461,51,1,[461; 461],122,1.751014,0.901961,4,[X7 >= 0.051420 AND X13 >= 18.515000 AND X20 >= 14.905000 AND X26 >= 0.216400],{'0.0': {'precision': 0.9342105263157895; 'recall': 0.9826989619377162; 'f1-score': 0.957841483979764; 'support': 289}; '1.0': {'precision': 0.9681528662420382; 'recall': 0.8837209302325582; 'f1-score': 0.9240121580547113; 'support': 172}; 'accuracy': 0.9457700650759219; 'macro avg': {'precision': 0.9511816962789139; 'recall': 0.9332099460851372; 'f1-score': 0.9409268210172377; 'support': 461}; 'weighted avg': {'precision': 0.9468744796071448; 'recall': 0.9457700650759219; 'f1-score': 0.9452196964328896; 'support': 461}},{'0.0': {'precision': 0.8857142857142857; 'recall': 0.96875; 'f1-score': 0.9253731343283582; 'support': 32}; '1.0': {'precision': 0.9375; 'recall': 0.7894736842105263; 'f1-score': 0.8571428571428572; 'support': 19}; 'accuracy': 0.9019607843137255; 'macro avg': {'precision': 0.9116071428571428; 'recall': 0.8791118421052632; 'f1-score': 0.8912579957356077; 'support': 51}; 'weighted avg': {'precision': 0.9050070028011205; 'recall': 0.9019607843137255; 'f1-score': 0.8999540114553285; 'support': 51}}
5,2,CNF,0,460,52,1,[460; 460],122,54.310691,0.980769,7,[X13 >= 31.285000 OR X21 >= 29.295000 OR X22 >= 117.450000 OR X28 >= 0.357100] AND [X12 >= 5.131000 OR X20 >= 16.795000 OR X27 >= 0.142350],{'0.0': {'precision': 0.9727891156462585; 'recall': 0.9896193771626297; 'f1-score': 0.981132075471698; 'support': 289}; '1.0': {'precision': 0.9819277108433735; 'recall': 0.9532163742690059; 'f1-score': 0.9673590504451038; 'support': 171}; 'accuracy': 0.9760869565217392; 'macro avg': {'precision': 0.977358413244816; 'recall': 0.9714178757158178; 'f1-score': 0.9742455629584009; 'support': 460}; 'weighted avg': {'precision': 0.9761862890782294; 'recall': 0.9760869565217392; 'f1-score': 0.9760121031248554; 'support': 460}},{'0.0': {'precision': 0.9696969696969697; 'recall': 1.0; 'f1-score': 0.9846153846153847; 'support': 32}; '1.0': {'precision': 1.0; 'recall': 0.95; 'f1-score': 0.9743589743589743; 'support': 20}; 'accuracy': 0.9807692307692307; 'macro avg': {'precision': 0.9848484848484849; 'recall': 0.975; 'f1-score': 0.9794871794871796; 'support': 52}; 'weighted avg': {'precision': 0.9813519813519813; 'recall': 0.9807692307692307; 'f1-score': 0.9806706114398422; 'support': 52}}
5,2,CNF,1,460,52,1,[460; 460],122,21.955199,0.961538,8,[X12 >= 5.131000 OR X20 >= 16.795000 OR X27 >= 0.142350] AND [X13 >= 31.285000 OR X21 >= 29.295000 OR X22 >= 117.450000 OR X27 >= 0.175750 OR X28 >= 0.357100],{'0.0': {'precision': 0.9761092150170648; 'recall': 0.9930555555555556; 'f1-score': 0.9845094664371772; 'support': 288}; '1.0': {'precision': 0.9880239520958084; 'recall': 0.9593023255813954; 'f1-score': 0.9734513274336284; 'support': 172}; 'accuracy': 0.9804347826086957; 'macro avg': {'precision': 0.9820665835564366; 'recall': 0.9761789405684755; 'f1-score': 0.9789803969354027; 'support': 460}; 'weighted avg': {'precision': 0.9805642906204212; 'recall': 0.9804347826086957; 'f1-score': 0.9803746840271547; 'support': 460}},{'0.0': {'precision': 0.9696969696969697; 'recall': 0.9696969696969697; 'f1-score': 0.9696969696969697; 'support': 33}; '1.0': {'precision': 0.9473684210526315; 'recall': 0.9473684210526315; 'f1-score': 0.9473684210526315; 'support': 19}; 'accuracy': 0.9615384615384616; 'macro avg': {'precision': 0.9585326953748006; 'recall': 0.9585326953748006; 'f1-score': 0.9585326953748006; 'support': 52}; 'weighted avg': {'precision': 0.9615384615384616; 'recall': 0.9615384615384616; 'f1-score': 0.9615384615384616; 'support': 52}}
