lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
5,1,DNF,1,283,32,1,[283; 283],222,1.798520,0.968750,9,[X2 >= 0.190280 AND X4 >= 0.041440 AND X5 >= -0.795310 AND X9 >= -0.572990 AND X13 >= -0.554585 AND X15 < 0.968410 AND X15 >= -0.905170 AND X17 >= -0.805795 AND X28 >= -0.911830],{'0.0': {'precision': 0.9696969696969697; 'recall': 0.9411764705882353; 'f1-score': 0.955223880597015; 'support': 102}; '1.0': {'precision': 0.967391304347826; 'recall': 0.9834254143646409; 'f1-score': 0.9753424657534246; 'support': 181}; 'accuracy': 0.9681978798586572; 'macro avg': {'precision': 0.9685441370223979; 'recall': 0.9623009424764382; 'f1-score': 0.9652831731752198; 'support': 283}; 'weighted avg': {'precision': 0.9682223215408035; 'recall': 0.9681978798586572; 'f1-score': 0.9680912442482876; 'support': 283}},{'0.0': {'precision': 1.0; 'recall': 0.9090909090909091; 'f1-score': 0.9523809523809523; 'support': 11}; '1.0': {'precision': 0.9545454545454546; 'recall': 1.0; 'f1-score': 0.9767441860465117; 'support': 21}; 'accuracy': 0.96875; 'macro avg': {'precision': 0.9772727272727273; 'recall': 0.9545454545454546; 'f1-score': 0.9645625692137321; 'support': 32}; 'weighted avg': {'precision': 0.9701704545454546; 'recall': 0.96875; 'f1-score': 0.9683693244739757; 'support': 32}}
5,1,DNF,2,283,32,1,[283; 283],222,2.129060,1.000000,10,[X2 >= 0.190280 AND X4 >= 0.041440 AND X5 >= -0.795310 AND X7 >= -0.983575 AND X9 >= -0.572990 AND X13 >= -0.554585 AND X15 < 0.968410 AND X15 >= -0.905170 AND X17 >= -0.805795 AND X28 >= -0.911830],{'0.0': {'precision': 0.9693877551020408; 'recall': 0.9405940594059405; 'f1-score': 0.9547738693467337; 'support': 101}; '1.0': {'precision': 0.9675675675675676; 'recall': 0.9835164835164835; 'f1-score': 0.9754768392370572; 'support': 182}; 'accuracy': 0.9681978798586572; 'macro avg': {'precision': 0.9684776613348042; 'recall': 0.9620552714612121; 'f1-score': 0.9651253542918954; 'support': 283}; 'weighted avg': {'precision': 0.9682171751328742; 'recall': 0.9681978798586572; 'f1-score': 0.9680881468027014; 'support': 283}},{'0.0': {'precision': 1.0; 'recall': 1.0; 'f1-score': 1.0; 'support': 12}; '1.0': {'precision': 1.0; 'recall': 1.0; 'f1-score': 1.0; 'support': 20}; 'accuracy': 1.0; 'macro avg': {'precision': 1.0; 'recall': 1.0; 'f1-score': 1.0; 'support': 32}; 'weighted avg': {'precision': 1.0; 'recall': 1.0; 'f1-score': 1.0; 'support': 32}}
5,1,DNF,3,283,32,1,[283; 283],222,1.387090,0.968750,10,[X2 >= 0.190280 AND X4 >= 0.041440 AND X5 >= -0.795310 AND X7 >= -0.983575 AND X9 >= -0.572990 AND X13 >= -0.554585 AND X15 < 0.968410 AND X15 >= -0.905170 AND X17 >= -0.805795 AND X28 >= -0.911830],{'0.0': {'precision': 0.9696969696969697; 'recall': 0.9504950495049505; 'f1-score': 0.96; 'support': 101}; '1.0': {'precision': 0.9728260869565217; 'recall': 0.9835164835164835; 'f1-score': 0.9781420765027322; 'support': 182}; 'accuracy': 0.9717314487632509; 'macro avg': {'precision': 0.9712615283267457; 'recall': 0.967005766510717; 'f1-score': 0.9690710382513661; 'support': 283}; 'weighted avg': {'precision': 0.9717093348603565; 'recall': 0.9717314487632509; 'f1-score': 0.9716673424858561; 'support': 283}},{'0.0': {'precision': 1.0; 'recall': 0.9166666666666666; 'f1-score': 0.9565217391304348; 'support': 12}; '1.0': {'precision': 0.9523809523809523; 'recall': 1.0; 'f1-score': 0.975609756097561; 'support': 20}; 'accuracy': 0.96875; 'macro avg': {'precision': 0.9761904761904762; 'recall': 0.9583333333333333; 'f1-score': 0.9660657476139979; 'support': 32}; 'weighted avg': {'precision': 0.9702380952380952; 'recall': 0.96875; 'f1-score': 0.9684517497348887; 'support': 32}}
5,1,DNF,4,283,32,1,[283; 283],222,2.026533,0.968750,9,[X2 >= 0.190280 AND X4 >= 0.041440 AND X5 >= -0.795310 AND X7 >= -0.983575 AND X9 >= -0.572990 AND X13 >= -0.554585 AND X15 >= -0.905170 AND X17 >= -0.805795 AND X23 >= -0.987455],{'0.0': {'precision': 0.9791666666666666; 'recall': 0.9306930693069307; 'f1-score': 0.9543147208121827; 'support': 101}; '1.0': {'precision': 0.9625668449197861; 'recall': 0.989010989010989; 'f1-score': 0.9756097560975611; 'support': 182}; 'accuracy': 0.9681978798586572; 'macro avg': {'precision': 0.9708667557932263; 'recall': 0.9598520291589598; 'f1-score': 0.964962238454872; 'support': 283}; 'weighted avg': {'precision': 0.9684911629283901; 'recall': 0.9681978798586572; 'f1-score': 0.9680097611723908; 'support': 283}},{'0.0': {'precision': 0.9230769230769231; 'recall': 1.0; 'f1-score': 0.9600000000000001; 'support': 12}; '1.0': {'precision': 1.0; 'recall': 0.95; 'f1-score': 0.9743589743589743; 'support': 20}; 'accuracy': 0.96875; 'macro avg': {'precision': 0.9615384615384616; 'recall': 0.975; 'f1-score': 0.9671794871794872; 'support': 32}; 'weighted avg': {'precision': 0.9711538461538461; 'recall': 0.96875; 'f1-score': 0.9689743589743589; 'support': 32}}
5,1,DNF,5,284,31,1,[284; 284],222,1.858222,0.935484,10,[X2 >= 0.190280 AND X4 >= 0.041440 AND X5 >= -0.795310 AND X7 >= -0.983575 AND X9 >= -0.572990 AND X13 >= -0.554585 AND X15 < 0.968410 AND X15 >= -0.905170 AND X17 >= -0.805795 AND X28 >= -0.911830],{'0.0': {'precision': 0.9702970297029703; 'recall': 0.9607843137254902; 'f1-score': 0.9655172413793103; 'support': 102}; '1.0': {'precision': 0.9781420765027322; 'recall': 0.9835164835164835; 'f1-score': 0.9808219178082191; 'support': 182}; 'accuracy': 0.9753521126760564; 'macro avg': {'precision': 0.9742195531028512; 'recall': 0.9721503986209868; 'f1-score': 0.9731695795937647; 'support': 284}; 'weighted avg': {'precision': 0.9753244892718317; 'recall': 0.9753521126760564; 'f1-score': 0.9753251678231885; 'support': 284}},{'0.0': {'precision': 1.0; 'recall': 0.8181818181818182; 'f1-score': 0.9; 'support': 11}; '1.0': {'precision': 0.9090909090909091; 'recall': 1.0; 'f1-score': 0.9523809523809523; 'support': 20}; 'accuracy': 0.9354838709677419; 'macro avg': {'precision': 0.9545454545454546; 'recall': 0.9090909090909092; 'f1-score': 0.9261904761904762; 'support': 31}; 'weighted avg': {'precision': 0.9413489736070381; 'recall': 0.9354838709677419; 'f1-score': 0.9337941628264209; 'support': 31}}
5,1,DNF,6,284,31,1,[284; 284],222,1.410381,0.903226,10,[X0 AND X2 >= 0.190280 AND X4 >= 0.041440 AND X7 >= -0.983575 AND X9 >= -0.572990 AND X13 >= -0.554585 AND X15 < 0.968410 AND X15 >= -0.905170 AND X17 >= -0.805795 AND X28 >= -0.911830],{'0.0': {'precision': 0.9896907216494846; 'recall': 0.9411764705882353; 'f1-score': 0.964824120603015; 'support': 102}; '1.0': {'precision': 0.9679144385026738; 'recall': 0.9945054945054945; 'f1-score': 0.9810298102981031; 'support': 182}; 'accuracy': 0.9753521126760564; 'macro avg': {'precision': 0.9788025800760791; 'recall': 0.9678409825468649; 'f1-score': 0.972926965450559; 'support': 284}; 'weighted avg': {'precision': 0.9757354979427255; 'recall': 0.9753521126760564; 'f1-score': 0.9752094569569094; 'support': 284}},{'0.0': {'precision': 0.8333333333333334; 'recall': 0.9090909090909091; 'f1-score': 0.8695652173913043; 'support': 11}; '1.0': {'precision': 0.9473684210526315; 'recall': 0.9; 'f1-score': 0.9230769230769231; 'support': 20}; 'accuracy': 0.9032258064516129; 'macro avg': {'precision': 0.8903508771929824; 'recall': 0.9045454545454545; 'f1-score': 0.8963210702341138; 'support': 31}; 'weighted avg': {'precision': 0.9069043576683644; 'recall': 0.9032258064516129; 'f1-score': 0.9040888984788004; 'support': 31}}
5,1,DNF,7,284,31,1,[284; 284],222,1.219834,0.935484,9,[X2 >= 0.190280 AND X4 >= 0.041440 AND X5 >= -0.795310 AND X7 >= -0.983575 AND X9 >= -0.572990 AND X13 >= -0.554585 AND X15 < 0.968410 AND X17 >= -0.805795 AND X28 >= -0.911830],{'0.0': {'precision': 0.97; 'recall': 0.9509803921568627; 'f1-score': 0.9603960396039604; 'support': 102}; '1.0': {'precision': 0.9728260869565217; 'recall': 0.9835164835164835; 'f1-score': 0.9781420765027322; 'support': 182}; 'accuracy': 0.971830985915493; 'macro avg': {'precision': 0.9714130434782609; 'recall': 0.967248437836673; 'f1-score': 0.9692690580533463; 'support': 284}; 'weighted avg': {'precision': 0.9718110838946723; 'recall': 0.971830985915493; 'f1-score': 0.9717684998700749; 'support': 284}},{'0.0': {'precision': 1.0; 'recall': 0.8181818181818182; 'f1-score': 0.9; 'support': 11}; '1.0': {'precision': 0.9090909090909091; 'recall': 1.0; 'f1-score': 0.9523809523809523; 'support': 20}; 'accuracy': 0.9354838709677419; 'macro avg': {'precision': 0.9545454545454546; 'recall': 0.9090909090909092; 'f1-score': 0.9261904761904762; 'support': 31}; 'weighted avg': {'precision': 0.9413489736070381; 'recall': 0.9354838709677419; 'f1-score': 0.9337941628264209; 'support': 31}}
5,1,DNF,8,284,31,1,[284; 284],222,1.860244,0.870968,7,[X2 >= 0.190280 AND X3 >= -0.609635 AND X4 >= 0.041440 AND X5 >= -0.795310 AND X7 >= -0.983575 AND X13 >= -0.554585 AND X15 >= -0.905170],{'0.0': {'precision': 0.9895833333333334; 'recall': 0.9313725490196079; 'f1-score': 0.9595959595959597; 'support': 102}; '1.0': {'precision': 0.9627659574468085; 'recall': 0.9945054945054945; 'f1-score': 0.9783783783783783; 'support': 182}; 'accuracy': 0.971830985915493; 'macro avg': {'precision': 0.9761746453900709; 'recall': 0.9629390217625512; 'f1-score': 0.968987168987169; 'support': 284}; 'weighted avg': {'precision': 0.9723975501947856; 'recall': 0.971830985915493; 'f1-score': 0.9716325800832841; 'support': 284}},{'0.0': {'precision': 0.8888888888888888; 'recall': 0.7272727272727273; 'f1-score': 0.7999999999999999; 'support': 11}; '1.0': {'precision': 0.8636363636363636; 'recall': 0.95; 'f1-score': 0.9047619047619048; 'support': 20}; 'accuracy': 0.8709677419354839; 'macro avg': {'precision': 0.8762626262626263; 'recall': 0.8386363636363636; 'f1-score': 0.8523809523809524; 'support': 31}; 'weighted avg': {'precision': 0.8725969371130662; 'recall': 0.8709677419354839; 'f1-score': 0.8675883256528417; 'support': 31}}
5,1,DNF,9,284,31,1,[284; 284],222,1.736556,0.935484,10,[X2 >= 0.190280 AND X4 >= 0.041440 AND X5 >= -0.795310 AND X7 >= -0.983575 AND X9 >= -0.572990 AND X13 >= -0.554585 AND X15 < 0.968410 AND X15 >= -0.905170 AND X17 >= -0.805795 AND X28 >= -0.911830],{'0.0': {'precision': 0.9702970297029703; 'recall': 0.9607843137254902; 'f1-score': 0.9655172413793103; 'support': 102}; '1.0': {'precision': 0.9781420765027322; 'recall': 0.9835164835164835; 'f1-score': 0.9808219178082191; 'support': 182}; 'accuracy': 0.9753521126760564; 'macro avg': {'precision': 0.9742195531028512; 'recall': 0.9721503986209868; 'f1-score': 0.9731695795937647; 'support': 284}; 'weighted avg': {'precision': 0.9753244892718317; 'recall': 0.9753521126760564; 'f1-score': 0.9753251678231885; 'support': 284}},{'0.0': {'precision': 1.0; 'recall': 0.8181818181818182; 'f1-score': 0.9; 'support': 11}; '1.0': {'precision': 0.9090909090909091; 'recall': 1.0; 'f1-score': 0.9523809523809523; 'support': 20}; 'accuracy': 0.9354838709677419; 'macro avg': {'precision': 0.9545454545454546; 'recall': 0.9090909090909092; 'f1-score': 0.9261904761904762; 'support': 31}; 'weighted avg': {'precision': 0.9413489736070381; 'recall': 0.9354838709677419; 'f1-score': 0.9337941628264209; 'support': 31}}
5,2,CNF,0,283,32,1,[283; 283],222,1000.645527,0.875000,4,[X21 < -0.001400 OR X26 < 0.999945] AND [X4 >= 0.418075 OR X22 >= 0.186570],{'0.0': {'precision': 0.9230769230769231; 'recall': 0.8235294117647058; 'f1-score': 0.8704663212435233; 'support': 102}; '1.0': {'precision': 0.90625; 'recall': 0.9613259668508287; 'f1-score': 0.9329758713136729; 'support': 181}; 'accuracy': 0.911660777385159; 'macro avg': {'precision': 0.9146634615384616; 'recall': 0.8924276893077673; 'f1-score': 0.9017210962785981; 'support': 283}; 'weighted avg': {'precision': 0.9123148273987498; 'recall': 0.911660777385159; 'f1-score': 0.9104459274721348; 'support': 283}},{'0.0': {'precision': 0.8888888888888888; 'recall': 0.7272727272727273; 'f1-score': 0.7999999999999999; 'support': 11}; '1.0': {'precision': 0.8695652173913043; 'recall': 0.9523809523809523; 'f1-score': 0.909090909090909; 'support': 21}; 'accuracy': 0.875; 'macro avg': {'precision': 0.8792270531400965; 'recall': 0.8398268398268398; 'f1-score': 0.8545454545454545; 'support': 32}; 'weighted avg': {'precision': 0.876207729468599; 'recall': 0.875; 'f1-score': 0.8715909090909089; 'support': 32}}
5,2,CNF,1,283,32,1,[283; 283],222,1000.161682,0.875000,3,[X26 < 0.999945] AND [X4 >= 0.418075 OR X22 >= 0.186570],{'0.0': {'precision': 0.8679245283018868; 'recall': 0.9019607843137255; 'f1-score': 0.8846153846153846; 'support': 102}; '1.0': {'precision': 0.943502824858757; 'recall': 0.9226519337016574; 'f1-score': 0.9329608938547487; 'support': 181}; 'accuracy': 0.9151943462897526; 'macro avg': {'precision': 0.905713676580322; 'recall': 0.9123063590076914; 'f1-score': 0.9087881392350666; 'support': 283}; 'weighted avg': {'precision': 0.9162625907640547; 'recall': 0.9151943462897526; 'f1-score': 0.9155360106660027; 'support': 283}},{'0.0': {'precision': 0.8181818181818182; 'recall': 0.8181818181818182; 'f1-score': 0.8181818181818182; 'support': 11}; '1.0': {'precision': 0.9047619047619048; 'recall': 0.9047619047619048; 'f1-score': 0.9047619047619048; 'support': 21}; 'accuracy': 0.875; 'macro avg': {'precision': 0.8614718614718615; 'recall': 0.8614718614718615; 'f1-score': 0.8614718614718615; 'support': 32}; 'weighted avg': {'precision': 0.875; 'recall': 0.875; 'f1-score': 0.875; 'support': 32}}
