lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
5,1,CNF,1,460,52,28,[16; 17],122,0.750452,0.865385,3,[X0 >= 15.045000 OR X2 >= 98.755000 OR X5 >= 0.155250],{'0.0': {'precision': 0.9166666666666666; 'recall': 0.9548611111111112; 'f1-score': 0.935374149659864; 'support': 288}; '1.0': {'precision': 0.91875; 'recall': 0.8546511627906976; 'f1-score': 0.8855421686746987; 'support': 172}; 'accuracy': 0.9173913043478261; 'macro avg': {'precision': 0.9177083333333333; 'recall': 0.9047561369509044; 'f1-score': 0.9104581591672813; 'support': 460}; 'weighted avg': {'precision': 0.9174456521739129; 'recall': 0.9173913043478261; 'f1-score': 0.91674132198715; 'support': 460}},{'0.0': {'precision': 0.8823529411764706; 'recall': 0.9090909090909091; 'f1-score': 0.8955223880597014; 'support': 33}; '1.0': {'precision': 0.8333333333333334; 'recall': 0.7894736842105263; 'f1-score': 0.8108108108108109; 'support': 19}; 'accuracy': 0.8653846153846154; 'macro avg': {'precision': 0.857843137254902; 'recall': 0.8492822966507176; 'f1-score': 0.8531665994352562; 'support': 52}; 'weighted avg': {'precision': 0.8644419306184012; 'recall': 0.8653846153846154; 'f1-score': 0.8645700809879914; 'support': 52}}
5,1,CNF,2,461,51,28,[16; 17],122,0.772972,0.882353,3,[X7 >= 0.079005 OR X12 >= 2.762000 OR X23 >= 884.550000],{'0.0': {'precision': 0.9393939393939394; 'recall': 0.8581314878892734; 'f1-score': 0.8969258589511755; 'support': 289}; '1.0': {'precision': 0.7918781725888325; 'recall': 0.9069767441860465; 'f1-score': 0.8455284552845528; 'support': 172}; 'accuracy': 0.8763557483731019; 'macro avg': {'precision': 0.865636055991386; 'recall': 0.88255411603766; 'f1-score': 0.8712271571178641; 'support': 461}; 'weighted avg': {'precision': 0.8843555188072185; 'recall': 0.8763557483731019; 'f1-score': 0.8777493873011557; 'support': 461}},{'0.0': {'precision': 0.9333333333333333; 'recall': 0.875; 'f1-score': 0.9032258064516129; 'support': 32}; '1.0': {'precision': 0.8095238095238095; 'recall': 0.8947368421052632; 'f1-score': 0.8500000000000001; 'support': 19}; 'accuracy': 0.8823529411764706; 'macro avg': {'precision': 0.8714285714285714; 'recall': 0.8848684210526316; 'f1-score': 0.8766129032258065; 'support': 51}; 'weighted avg': {'precision': 0.8872082166199813; 'recall': 0.8823529411764706; 'f1-score': 0.8833965844402277; 'support': 51}}
5,1,CNF,3,461,51,28,[16; 17],122,0.764395,0.862745,4,[X0 >= 15.045000 OR X2 >= 114.800000 OR X5 >= 0.155250 OR X6 >= 0.119200],{'0.0': {'precision': 0.9444444444444444; 'recall': 0.9411764705882353; 'f1-score': 0.9428076256499133; 'support': 289}; '1.0': {'precision': 0.9017341040462428; 'recall': 0.9069767441860465; 'f1-score': 0.9043478260869565; 'support': 172}; 'accuracy': 0.928416485900217; 'macro avg': {'precision': 0.9230892742453436; 'recall': 0.9240766073871409; 'f1-score': 0.9235777258684349; 'support': 461}; 'weighted avg': {'precision': 0.9285091330594322; 'recall': 0.928416485900217; 'f1-score': 0.9284581993487666; 'support': 461}},{'0.0': {'precision': 0.8787878787878788; 'recall': 0.90625; 'f1-score': 0.8923076923076922; 'support': 32}; '1.0': {'precision': 0.8333333333333334; 'recall': 0.7894736842105263; 'f1-score': 0.8108108108108109; 'support': 19}; 'accuracy': 0.8627450980392157; 'macro avg': {'precision': 0.8560606060606061; 'recall': 0.8478618421052632; 'f1-score': 0.8515592515592516; 'support': 51}; 'weighted avg': {'precision': 0.8618538324420677; 'recall': 0.8627450980392157; 'f1-score': 0.8619461090049324; 'support': 51}}
5,1,CNF,4,461,51,28,[16; 17],122,0.767501,0.960784,2,[X0 >= 15.045000 OR X22 >= 117.450000],{'0.0': {'precision': 0.8920634920634921; 'recall': 0.972318339100346; 'f1-score': 0.9304635761589405; 'support': 289}; '1.0': {'precision': 0.9452054794520548; 'recall': 0.8023255813953488; 'f1-score': 0.8679245283018868; 'support': 172}; 'accuracy': 0.9088937093275488; 'macro avg': {'precision': 0.9186344857577735; 'recall': 0.8873219602478475; 'f1-score': 0.8991940522304136; 'support': 461}; 'weighted avg': {'precision': 0.9118908713060795; 'recall': 0.9088937093275488; 'f1-score': 0.907130135309888; 'support': 461}},{'0.0': {'precision': 0.9411764705882353; 'recall': 1.0; 'f1-score': 0.9696969696969697; 'support': 32}; '1.0': {'precision': 1.0; 'recall': 0.8947368421052632; 'f1-score': 0.9444444444444444; 'support': 19}; 'accuracy': 0.9607843137254902; 'macro avg': {'precision': 0.9705882352941176; 'recall': 0.9473684210526316; 'f1-score': 0.9570707070707071; 'support': 51}; 'weighted avg': {'precision': 0.9630911188004614; 'recall': 0.9607843137254902; 'f1-score': 0.960289166171519; 'support': 51}}
5,1,CNF,5,461,51,28,[16; 17],122,0.769502,0.960784,4,[X0 >= 15.045000 OR X7 >= 0.079005 OR X20 >= 16.795000 OR X23 >= 1214.000000],{'0.0': {'precision': 0.9393939393939394; 'recall': 0.9653979238754326; 'f1-score': 0.9522184300341299; 'support': 289}; '1.0': {'precision': 0.9390243902439024; 'recall': 0.8953488372093024; 'f1-score': 0.9166666666666666; 'support': 172}; 'accuracy': 0.9392624728850325; 'macro avg': {'precision': 0.9392091648189209; 'recall': 0.9303733805423675; 'f1-score': 0.9344425483503982; 'support': 461}; 'weighted avg': {'precision': 0.939256059884598; 'recall': 0.9392624728850325; 'f1-score': 0.9389539977148159; 'support': 461}},{'0.0': {'precision': 0.9411764705882353; 'recall': 1.0; 'f1-score': 0.9696969696969697; 'support': 32}; '1.0': {'precision': 1.0; 'recall': 0.8947368421052632; 'f1-score': 0.9444444444444444; 'support': 19}; 'accuracy': 0.9607843137254902; 'macro avg': {'precision': 0.9705882352941176; 'recall': 0.9473684210526316; 'f1-score': 0.9570707070707071; 'support': 51}; 'weighted avg': {'precision': 0.9630911188004614; 'recall': 0.9607843137254902; 'f1-score': 0.960289166171519; 'support': 51}}
5,1,CNF,6,461,51,28,[16; 17],122,0.869214,0.901961,2,[X13 >= 31.285000 OR X28 >= 0.357100],{'0.0': {'precision': 0.9411764705882353; 'recall': 0.8858131487889274; 'f1-score': 0.9126559714795008; 'support': 289}; '1.0': {'precision': 0.8253968253968254; 'recall': 0.9069767441860465; 'f1-score': 0.8642659279778392; 'support': 172}; 'accuracy': 0.8937093275488069; 'macro avg': {'precision': 0.8832866479925303; 'recall': 0.896394946487487; 'f1-score': 0.88846094972867; 'support': 461}; 'weighted avg': {'precision': 0.8979788589333058; 'recall': 0.8937093275488069; 'f1-score': 0.8946015517782302; 'support': 461}},{'0.0': {'precision': 0.9655172413793104; 'recall': 0.875; 'f1-score': 0.9180327868852458; 'support': 32}; '1.0': {'precision': 0.8181818181818182; 'recall': 0.9473684210526315; 'f1-score': 0.8780487804878049; 'support': 19}; 'accuracy': 0.9019607843137255; 'macro avg': {'precision': 0.8918495297805643; 'recall': 0.9111842105263157; 'f1-score': 0.8980407836865254; 'support': 51}; 'weighted avg': {'precision': 0.9106275739135781; 'recall': 0.9019607843137255; 'f1-score': 0.9031367845018854; 'support': 51}}
5,1,CNF,7,461,51,28,[16; 17],122,0.840518,0.941176,5,[X0 >= 15.045000 OR X3 >= 696.250000 OR X5 >= 0.155250 OR X7 >= 0.079005 OR X25 >= 0.367250],{'0.0': {'precision': 0.9530685920577617; 'recall': 0.9134948096885813; 'f1-score': 0.9328621908127209; 'support': 289}; '1.0': {'precision': 0.8641304347826086; 'recall': 0.9244186046511628; 'f1-score': 0.893258426966292; 'support': 172}; 'accuracy': 0.9175704989154013; 'macro avg': {'precision': 0.9085995134201852; 'recall': 0.9189567071698721; 'f1-score': 0.9130603088895064; 'support': 461}; 'weighted avg': {'precision': 0.9198855919464248; 'recall': 0.9175704989154013; 'f1-score': 0.918085949204075; 'support': 461}},{'0.0': {'precision': 0.967741935483871; 'recall': 0.9375; 'f1-score': 0.9523809523809523; 'support': 32}; '1.0': {'precision': 0.9; 'recall': 0.9473684210526315; 'f1-score': 0.9230769230769231; 'support': 19}; 'accuracy': 0.9411764705882353; 'macro avg': {'precision': 0.9338709677419355; 'recall': 0.9424342105263157; 'f1-score': 0.9377289377289377; 'support': 51}; 'weighted avg': {'precision': 0.9425047438330171; 'recall': 0.9411764705882353; 'f1-score': 0.9414637649931767; 'support': 51}}
5,1,CNF,8,461,51,28,[16; 17],122,0.830830,0.901961,2,[X0 >= 15.045000 OR X3 >= 696.250000],{'0.0': {'precision': 0.8703703703703703; 'recall': 0.9757785467128027; 'f1-score': 0.9200652528548123; 'support': 289}; '1.0': {'precision': 0.948905109489051; 'recall': 0.7558139534883721; 'f1-score': 0.8414239482200647; 'support': 172}; 'accuracy': 0.8937093275488069; 'macro avg': {'precision': 0.9096377399297106; 'recall': 0.8657962501005874; 'f1-score': 0.8807446005374385; 'support': 461}; 'weighted avg': {'precision': 0.8996718348571665; 'recall': 0.8937093275488069; 'f1-score': 0.8907240285659261; 'support': 461}},{'0.0': {'precision': 0.8857142857142857; 'recall': 0.96875; 'f1-score': 0.9253731343283582; 'support': 32}; '1.0': {'precision': 0.9375; 'recall': 0.7894736842105263; 'f1-score': 0.8571428571428572; 'support': 19}; 'accuracy': 0.9019607843137255; 'macro avg': {'precision': 0.9116071428571428; 'recall': 0.8791118421052632; 'f1-score': 0.8912579957356077; 'support': 51}; 'weighted avg': {'precision': 0.9050070028011205; 'recall': 0.9019607843137255; 'f1-score': 0.8999540114553285; 'support': 51}}
5,1,CNF,9,461,51,28,[16; 17],122,0.904681,0.882353,3,[X5 >= 0.155250 OR X7 >= 0.051420 OR X10 >= 0.547850],{'0.0': {'precision': 0.9565217391304348; 'recall': 0.9134948096885813; 'f1-score': 0.9345132743362832; 'support': 289}; '1.0': {'precision': 0.8648648648648649; 'recall': 0.9302325581395349; 'f1-score': 0.896358543417367; 'support': 172}; 'accuracy': 0.9197396963123644; 'macro avg': {'precision': 0.9106933019976499; 'recall': 0.9218636839140582; 'f1-score': 0.9154359088768251; 'support': 461}; 'weighted avg': {'precision': 0.922324380402283; 'recall': 0.9197396963123644; 'f1-score': 0.9202776697418069; 'support': 461}},{'0.0': {'precision': 0.90625; 'recall': 0.90625; 'f1-score': 0.90625; 'support': 32}; '1.0': {'precision': 0.8421052631578947; 'recall': 0.8421052631578947; 'f1-score': 0.8421052631578947; 'support': 19}; 'accuracy': 0.8823529411764706; 'macro avg': {'precision': 0.8741776315789473; 'recall': 0.8741776315789473; 'f1-score': 0.8741776315789473; 'support': 51}; 'weighted avg': {'precision': 0.8823529411764706; 'recall': 0.8823529411764706; 'f1-score': 0.8823529411764706; 'support': 51}}
5,1,CNF,0,460,52,14,[32; 33],122,0.554692,0.903846,2,[X2 >= 98.755000 OR X28 >= 0.357100],{'0.0': {'precision': 0.9207920792079208; 'recall': 0.9653979238754326; 'f1-score': 0.9425675675675677; 'support': 289}; '1.0': {'precision': 0.9363057324840764; 'recall': 0.8596491228070176; 'f1-score': 0.8963414634146342; 'support': 171}; 'accuracy': 0.9260869565217391; 'macro avg': {'precision': 0.9285489058459986; 'recall': 0.912523523341225; 'f1-score': 0.9194545154911009; 'support': 460}; 'weighted avg': {'precision': 0.9265591111866657; 'recall': 0.9260869565217391; 'f1-score': 0.9253835158063685; 'support': 460}},{'0.0': {'precision': 0.9090909090909091; 'recall': 0.9375; 'f1-score': 0.923076923076923; 'support': 32}; '1.0': {'precision': 0.8947368421052632; 'recall': 0.85; 'f1-score': 0.8717948717948718; 'support': 20}; 'accuracy': 0.9038461538461539; 'macro avg': {'precision': 0.9019138755980861; 'recall': 0.89375; 'f1-score': 0.8974358974358974; 'support': 52}; 'weighted avg': {'precision': 0.9035701140964298; 'recall': 0.9038461538461539; 'f1-score': 0.9033530571992111; 'support': 52}}
