lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
5,1,CNF,1,460,52,28,[16; 17],122,0.762733,0.961538,2,[X22 >= 117.450000 OR X27 >= 0.175750],{'0.0': {'precision': 0.9166666666666666; 'recall': 0.9930555555555556; 'f1-score': 0.9533333333333333; 'support': 288}; '1.0': {'precision': 0.9864864864864865; 'recall': 0.8488372093023255; 'f1-score': 0.9125; 'support': 172}; 'accuracy': 0.9391304347826087; 'macro avg': {'precision': 0.9515765765765766; 'recall': 0.9209463824289406; 'f1-score': 0.9329166666666666; 'support': 460}; 'weighted avg': {'precision': 0.9427732079905993; 'recall': 0.9391304347826087; 'f1-score': 0.9380652173913043; 'support': 460}},{'0.0': {'precision': 0.9428571428571428; 'recall': 1.0; 'f1-score': 0.9705882352941176; 'support': 33}; '1.0': {'precision': 1.0; 'recall': 0.8947368421052632; 'f1-score': 0.9444444444444444; 'support': 19}; 'accuracy': 0.9615384615384616; 'macro avg': {'precision': 0.9714285714285714; 'recall': 0.9473684210526316; 'f1-score': 0.957516339869281; 'support': 52}; 'weighted avg': {'precision': 0.9637362637362638; 'recall': 0.9615384615384616; 'f1-score': 0.961035696329814; 'support': 52}}
5,1,CNF,2,461,51,28,[16; 17],122,0.805366,0.901961,3,[X0 >= 15.045000 OR X2 >= 114.800000 OR X22 >= 117.450000],{'0.0': {'precision': 0.8974358974358975; 'recall': 0.9688581314878892; 'f1-score': 0.9317803660565723; 'support': 289}; '1.0': {'precision': 0.9395973154362416; 'recall': 0.813953488372093; 'f1-score': 0.8722741433021807; 'support': 172}; 'accuracy': 0.911062906724512; 'macro avg': {'precision': 0.9185166064360695; 'recall': 0.8914058099299911; 'f1-score': 0.9020272546793765; 'support': 461}; 'weighted avg': {'precision': 0.9131664048026202; 'recall': 0.911062906724512; 'f1-score': 0.9095784781742395; 'support': 461}},{'0.0': {'precision': 0.8857142857142857; 'recall': 0.96875; 'f1-score': 0.9253731343283582; 'support': 32}; '1.0': {'precision': 0.9375; 'recall': 0.7894736842105263; 'f1-score': 0.8571428571428572; 'support': 19}; 'accuracy': 0.9019607843137255; 'macro avg': {'precision': 0.9116071428571428; 'recall': 0.8791118421052632; 'f1-score': 0.8912579957356077; 'support': 51}; 'weighted avg': {'precision': 0.9050070028011205; 'recall': 0.9019607843137255; 'f1-score': 0.8999540114553285; 'support': 51}}
5,1,CNF,3,461,51,28,[16; 17],122,0.818840,0.921569,3,[X10 >= 0.547850 OR X20 >= 18.225000 OR X27 >= 0.175750],{'0.0': {'precision': 0.9129032258064517; 'recall': 0.9792387543252595; 'f1-score': 0.9449081803005008; 'support': 289}; '1.0': {'precision': 0.9602649006622517; 'recall': 0.8430232558139535; 'f1-score': 0.8978328173374613; 'support': 172}; 'accuracy': 0.928416485900217; 'macro avg': {'precision': 0.9365840632343516; 'recall': 0.9111310050696065; 'f1-score': 0.921370498818981; 'support': 461}; 'weighted avg': {'precision': 0.9305739591582902; 'recall': 0.928416485900217; 'f1-score': 0.9273442704748116; 'support': 461}},{'0.0': {'precision': 0.9117647058823529; 'recall': 0.96875; 'f1-score': 0.9393939393939394; 'support': 32}; '1.0': {'precision': 0.9411764705882353; 'recall': 0.8421052631578947; 'f1-score': 0.8888888888888888; 'support': 19}; 'accuracy': 0.9215686274509803; 'macro avg': {'precision': 0.9264705882352942; 'recall': 0.9054276315789473; 'f1-score': 0.9141414141414141; 'support': 51}; 'weighted avg': {'precision': 0.9227220299884661; 'recall': 0.9215686274509803; 'f1-score': 0.9205783323430382; 'support': 51}}
5,1,CNF,4,461,51,28,[16; 17],122,0.783140,0.921569,2,[X3 >= 883.250000 OR X27 >= 0.175750],{'0.0': {'precision': 0.8753799392097265; 'recall': 0.9965397923875432; 'f1-score': 0.9320388349514565; 'support': 289}; '1.0': {'precision': 0.9924242424242424; 'recall': 0.7616279069767442; 'f1-score': 0.861842105263158; 'support': 172}; 'accuracy': 0.9088937093275488; 'macro avg': {'precision': 0.9339020908169844; 'recall': 0.8790838496821437; 'f1-score': 0.8969404701073072; 'support': 461}; 'weighted avg': {'precision': 0.9190493972420404; 'recall': 0.9088937093275488; 'f1-score': 0.9058482980612453; 'support': 461}},{'0.0': {'precision': 0.8888888888888888; 'recall': 1.0; 'f1-score': 0.9411764705882353; 'support': 32}; '1.0': {'precision': 1.0; 'recall': 0.7894736842105263; 'f1-score': 0.8823529411764706; 'support': 19}; 'accuracy': 0.9215686274509803; 'macro avg': {'precision': 0.9444444444444444; 'recall': 0.8947368421052632; 'f1-score': 0.9117647058823529; 'support': 51}; 'weighted avg': {'precision': 0.9302832244008714; 'recall': 0.9215686274509803; 'f1-score': 0.9192618223760093; 'support': 51}}
5,1,CNF,5,461,51,28,[16; 17],122,0.799791,0.921569,2,[X10 >= 0.547850 OR X20 >= 16.795000],{'0.0': {'precision': 0.919732441471572; 'recall': 0.9515570934256056; 'f1-score': 0.935374149659864; 'support': 289}; '1.0': {'precision': 0.9135802469135802; 'recall': 0.8604651162790697; 'f1-score': 0.8862275449101796; 'support': 172}; 'accuracy': 0.9175704989154013; 'macro avg': {'precision': 0.9166563441925761; 'recall': 0.9060111048523376; 'f1-score': 0.9108008472850218; 'support': 461}; 'weighted avg': {'precision': 0.9174370456711933; 'recall': 0.9175704989154013; 'f1-score': 0.9170374554799382; 'support': 461}},{'0.0': {'precision': 0.9375; 'recall': 0.9375; 'f1-score': 0.9375; 'support': 32}; '1.0': {'precision': 0.8947368421052632; 'recall': 0.8947368421052632; 'f1-score': 0.8947368421052632; 'support': 19}; 'accuracy': 0.9215686274509803; 'macro avg': {'precision': 0.9161184210526316; 'recall': 0.9161184210526316; 'f1-score': 0.9161184210526316; 'support': 51}; 'weighted avg': {'precision': 0.9215686274509803; 'recall': 0.9215686274509803; 'f1-score': 0.9215686274509803; 'support': 51}}
5,1,CNF,6,461,51,28,[16; 17],122,0.829047,0.862745,4,[X0 >= 15.045000 OR X5 >= 0.102150 OR X23 >= 1214.000000 OR X27 >= 0.175750],{'0.0': {'precision': 0.9688888888888889; 'recall': 0.754325259515571; 'f1-score': 0.8482490272373541; 'support': 289}; '1.0': {'precision': 0.6991525423728814; 'recall': 0.9593023255813954; 'f1-score': 0.8088235294117647; 'support': 172}; 'accuracy': 0.8308026030368764; 'macro avg': {'precision': 0.8340207156308852; 'recall': 0.8568137925484831; 'f1-score': 0.8285362783245593; 'support': 461}; 'weighted avg': {'precision': 0.8682497314035239; 'recall': 0.8308026030368764; 'f1-score': 0.8335392970291082; 'support': 461}},{'0.0': {'precision': 0.9629629629629629; 'recall': 0.8125; 'f1-score': 0.8813559322033898; 'support': 32}; '1.0': {'precision': 0.75; 'recall': 0.9473684210526315; 'f1-score': 0.8372093023255814; 'support': 19}; 'accuracy': 0.8627450980392157; 'macro avg': {'precision': 0.8564814814814814; 'recall': 0.8799342105263157; 'f1-score': 0.8592826172644856; 'support': 51}; 'weighted avg': {'precision': 0.8836238198983296; 'recall': 0.8627450980392157; 'f1-score': 0.864909148523422; 'support': 51}}
5,1,CNF,7,461,51,28,[16; 17],122,0.782930,0.843137,2,[X0 >= 15.045000 OR X10 >= 0.547850],{'0.0': {'precision': 0.8925081433224755; 'recall': 0.9480968858131488; 'f1-score': 0.9194630872483222; 'support': 289}; '1.0': {'precision': 0.9025974025974026; 'recall': 0.8081395348837209; 'f1-score': 0.852760736196319; 'support': 172}; 'accuracy': 0.89587852494577; 'macro avg': {'precision': 0.8975527729599391; 'recall': 0.8781182103484348; 'f1-score': 0.8861119117223206; 'support': 461}; 'weighted avg': {'precision': 0.8962724656549863; 'recall': 0.89587852494577; 'f1-score': 0.8945763098493101; 'support': 461}},{'0.0': {'precision': 0.8157894736842105; 'recall': 0.96875; 'f1-score': 0.8857142857142857; 'support': 32}; '1.0': {'precision': 0.9230769230769231; 'recall': 0.631578947368421; 'f1-score': 0.7499999999999999; 'support': 19}; 'accuracy': 0.8431372549019608; 'macro avg': {'precision': 0.8694331983805668; 'recall': 0.8001644736842105; 'f1-score': 0.8178571428571428; 'support': 51}; 'weighted avg': {'precision': 0.8557593077716916; 'recall': 0.8431372549019608; 'f1-score': 0.8351540616246499; 'support': 51}}
5,1,CNF,8,461,51,28,[16; 17],122,0.873187,0.960784,3,[X0 >= 15.045000 OR X5 >= 0.155250 OR X13 >= 31.285000],{'0.0': {'precision': 0.950381679389313; 'recall': 0.8615916955017301; 'f1-score': 0.9038112522686025; 'support': 289}; '1.0': {'precision': 0.7989949748743719; 'recall': 0.9244186046511628; 'f1-score': 0.8571428571428572; 'support': 172}; 'accuracy': 0.8850325379609545; 'macro avg': {'precision': 0.8746883271318424; 'recall': 0.8930051500764464; 'f1-score': 0.8804770547057299; 'support': 461}; 'weighted avg': {'precision': 0.8938990043859075; 'recall': 0.8850325379609545; 'f1-score': 0.8863991829375218; 'support': 461}},{'0.0': {'precision': 1.0; 'recall': 0.9375; 'f1-score': 0.967741935483871; 'support': 32}; '1.0': {'precision': 0.9047619047619048; 'recall': 1.0; 'f1-score': 0.9500000000000001; 'support': 19}; 'accuracy': 0.9607843137254902; 'macro avg': {'precision': 0.9523809523809523; 'recall': 0.96875; 'f1-score': 0.9588709677419356; 'support': 51}; 'weighted avg': {'precision': 0.9645191409897292; 'recall': 0.9607843137254902; 'f1-score': 0.9611321948134092; 'support': 51}}
5,1,CNF,9,461,51,28,[16; 17],122,0.881228,0.823529,3,[X6 >= 0.119200 OR X10 >= 0.547850 OR X21 >= 29.295000],{'0.0': {'precision': 0.9416342412451362; 'recall': 0.8373702422145328; 'f1-score': 0.8864468864468864; 'support': 289}; '1.0': {'precision': 0.7696078431372549; 'recall': 0.9127906976744186; 'f1-score': 0.8351063829787234; 'support': 172}; 'accuracy': 0.8655097613882863; 'macro avg': {'precision': 0.8556210421911956; 'recall': 0.8750804699444756; 'f1-score': 0.860776634712805; 'support': 461}; 'weighted avg': {'precision': 0.8774508562677922; 'recall': 0.8655097613882863; 'f1-score': 0.8672916443719969; 'support': 461}},{'0.0': {'precision': 0.9259259259259259; 'recall': 0.78125; 'f1-score': 0.847457627118644; 'support': 32}; '1.0': {'precision': 0.7083333333333334; 'recall': 0.8947368421052632; 'f1-score': 0.7906976744186046; 'support': 19}; 'accuracy': 0.8235294117647058; 'macro avg': {'precision': 0.8171296296296297; 'recall': 0.8379934210526316; 'f1-score': 0.8190776507686244; 'support': 51}; 'weighted avg': {'precision': 0.8448620188816267; 'recall': 0.8235294117647058; 'f1-score': 0.8263117623872569; 'support': 51}}
5,1,CNF,0,460,52,14,[32; 33],122,0.448552,0.903846,2,[X10 >= 0.547850 OR X20 >= 16.795000],{'0.0': {'precision': 0.9256756756756757; 'recall': 0.9480968858131488; 'f1-score': 0.9367521367521366; 'support': 289}; '1.0': {'precision': 0.9085365853658537; 'recall': 0.8713450292397661; 'f1-score': 0.8895522388059701; 'support': 171}; 'accuracy': 0.9195652173913044; 'macro avg': {'precision': 0.9171061305207646; 'recall': 0.9097209575264574; 'f1-score': 0.9131521877790534; 'support': 460}; 'weighted avg': {'precision': 0.9193044051474593; 'recall': 0.9195652173913044; 'f1-score': 0.9192060877330183; 'support': 460}},{'0.0': {'precision': 0.8857142857142857; 'recall': 0.96875; 'f1-score': 0.9253731343283582; 'support': 32}; '1.0': {'precision': 0.9411764705882353; 'recall': 0.8; 'f1-score': 0.8648648648648648; 'support': 20}; 'accuracy': 0.9038461538461539; 'macro avg': {'precision': 0.9134453781512605; 'recall': 0.884375; 'f1-score': 0.8951189995966116; 'support': 52}; 'weighted avg': {'precision': 0.9070458952811895; 'recall': 0.9038461538461539; 'f1-score': 0.9021007229962452; 'support': 52}}
