l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,26374,2931,1648,[16; 17],296,54.623860,0.698396,3,[X1 == 5 OR X1 == 6 OR X3 == 1],{'0': {'precision': 0.7682060390763765; 'recall': 0.8640063926484542; 'f1-score': 0.813294784100792; 'support': 20023}; '1': {'precision': 0.29346133886870784; 'recall': 0.1780821917808219; 'f1-score': 0.22165605095541402; 'support': 6351}; 'accuracy': 0.6988321832107378; 'macro avg': {'precision': 0.5308336889725422; 'recall': 0.5210442922146381; 'f1-score': 0.517475417528103; 'support': 26374}; 'weighted avg': {'precision': 0.6538849807985687; 'recall': 0.6988321832107378; 'f1-score': 0.6708250186421474; 'support': 26374}},{'0': {'precision': 0.7685222266720064; 'recall': 0.8624719101123596; 'f1-score': 0.8127911901736553; 'support': 2225}; '1': {'precision': 0.29493087557603687; 'recall': 0.1813031161473088; 'f1-score': 0.2245614035087719; 'support': 706}; 'accuracy': 0.6983964517229615; 'macro avg': {'precision': 0.5317265511240217; 'recall': 0.5218875131298342; 'f1-score': 0.5186762968412136; 'support': 2931}; 'weighted avg': {'precision': 0.6544466572848503; 'recall': 0.6983964517229615; 'f1-score': 0.671102268513673; 'support': 2931}}
l: 5,1,CNF,1,26374,2931,1648,[16; 17],296,52.433660,0.787445,7,[X1 == 1 OR X1 == 2 OR X3 == 10 OR X3 == 14 OR X5 == 1 OR X10 >= 7073.500000 OR X11 >= 1820.500000],{'0': {'precision': 0.827578258263796; 'recall': 0.8965190031463817; 'f1-score': 0.8606702785635517; 'support': 20023}; '1': {'precision': 0.5575485799701047; 'recall': 0.411116359628405; 'f1-score': 0.4732644553199203; 'support': 6351}; 'accuracy': 0.779631455221051; 'macro avg': {'precision': 0.6925634191169503; 'recall': 0.6538176813873933; 'f1-score': 0.666967366941736; 'support': 26374}; 'weighted avg': {'precision': 0.7625536701526551; 'recall': 0.779631455221051; 'f1-score': 0.7673808881252298; 'support': 26374}},{'0': {'precision': 0.8343071786310517; 'recall': 0.8984269662921348; 'f1-score': 0.8651806968188703; 'support': 2225}; '1': {'precision': 0.577570093457944; 'recall': 0.4376770538243626; 'f1-score': 0.4979854955680903; 'support': 706}; 'accuracy': 0.7874445581712726; 'macro avg': {'precision': 0.7059386360444979; 'recall': 0.6680520100582488; 'f1-score': 0.6815830961934803; 'support': 2931}; 'weighted avg': {'precision': 0.7724660383607638; 'recall': 0.7874445581712726; 'f1-score': 0.7767331321368331; 'support': 2931}}
l: 5,1,CNF,2,26374,2931,1648,[16; 17],296,52.569965,0.747868,8,[X3 == 7 OR X4 >= 14.500000 OR X5 == 3 OR X6 == 6 OR X10 >= 5119.000000 OR X13 == 10 OR X13 == 23 OR X13 == 30],{'0': {'precision': 0.8002357635110627; 'recall': 0.8814862907656196; 'f1-score': 0.8388982627914161; 'support': 20023}; '1': {'precision': 0.45044001852709586; 'recall': 0.3062509840969926; 'f1-score': 0.3646077420564251; 'support': 6351}; 'accuracy': 0.742966557973762; 'macro avg': {'precision': 0.6253378910190793; 'recall': 0.593868637431306; 'f1-score': 0.6017530024239206; 'support': 26374}; 'weighted avg': {'precision': 0.7160030807024946; 'recall': 0.742966557973762; 'f1-score': 0.7246865733553075; 'support': 26374}},{'0': {'precision': 0.8015422077922078; 'recall': 0.8876404494382022; 'f1-score': 0.8423970995947963; 'support': 2225}; '1': {'precision': 0.46466809421841543; 'recall': 0.3073654390934844; 'f1-score': 0.3699914748508099; 'support': 706}; 'accuracy': 0.7478676219720232; 'macro avg': {'precision': 0.6331051510053116; 'recall': 0.5975029442658433; 'f1-score': 0.6061942872228031; 'support': 2931}; 'weighted avg': {'precision': 0.7203981872589095; 'recall': 0.7478676219720232; 'f1-score': 0.7286071401716457; 'support': 2931}}
l: 5,1,CNF,3,26374,2931,1648,[16; 17],296,52.946661,0.784374,7,[X1 == 1 OR X1 == 5 OR X3 == 10 OR X6 == 11 OR X6 == 13 OR X10 >= 4243.500000 OR X13 == 10],{'0': {'precision': 0.8201063008222415; 'recall': 0.9016131448833841; 'f1-score': 0.8589304405747454; 'support': 20023}; '1': {'precision': 0.5482687457005274; 'recall': 0.3764761454888994; 'f1-score': 0.4464152352501867; 'support': 6351}; 'accuracy': 0.7751573519375142; 'macro avg': {'precision': 0.6841875232613844; 'recall': 0.6390446451861418; 'f1-score': 0.6526728379124661; 'support': 26374}; 'weighted avg': {'precision': 0.7546463663193975; 'recall': 0.7751573519375142; 'f1-score': 0.759594576882614; 'support': 26374}},{'0': {'precision': 0.8233861144945189; 'recall': 0.9114606741573034; 'f1-score': 0.8651877133105803; 'support': 2225}; '1': {'precision': 0.5790598290598291; 'recall': 0.3838526912181303; 'f1-score': 0.4616695059625213; 'support': 706}; 'accuracy': 0.784373933810986; 'macro avg': {'precision': 0.7012229717771741; 'recall': 0.6476566826877168; 'f1-score': 0.6634286096365508; 'support': 2931}; 'weighted avg': {'precision': 0.76453440602748; 'recall': 0.784373933810986; 'f1-score': 0.7679909018511024; 'support': 2931}}
l: 5,1,CNF,4,26374,2931,1648,[16; 17],296,54.707236,0.748891,5,[X1 == 5 OR X3 == 14 OR X4 >= 12.500000 OR X5 == 1 OR X13 == 41],{'0': {'precision': 0.8486466867157524; 'recall': 0.8174099785246965; 'f1-score': 0.8327355058637971; 'support': 20023}; '1': {'precision': 0.48419864559819414; 'recall': 0.5403873405762872; 'f1-score': 0.5107522881166755; 'support': 6351}; 'accuracy': 0.7507014483961477; 'macro avg': {'precision': 0.6664226661569732; 'recall': 0.6788986595504919; 'f1-score': 0.6717438969902363; 'support': 26374}; 'weighted avg': {'precision': 0.7608856527755988; 'recall': 0.7507014483961477; 'f1-score': 0.75520022809357; 'support': 26374}},{'0': {'precision': 0.8451553082985628; 'recall': 0.8193258426966292; 'f1-score': 0.8320401643085349; 'support': 2225}; '1': {'precision': 0.4806201550387597; 'recall': 0.5269121813031161; 'f1-score': 0.5027027027027027; 'support': 706}; 'accuracy': 0.748891163425452; 'macro avg': {'precision': 0.6628877316686612; 'recall': 0.6731190119998727; 'f1-score': 0.6673714335056188; 'support': 2931}; 'weighted avg': {'precision': 0.7573484784789036; 'recall': 0.748891163425452; 'f1-score': 0.7527115229254855; 'support': 2931}}
l: 5,1,CNF,5,26375,2930,1648,[16; 17],296,52.727819,0.782594,7,[X1 == 5 OR X3 == 10 OR X3 == 14 OR X10 >= 57.000000 OR X11 >= 1551.500000 OR X13 == 34 OR X13 == 41],{'0': {'precision': 0.8274713744810912; 'recall': 0.9059082055636019; 'f1-score': 0.8649151249284761; 'support': 20023}; '1': {'precision': 0.5770094297260889; 'recall': 0.4045969773299748; 'f1-score': 0.47566166944290206; 'support': 6352}; 'accuracy': 0.785175355450237; 'macro avg': {'precision': 0.7022404021035901; 'recall': 0.6552525914467884; 'f1-score': 0.6702883971856891; 'support': 26375}; 'weighted avg': {'precision': 0.7671515916153556; 'recall': 0.785175355450237; 'f1-score': 0.7711696102651825; 'support': 26375}},{'0': {'precision': 0.8275577557755776; 'recall': 0.9015730337078651; 'f1-score': 0.8629812862981286; 'support': 2225}; '1': {'precision': 0.567193675889328; 'recall': 0.40709219858156026; 'f1-score': 0.47398843930635837; 'support': 705}; 'accuracy': 0.7825938566552901; 'macro avg': {'precision': 0.6973757158324527; 'recall': 0.6543326161447127; 'f1-score': 0.6684848628022435; 'support': 2930}; 'weighted avg': {'precision': 0.764910425973596; 'recall': 0.7825938566552901; 'f1-score': 0.7693840313052284; 'support': 2930}}
l: 5,1,CNF,6,26375,2930,1648,[16; 17],296,53.550419,0.647099,6,[X3 == 10 OR X6 == 4 OR X6 == 12 OR X8 == 2 OR X13 == 1 OR X13 == 29],{'0': {'precision': 0.8009829397808157; 'recall': 0.7081356440093892; 'f1-score': 0.7517031146454606; 'support': 20023}; '1': {'precision': 0.3261847111726046; 'recall': 0.44537153652392947; 'f1-score': 0.3765723793677204; 'support': 6352}; 'accuracy': 0.6448530805687204; 'macro avg': {'precision': 0.5635838254767102; 'recall': 0.5767535902666594; 'f1-score': 0.5641377470065905; 'support': 26375}; 'weighted avg': {'precision': 0.6866353246862429; 'recall': 0.6448530805687204; 'f1-score': 0.6613588329209409; 'support': 26375}},{'0': {'precision': 0.8006057546693589; 'recall': 0.712808988764045; 'f1-score': 0.7541607227769854; 'support': 2225}; '1': {'precision': 0.3266596417281349; 'recall': 0.4397163120567376; 'f1-score': 0.37484885126964934; 'support': 705}; 'accuracy': 0.647098976109215; 'macro avg': {'precision': 0.563632698198747; 'recall': 0.5762626504103913; 'f1-score': 0.5645047870233174; 'support': 2930}; 'weighted avg': {'precision': 0.6865675261288938; 'recall': 0.647098976109215; 'f1-score': 0.6628928492573022; 'support': 2930}}
l: 5,1,CNF,7,26375,2930,1648,[16; 17],296,52.491229,0.762457,5,[X3 == 14 OR X5 == 5 OR X6 == 11 OR X10 >= 4243.500000 OR X13 == 11],{'0': {'precision': 0.8006301795580111; 'recall': 0.9263846576437097; 'f1-score': 0.858928943529902; 'support': 20023}; '1': {'precision': 0.5403804178359838; 'recall': 0.27282745591939545; 'f1-score': 0.3625902291034627; 'support': 6352}; 'accuracy': 0.7689857819905214; 'macro avg': {'precision': 0.6705052986969975; 'recall': 0.5996060567815525; 'f1-score': 0.6107595863166824; 'support': 26375}; 'weighted avg': {'precision': 0.7379531563747573; 'recall': 0.7689857819905214; 'f1-score': 0.7393936444195042; 'support': 26375}},{'0': {'precision': 0.7968932038834952; 'recall': 0.922247191011236; 'f1-score': 0.8550000000000001; 'support': 2225}; '1': {'precision': 0.5126760563380282; 'recall': 0.2581560283687943; 'f1-score': 0.3433962264150944; 'support': 705}; 'accuracy': 0.7624573378839591; 'macro avg': {'precision': 0.6547846301107616; 'recall': 0.5902016096900151; 'f1-score': 0.5991981132075472; 'support': 2930}; 'weighted avg': {'precision': 0.7285064840815995; 'recall': 0.7624573378839591; 'f1-score': 0.7319007985060211; 'support': 2930}}
l: 5,1,CNF,8,26375,2930,1648,[16; 17],296,53.054622,0.784300,6,[X3 == 14 OR X5 == 1 OR X6 == 11 OR X10 >= 57.000000 OR X11 >= 1551.500000 OR X13 == 9],{'0': {'precision': 0.8174503281488807; 'recall': 0.9081602077506992; 'f1-score': 0.8604211024367163; 'support': 20024}; '1': {'precision': 0.5546137079195931; 'recall': 0.36057313808849; 'f1-score': 0.43702290076335876; 'support': 6351}; 'accuracy': 0.776303317535545; 'macro avg': {'precision': 0.686032018034237; 'recall': 0.6343666729195946; 'f1-score': 0.6487220016000376; 'support': 26375}; 'weighted avg': {'precision': 0.7541602665346171; 'recall': 0.776303317535545; 'f1-score': 0.7584684207750104; 'support': 26375}},{'0': {'precision': 0.8225283630470016; 'recall': 0.9127697841726619; 'f1-score': 0.865302642796249; 'support': 2224}; '1': {'precision': 0.5800865800865801; 'recall': 0.37960339943342775; 'f1-score': 0.45890410958904115; 'support': 706}; 'accuracy': 0.7843003412969284; 'macro avg': {'precision': 0.7013074715667909; 'recall': 0.6461865918030448; 'f1-score': 0.6621033761926451; 'support': 2930}; 'weighted avg': {'precision': 0.764110650156197; 'recall': 0.7843003412969284; 'f1-score': 0.7673786276275497; 'support': 2930}}
l: 5,1,CNF,9,26375,2930,1648,[16; 17],296,55.828218,0.703072,7,[X1 == 2 OR X1 == 5 OR X3 == 7 OR X3 == 10 OR X3 == 12 OR X6 == 4 OR X6 == 11],{'0': {'precision': 0.8268797484935814; 'recall': 0.7881042748701558; 'f1-score': 0.8070265156357871; 'support': 20024}; '1': {'precision': 0.41796982167352537; 'recall': 0.4797669658321524; 'f1-score': 0.4467414412433106; 'support': 6351}; 'accuracy': 0.7138578199052132; 'macro avg': {'precision': 0.6224247850835534; 'recall': 0.6339356203511541; 'f1-score': 0.6268839784395488; 'support': 26375}; 'weighted avg': {'precision': 0.7284157884847027; 'recall': 0.7138578199052132; 'f1-score': 0.7202712357318395; 'support': 26375}},{'0': {'precision': 0.8151769087523277; 'recall': 0.7873201438848921; 'f1-score': 0.8010064043915828; 'support': 2224}; '1': {'precision': 0.39514066496163686; 'recall': 0.4376770538243626; 'f1-score': 0.41532258064516125; 'support': 706}; 'accuracy': 0.7030716723549488; 'macro avg': {'precision': 0.6051587868569823; 'recall': 0.6124985988546274; 'f1-score': 0.608164492518372; 'support': 2930}; 'weighted avg': {'precision': 0.7139668104191441; 'recall': 0.7030716723549488; 'f1-score': 0.7080737151202606; 'support': 2930}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [16, 17], 'n_partitions': 1648}, (mean val acc cv) 0.744650 (+- 0.044890), (mean training time) 53.493369 (+- 1.107414)
l: 5,1,CNF,0,26374,2931,824,[32; 33],296,37.514718,0.721938,6,[X1 == 1 OR X3 == 10 OR X6 == 14 OR X7 == 5 OR X11 >= 1551.500000 OR X13 == 11],{'0': {'precision': 0.7929988974641676; 'recall': 0.8621085751385906; 'f1-score': 0.8261108851188054; 'support': 20023}; '1': {'precision': 0.4005644811115936; 'recall': 0.29050543221539915; 'f1-score': 0.3367710139636762; 'support': 6351}; 'accuracy': 0.7244634867672708; 'macro avg': {'precision': 0.5967816892878806; 'recall': 0.5763070036769948; 'f1-score': 0.5814409495412408; 'support': 26374}; 'weighted avg': {'precision': 0.6984985949596102; 'recall': 0.7244634867672708; 'f1-score': 0.7082752317592004; 'support': 26374}},{'0': {'precision': 0.7898848684210527; 'recall': 0.863370786516854; 'f1-score': 0.8249946317371698; 'support': 2225}; '1': {'precision': 0.3907815631262525; 'recall': 0.2762039660056657; 'f1-score': 0.3236514522821577; 'support': 706}; 'accuracy': 0.7219379051518253; 'macro avg': {'precision': 0.5903332157736526; 'recall': 0.5697873762612599; 'f1-score': 0.5743230420096638; 'support': 2931}; 'weighted avg': {'precision': 0.6937514895271158; 'recall': 0.7219379051518253; 'f1-score': 0.7042343844852973; 'support': 2931}}
