l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,26374,2931,1648,[16; 17],296,51.888777,0.646196,5,[X3 == 2 OR X3 == 8 OR X5 == 2 OR X10 >= 6618.500000 OR X12 >= 49.500000],{'0': {'precision': 0.9658238884045336; 'recall': 0.553263746691305; 'f1-score': 0.7035214174578478; 'support': 20023}; '1': {'precision': 0.399825550187869; 'recall': 0.9382774366241536; 'f1-score': 0.5607151258527405; 'support': 6351}; 'accuracy': 0.645977098657769; 'macro avg': {'precision': 0.6828247192962014; 'recall': 0.7457705916577293; 'f1-score': 0.6321182716552942; 'support': 26374}; 'weighted avg': {'precision': 0.8295284669283055; 'recall': 0.645977098657769; 'f1-score': 0.6691329000549496; 'support': 26374}},{'0': {'precision': 0.9729299363057324; 'recall': 0.5492134831460674; 'f1-score': 0.7020970985349038; 'support': 2225}; '1': {'precision': 0.40119402985074626; 'recall': 0.9518413597733711; 'f1-score': 0.5644687106257875; 'support': 706}; 'accuracy': 0.6461958375980894; 'macro avg': {'precision': 0.6870619830782394; 'recall': 0.7505274214597193; 'f1-score': 0.6332829045803456; 'support': 2931}; 'weighted avg': {'precision': 0.8352139520146303; 'recall': 0.6461958375980894; 'f1-score': 0.6689460777693507; 'support': 2931}}
l: 5,1,CNF,1,26374,2931,1648,[16; 17],296,52.229931,0.710338,7,[X3 == 9 OR X6 == 4 OR X6 == 11 OR X10 >= 57.000000 OR X13 == 9 OR X13 == 22 OR X13 == 38],{'0': {'precision': 0.8492768191210142; 'recall': 0.759526544473855; 'f1-score': 0.8018982335881888; 'support': 20023}; '1': {'precision': 0.43132160151175153; 'recall': 0.5750275547157928; 'f1-score': 0.4929140234849507; 'support': 6351}; 'accuracy': 0.7150982027754607; 'macro avg': {'precision': 0.6402992103163828; 'recall': 0.6672770495948239; 'f1-score': 0.6474061285365698; 'support': 26374}; 'weighted avg': {'precision': 0.7486309714287253; 'recall': 0.7150982027754607; 'f1-score': 0.7274931862549946; 'support': 26374}},{'0': {'precision': 0.841948310139165; 'recall': 0.7613483146067416; 'f1-score': 0.7996223743214539; 'support': 2225}; '1': {'precision': 0.42219804134929273; 'recall': 0.5495750708215298; 'f1-score': 0.4775384615384616; 'support': 706}; 'accuracy': 0.7103377686796315; 'macro avg': {'precision': 0.6320731757442288; 'recall': 0.6554616927141357; 'f1-score': 0.6385804179299577; 'support': 2931}; 'weighted avg': {'precision': 0.7408416264934298; 'recall': 0.7103377686796315; 'f1-score': 0.7220409200652982; 'support': 2931}}
l: 5,1,CNF,2,26374,2931,1648,[16; 17],296,52.399761,0.723985,6,[X1 == 2 OR X3 == 14 OR X6 == 4 OR X13 == 18 OR X13 == 21 OR X13 == 31],{'0': {'precision': 0.8099938309685379; 'recall': 0.8524696598911252; 'f1-score': 0.8306891181623515; 'support': 20023}; '1': {'precision': 0.4427466515751745; 'recall': 0.36954810266099825; 'f1-score': 0.40284929625815313; 'support': 6351}; 'accuracy': 0.7361795707894138; 'macro avg': {'precision': 0.6263702412718563; 'recall': 0.6110088812760617; 'f1-score': 0.6167692072102523; 'support': 26374}; 'weighted avg': {'precision': 0.7215587495881159; 'recall': 0.7361795707894138; 'f1-score': 0.7276630049859822; 'support': 26374}},{'0': {'precision': 0.8017902813299232; 'recall': 0.8453932584269663; 'f1-score': 0.8230146576241523; 'support': 2225}; '1': {'precision': 0.41196581196581195; 'recall': 0.3413597733711048; 'f1-score': 0.37335398915569323; 'support': 706}; 'accuracy': 0.723984988058683; 'macro avg': {'precision': 0.6068780466478676; 'recall': 0.5933765158990356; 'f1-score': 0.5981843233899228; 'support': 2931}; 'weighted avg': {'precision': 0.7078919273991615; 'recall': 0.723984988058683; 'f1-score': 0.714703353653244; 'support': 2931}}
l: 5,1,CNF,3,26374,2931,1648,[16; 17],296,58.650059,0.728079,6,[X1 == 1 OR X1 == 2 OR X3 == 8 OR X3 == 10 OR X3 == 12 OR X13 == 1],{'0': {'precision': 0.7908715234248038; 'recall': 0.8506717275133596; 'f1-score': 0.8196823869104908; 'support': 20023}; '1': {'precision': 0.3818482530494108; 'recall': 0.290820343253031; 'f1-score': 0.3301751877011083; 'support': 6351}; 'accuracy': 0.7158565253658906; 'macro avg': {'precision': 0.5863598882371073; 'recall': 0.5707460353831953; 'f1-score': 0.5749287873057995; 'support': 26374}; 'weighted avg': {'precision': 0.6923765363104443; 'recall': 0.7158565253658906; 'f1-score': 0.7018064400621254; 'support': 26374}},{'0': {'precision': 0.7982456140350878; 'recall': 0.8588764044943821; 'f1-score': 0.8274518294003032; 'support': 2225}; '1': {'precision': 0.41527001862197394; 'recall': 0.31586402266288954; 'f1-score': 0.3588093322606597; 'support': 706}; 'accuracy': 0.7280791538723985; 'macro avg': {'precision': 0.6067578163285309; 'recall': 0.5873702135786358; 'f1-score': 0.5931305808304814; 'support': 2931}; 'weighted avg': {'precision': 0.7059969718100253; 'recall': 0.7280791538723985; 'f1-score': 0.7145683074007848; 'support': 2931}}
l: 5,1,CNF,4,26374,2931,1648,[16; 17],296,56.560830,0.779939,6,[X1 == 1 OR X1 == 5 OR X10 >= 3048.000000 OR X11 >= 1551.500000 OR X13 == 5 OR X13 == 33],{'0': {'precision': 0.824251796597835; 'recall': 0.9050591819407681; 'f1-score': 0.8627675022019091; 'support': 20023}; '1': {'precision': 0.5667730173199635; 'recall': 0.3915918752952291; 'f1-score': 0.46317161746903807; 'support': 6351}; 'accuracy': 0.7814135133085615; 'macro avg': {'precision': 0.6955124069588993; 'recall': 0.6483255286179985; 'f1-score': 0.6629695598354736; 'support': 26374}; 'weighted avg': {'precision': 0.7622495319738204; 'recall': 0.7814135133085615; 'f1-score': 0.7665426798792253; 'support': 26374}},{'0': {'precision': 0.8216612377850163; 'recall': 0.9069662921348315; 'f1-score': 0.8622089297158727; 'support': 2225}; '1': {'precision': 0.5642105263157895; 'recall': 0.37960339943342775; 'f1-score': 0.45385266723116; 'support': 706}; 'accuracy': 0.7799385875127943; 'macro avg': {'precision': 0.6929358820504029; 'recall': 0.6432848457841296; 'f1-score': 0.6580307984735163; 'support': 2931}; 'weighted avg': {'precision': 0.7596482039067242; 'recall': 0.7799385875127943; 'f1-score': 0.7638467593596096; 'support': 2931}}
l: 5,1,CNF,5,26375,2930,1648,[16; 17],296,52.797398,0.784300,7,[X1 == 5 OR X3 == 14 OR X6 == 4 OR X10 >= 7073.500000 OR X13 == 9 OR X13 == 22 OR X13 == 41],{'0': {'precision': 0.8347378277153558; 'recall': 0.8904759526544473; 'f1-score': 0.8617064978372762; 'support': 20023}; '1': {'precision': 0.5627118644067797; 'recall': 0.44426952141057935; 'f1-score': 0.4965250285915369; 'support': 6352}; 'accuracy': 0.7830142180094787; 'macro avg': {'precision': 0.6987248460610678; 'recall': 0.6673727370325133; 'f1-score': 0.6791157632144065; 'support': 26375}; 'weighted avg': {'precision': 0.7692246933481113; 'recall': 0.7830142180094787; 'f1-score': 0.7737583388742834; 'support': 26375}},{'0': {'precision': 0.8365019011406845; 'recall': 0.8898876404494382; 'f1-score': 0.8623693379790941; 'support': 2225}; '1': {'precision': 0.5648312611012434; 'recall': 0.451063829787234; 'f1-score': 0.501577287066246; 'support': 705}; 'accuracy': 0.7843003412969284; 'macro avg': {'precision': 0.7006665811209639; 'recall': 0.6704757351183361; 'f1-score': 0.6819733125226701; 'support': 2930}; 'weighted avg': {'precision': 0.7711340508922866; 'recall': 0.7843003412969284; 'f1-score': 0.7755575987662757; 'support': 2930}}
l: 5,1,CNF,6,26375,2930,1648,[16; 17],296,53.542473,0.715358,7,[X1 == 1 OR X1 == 2 OR X3 == 12 OR X6 == 4 OR X6 == 10 OR X10 >= 7073.500000 OR X13 == 18],{'0': {'precision': 0.8654020899591095; 'recall': 0.7610248214553264; 'f1-score': 0.8098642077010976; 'support': 20023}; '1': {'precision': 0.45420326223337515; 'recall': 0.6268891687657431; 'f1-score': 0.5267544149745353; 'support': 6352}; 'accuracy': 0.7287203791469195; 'macro avg': {'precision': 0.6598026760962423; 'recall': 0.6939569951105347; 'f1-score': 0.6683093113378165; 'support': 26375}; 'weighted avg': {'precision': 0.7663713808135603; 'recall': 0.7287203791469195; 'f1-score': 0.7416817089940217; 'support': 26375}},{'0': {'precision': 0.8572162300975861; 'recall': 0.7501123595505618; 'f1-score': 0.8000958772770853; 'support': 2225}; '1': {'precision': 0.43438453713123093; 'recall': 0.6056737588652482; 'f1-score': 0.5059241706161138; 'support': 705}; 'accuracy': 0.715358361774744; 'macro avg': {'precision': 0.6458003836144085; 'recall': 0.677893059207905; 'f1-score': 0.6530100239465996; 'support': 2930}; 'weighted avg': {'precision': 0.7554768637012447; 'recall': 0.715358361774744; 'f1-score': 0.7293139478586604; 'support': 2930}}
l: 5,1,CNF,7,26375,2930,1648,[16; 17],296,55.269650,0.668942,5,[X0 >= 54.500000 OR X1 == 5 OR X3 == 10 OR X6 == 3 OR X10 >= 5119.000000],{'0': {'precision': 0.8125; 'recall': 0.7369025620536384; 'f1-score': 0.772857030615719; 'support': 20023}; '1': {'precision': 0.3587340231284236; 'recall': 0.463948362720403; 'f1-score': 0.4046131667467564; 'support': 6352}; 'accuracy': 0.6711658767772511; 'macro avg': {'precision': 0.5856170115642119; 'recall': 0.6004254623870207; 'f1-score': 0.5887350986812376; 'support': 26375}; 'weighted avg': {'precision': 0.7032176688118198; 'recall': 0.6711658767772511; 'f1-score': 0.6841713425286801; 'support': 26375}},{'0': {'precision': 0.8148519819367788; 'recall': 0.7298876404494382; 'f1-score': 0.7700331910858226; 'support': 2225}; '1': {'precision': 0.35859124866595515; 'recall': 0.4765957446808511; 'f1-score': 0.4092570036540804; 'support': 705}; 'accuracy': 0.6689419795221843; 'macro avg': {'precision': 0.586721615301367; 'recall': 0.6032416925651447; 'f1-score': 0.5896450973699515; 'support': 2930}; 'weighted avg': {'precision': 0.7050691092555738; 'recall': 0.6689419795221843; 'f1-score': 0.6832252688539528; 'support': 2930}}
l: 5,1,CNF,8,26375,2930,1648,[16; 17],296,54.556258,0.706826,7,[X0 >= 61.500000 OR X5 == 3 OR X6 == 4 OR X6 == 13 OR X7 == 5 OR X13 == 20 OR X13 == 22],{'0': {'precision': 0.8063457891229688; 'recall': 0.7856072712744706; 'f1-score': 0.7958414489160954; 'support': 20024}; '1': {'precision': 0.37474512088552286; 'recall': 0.4051330499133995; 'f1-score': 0.3893470530377544; 'support': 6351}; 'accuracy': 0.6939905213270142; 'macro avg': {'precision': 0.5905454550042458; 'recall': 0.595370160593935; 'f1-score': 0.5925942509769249; 'support': 26375}; 'weighted avg': {'precision': 0.7024179846120296; 'recall': 0.6939905213270142; 'f1-score': 0.6979591395995707; 'support': 26375}},{'0': {'precision': 0.8135048231511254; 'recall': 0.7963129496402878; 'f1-score': 0.804817087025676; 'support': 2224}; '1': {'precision': 0.398406374501992; 'recall': 0.42492917847025496; 'f1-score': 0.411240575736806; 'support': 706}; 'accuracy': 0.7068259385665528; 'macro avg': {'precision': 0.6059555988265587; 'recall': 0.6106210640552714; 'f1-score': 0.608028831381241; 'support': 2930}; 'weighted avg': {'precision': 0.7134845143639963; 'recall': 0.7068259385665528; 'f1-score': 0.7099826102441257; 'support': 2930}}
l: 5,1,CNF,9,26375,2930,1648,[16; 17],296,57.426569,0.756655,6,[X3 == 14 OR X6 == 10 OR X8 == 0 OR X10 >= 7073.500000 OR X13 == 2 OR X13 == 24],{'0': {'precision': 0.8183194896975816; 'recall': 0.8905313623651618; 'f1-score': 0.8528996771493483; 'support': 20024}; '1': {'precision': 0.5218150087260035; 'recall': 0.3766336010077153; 'f1-score': 0.43749428440786464; 'support': 6351}; 'accuracy': 0.7667867298578199; 'macro avg': {'precision': 0.6700672492117925; 'recall': 0.6335824816864386; 'f1-score': 0.6451969807786064; 'support': 26375}; 'weighted avg': {'precision': 0.746922334867231; 'recall': 0.7667867298578199; 'f1-score': 0.7528716335739488; 'support': 26375}},{'0': {'precision': 0.8084932625561454; 'recall': 0.8902877697841727; 'f1-score': 0.847421356730152; 'support': 2224}; '1': {'precision': 0.49272349272349275; 'recall': 0.3356940509915014; 'f1-score': 0.3993260320134794; 'support': 706}; 'accuracy': 0.7566552901023891; 'macro avg': {'precision': 0.650608377639819; 'recall': 0.612990910387837; 'f1-score': 0.6233736943718157; 'support': 2930}; 'weighted avg': {'precision': 0.7324067582893016; 'recall': 0.7566552901023891; 'f1-score': 0.7394502648359639; 'support': 2930}}
