l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,284,32,17,[16; 17],564,0.731187,0.625000,2,[X7 >= 0.090910 OR X15 < 0.000000],{'0.0': {'precision': 0.5185185185185185; 'recall': 0.4077669902912621; 'f1-score': 0.45652173913043476; 'support': 103}; '1.0': {'precision': 0.6995073891625616; 'recall': 0.7845303867403315; 'f1-score': 0.7395833333333334; 'support': 181}; 'accuracy': 0.647887323943662; 'macro avg': {'precision': 0.60901295384054; 'recall': 0.5961486885157968; 'f1-score': 0.598052536231884; 'support': 284}; 'weighted avg': {'precision': 0.6338670593163066; 'recall': 0.647887323943662; 'f1-score': 0.6369236706470709; 'support': 284}},{'0.0': {'precision': 0.4444444444444444; 'recall': 0.36363636363636365; 'f1-score': 0.39999999999999997; 'support': 11}; '1.0': {'precision': 0.6956521739130435; 'recall': 0.7619047619047619; 'f1-score': 0.7272727272727272; 'support': 21}; 'accuracy': 0.625; 'macro avg': {'precision': 0.5700483091787439; 'recall': 0.5627705627705628; 'f1-score': 0.5636363636363636; 'support': 32}; 'weighted avg': {'precision': 0.6092995169082125; 'recall': 0.625; 'f1-score': 0.6147727272727272; 'support': 32}}
l: 5,1,CNF,1,284,32,17,[16; 17],564,0.694601,0.812500,1,[X2 >= 0.600000],{'0.0': {'precision': 0.6823529411764706; 'recall': 0.5631067961165048; 'f1-score': 0.6170212765957447; 'support': 103}; '1.0': {'precision': 0.7738693467336684; 'recall': 0.850828729281768; 'f1-score': 0.8105263157894738; 'support': 181}; 'accuracy': 0.7464788732394366; 'macro avg': {'precision': 0.7281111439550695; 'recall': 0.7069677626991364; 'f1-score': 0.7137737961926092; 'support': 284}; 'weighted avg': {'precision': 0.7406785376759523; 'recall': 0.7464788732394366; 'f1-score': 0.7403466712931566; 'support': 284}},{'0.0': {'precision': 0.8571428571428571; 'recall': 0.5454545454545454; 'f1-score': 0.6666666666666665; 'support': 11}; '1.0': {'precision': 0.8; 'recall': 0.9523809523809523; 'f1-score': 0.8695652173913043; 'support': 21}; 'accuracy': 0.8125; 'macro avg': {'precision': 0.8285714285714285; 'recall': 0.7489177489177489; 'f1-score': 0.7681159420289854; 'support': 32}; 'weighted avg': {'precision': 0.8196428571428571; 'recall': 0.8125; 'f1-score': 0.7998188405797101; 'support': 32}}
l: 5,1,CNF,2,284,32,17,[16; 17],564,0.841266,0.593750,1,[X31 < 0.132960],{'0.0': {'precision': 0.42528735632183906; 'recall': 0.3627450980392157; 'f1-score': 0.3915343915343915; 'support': 102}; '1.0': {'precision': 0.6700507614213198; 'recall': 0.7252747252747253; 'f1-score': 0.6965699208443272; 'support': 182}; 'accuracy': 0.5950704225352113; 'macro avg': {'precision': 0.5476690588715795; 'recall': 0.5440099116569704; 'f1-score': 0.5440521561893594; 'support': 284}; 'weighted avg': {'precision': 0.5821427778996754; 'recall': 0.5950704225352113; 'f1-score': 0.5870149067963926; 'support': 284}},{'0.0': {'precision': 0.42857142857142855; 'recall': 0.25; 'f1-score': 0.3157894736842105; 'support': 12}; '1.0': {'precision': 0.64; 'recall': 0.8; 'f1-score': 0.7111111111111111; 'support': 20}; 'accuracy': 0.59375; 'macro avg': {'precision': 0.5342857142857143; 'recall': 0.525; 'f1-score': 0.5134502923976608; 'support': 32}; 'weighted avg': {'precision': 0.5607142857142857; 'recall': 0.59375; 'f1-score': 0.5628654970760234; 'support': 32}}
l: 5,1,CNF,3,284,32,17,[16; 17],564,0.891558,0.687500,3,[X3 >= 0.016310 OR X26 < 1.000000 OR X31 < -0.054550],{'0.0': {'precision': 0.9696969696969697; 'recall': 0.3137254901960784; 'f1-score': 0.4740740740740741; 'support': 102}; '1.0': {'precision': 0.7211155378486056; 'recall': 0.9945054945054945; 'f1-score': 0.836027713625866; 'support': 182}; 'accuracy': 0.75; 'macro avg': {'precision': 0.8454062537727877; 'recall': 0.6541154923507865; 'f1-score': 0.6550508938499701; 'support': 284}; 'weighted avg': {'precision': 0.8103947844983702; 'recall': 0.75; 'f1-score': 0.7060302797023351; 'support': 284}},{'0.0': {'precision': 1.0; 'recall': 0.16666666666666666; 'f1-score': 0.2857142857142857; 'support': 12}; '1.0': {'precision': 0.6666666666666666; 'recall': 1.0; 'f1-score': 0.8; 'support': 20}; 'accuracy': 0.6875; 'macro avg': {'precision': 0.8333333333333333; 'recall': 0.5833333333333334; 'f1-score': 0.5428571428571429; 'support': 32}; 'weighted avg': {'precision': 0.7916666666666666; 'recall': 0.6875; 'f1-score': 0.6071428571428571; 'support': 32}}
l: 5,1,CNF,4,284,32,17,[16; 17],564,0.782638,0.625000,5,[X3 >= 0.136450 OR X5 < 0.000000 OR X9 >= 0.935960 OR X23 < -0.503330 OR X28 >= 0.496640],{'0.0': {'precision': 0.4827586206896552; 'recall': 0.27450980392156865; 'f1-score': 0.3500000000000001; 'support': 102}; '1.0': {'precision': 0.672566371681416; 'recall': 0.8351648351648352; 'f1-score': 0.7450980392156863; 'support': 182}; 'accuracy': 0.6338028169014085; 'macro avg': {'precision': 0.5776624961855356; 'recall': 0.5548373195432019; 'f1-score': 0.5475490196078432; 'support': 284}; 'weighted avg': {'precision': 0.6043959822407131; 'recall': 0.6338028169014085; 'f1-score': 0.6031966307649822; 'support': 284}},{'0.0': {'precision': 0.5; 'recall': 0.25; 'f1-score': 0.3333333333333333; 'support': 12}; '1.0': {'precision': 0.6538461538461539; 'recall': 0.85; 'f1-score': 0.7391304347826088; 'support': 20}; 'accuracy': 0.625; 'macro avg': {'precision': 0.5769230769230769; 'recall': 0.55; 'f1-score': 0.5362318840579711; 'support': 32}; 'weighted avg': {'precision': 0.5961538461538461; 'recall': 0.625; 'f1-score': 0.5869565217391305; 'support': 32}}
l: 5,1,CNF,5,284,32,17,[16; 17],564,0.751018,0.812500,1,[X26 < 1.000000],{'0.0': {'precision': 0.8493150684931506; 'recall': 0.6078431372549019; 'f1-score': 0.7085714285714284; 'support': 102}; '1.0': {'precision': 0.8104265402843602; 'recall': 0.9395604395604396; 'f1-score': 0.8702290076335878; 'support': 182}; 'accuracy': 0.8204225352112676; 'macro avg': {'precision': 0.8298708043887555; 'recall': 0.7737017884076707; 'f1-score': 0.7894002181025082; 'support': 284}; 'weighted avg': {'precision': 0.8243935468945596; 'recall': 0.8204225352112676; 'f1-score': 0.8121688912098545; 'support': 284}},{'0.0': {'precision': 0.875; 'recall': 0.5833333333333334; 'f1-score': 0.7000000000000001; 'support': 12}; '1.0': {'precision': 0.7916666666666666; 'recall': 0.95; 'f1-score': 0.8636363636363635; 'support': 20}; 'accuracy': 0.8125; 'macro avg': {'precision': 0.8333333333333333; 'recall': 0.7666666666666666; 'f1-score': 0.7818181818181817; 'support': 32}; 'weighted avg': {'precision': 0.8229166666666666; 'recall': 0.8125; 'f1-score': 0.8022727272727272; 'support': 32}}
l: 5,1,CNF,6,285,31,17,[16; 17],564,0.754327,0.677419,3,[X22 >= 0.703010 OR X26 < 0.160850 OR X28 < 0.496640],{'0.0': {'precision': 0.3829787234042553; 'recall': 0.17475728155339806; 'f1-score': 0.24; 'support': 103}; '1.0': {'precision': 0.6428571428571429; 'recall': 0.8406593406593407; 'f1-score': 0.7285714285714285; 'support': 182}; 'accuracy': 0.6; 'macro avg': {'precision': 0.5129179331306991; 'recall': 0.5077083111063694; 'f1-score': 0.48428571428571426; 'support': 285}; 'weighted avg': {'precision': 0.548936170212766; 'recall': 0.6; 'f1-score': 0.5519999999999999; 'support': 285}},{'0.0': {'precision': 0.6666666666666666; 'recall': 0.18181818181818182; 'f1-score': 0.28571428571428575; 'support': 11}; '1.0': {'precision': 0.6785714285714286; 'recall': 0.95; 'f1-score': 0.7916666666666667; 'support': 20}; 'accuracy': 0.6774193548387096; 'macro avg': {'precision': 0.6726190476190477; 'recall': 0.5659090909090909; 'f1-score': 0.5386904761904763; 'support': 31}; 'weighted avg': {'precision': 0.674347158218126; 'recall': 0.6774193548387096; 'f1-score': 0.6121351766513058; 'support': 31}}
l: 5,1,CNF,7,285,31,17,[16; 17],564,0.801966,0.741935,2,[X25 >= 0.083330 OR X26 < 0.940430],{'0.0': {'precision': 0.6818181818181818; 'recall': 0.4368932038834951; 'f1-score': 0.5325443786982248; 'support': 103}; '1.0': {'precision': 0.7351598173515982; 'recall': 0.8846153846153846; 'f1-score': 0.8029925187032417; 'support': 182}; 'accuracy': 0.7228070175438597; 'macro avg': {'precision': 0.70848899958489; 'recall': 0.6607542942494399; 'f1-score': 0.6677684487007333; 'support': 285}; 'weighted avg': {'precision': 0.715881963106188; 'recall': 0.7228070175438597; 'f1-score': 0.7052516119645865; 'support': 285}},{'0.0': {'precision': 0.7142857142857143; 'recall': 0.45454545454545453; 'f1-score': 0.5555555555555556; 'support': 11}; '1.0': {'precision': 0.75; 'recall': 0.9; 'f1-score': 0.8181818181818182; 'support': 20}; 'accuracy': 0.7419354838709677; 'macro avg': {'precision': 0.7321428571428572; 'recall': 0.6772727272727272; 'f1-score': 0.6868686868686869; 'support': 31}; 'weighted avg': {'precision': 0.7373271889400922; 'recall': 0.7419354838709677; 'f1-score': 0.724991854024112; 'support': 31}}
l: 5,1,CNF,8,285,31,17,[16; 17],564,0.744698,0.709677,2,[X4 >= 0.067040 OR X13 >= 0.084360],{'0.0': {'precision': 1.0; 'recall': 0.44660194174757284; 'f1-score': 0.6174496644295302; 'support': 103}; '1.0': {'precision': 0.7615062761506276; 'recall': 1.0; 'f1-score': 0.8646080760095012; 'support': 182}; 'accuracy': 0.8; 'macro avg': {'precision': 0.8807531380753137; 'recall': 0.7233009708737864; 'f1-score': 0.7410288702195157; 'support': 285}; 'weighted avg': {'precision': 0.8476987447698744; 'recall': 0.8; 'f1-score': 0.7752841588420029; 'support': 285}},{'0.0': {'precision': 1.0; 'recall': 0.18181818181818182; 'f1-score': 0.3076923076923077; 'support': 11}; '1.0': {'precision': 0.6896551724137931; 'recall': 1.0; 'f1-score': 0.8163265306122449; 'support': 20}; 'accuracy': 0.7096774193548387; 'macro avg': {'precision': 0.8448275862068966; 'recall': 0.5909090909090909; 'f1-score': 0.5620094191522763; 'support': 31}; 'weighted avg': {'precision': 0.799777530589544; 'recall': 0.7096774193548387; 'f1-score': 0.6358434192535575; 'support': 31}}
l: 5,1,CNF,9,285,31,17,[16; 17],564,0.765519,0.709677,1,[X26 < 1.000000],{'0.0': {'precision': 0.8985507246376812; 'recall': 0.6019417475728155; 'f1-score': 0.7209302325581395; 'support': 103}; '1.0': {'precision': 0.8101851851851852; 'recall': 0.9615384615384616; 'f1-score': 0.8793969849246231; 'support': 182}; 'accuracy': 0.8315789473684211; 'macro avg': {'precision': 0.8543679549114331; 'recall': 0.7817401045556385; 'f1-score': 0.8001636087413813; 'support': 285}; 'weighted avg': {'precision': 0.8421208011978417; 'recall': 0.8315789473684211; 'f1-score': 0.8221265445956834; 'support': 285}},{'0.0': {'precision': 0.5833333333333334; 'recall': 0.6363636363636364; 'f1-score': 0.6086956521739131; 'support': 11}; '1.0': {'precision': 0.7894736842105263; 'recall': 0.75; 'f1-score': 0.7692307692307692; 'support': 20}; 'accuracy': 0.7096774193548387; 'macro avg': {'precision': 0.6864035087719298; 'recall': 0.6931818181818181; 'f1-score': 0.6889632107023411; 'support': 31}; 'weighted avg': {'precision': 0.7163271080928127; 'recall': 0.7096774193548387; 'f1-score': 0.7122666954364009; 'support': 31}}
