lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
10,1,DNF,5,607,67,37,[16; 17],6,0.628336,0.761194,3,[X0 < 6.500000 AND X1 < 4.500000 AND X2 >= 1125.000000],{'0': {'precision': 0.7611202635914333; 'recall': 1.0; 'f1-score': 0.8643592142188962; 'support': 462}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 145}; 'accuracy': 0.7611202635914333; 'macro avg': {'precision': 0.3805601317957166; 'recall': 0.5; 'f1-score': 0.4321796071094481; 'support': 607}; 'weighted avg': {'precision': 0.5793040556494928; 'recall': 0.7611202635914333; 'f1-score': 0.6578813129639705; 'support': 607}},{'0': {'precision': 0.7611940298507462; 'recall': 1.0; 'f1-score': 0.864406779661017; 'support': 51}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 16}; 'accuracy': 0.7611940298507462; 'macro avg': {'precision': 0.3805970149253731; 'recall': 0.5; 'f1-score': 0.4322033898305085; 'support': 67}; 'weighted avg': {'precision': 0.5794163510804188; 'recall': 0.7611940298507462; 'f1-score': 0.6579812800404756; 'support': 67}}
10,1,DNF,6,607,67,37,[16; 17],6,0.640211,0.761194,3,[X0 < 6.500000 AND X1 < 4.500000 AND X1 >= 4.500000],{'0': {'precision': 0.7611202635914333; 'recall': 1.0; 'f1-score': 0.8643592142188962; 'support': 462}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 145}; 'accuracy': 0.7611202635914333; 'macro avg': {'precision': 0.3805601317957166; 'recall': 0.5; 'f1-score': 0.4321796071094481; 'support': 607}; 'weighted avg': {'precision': 0.5793040556494928; 'recall': 0.7611202635914333; 'f1-score': 0.6578813129639705; 'support': 607}},{'0': {'precision': 0.7611940298507462; 'recall': 1.0; 'f1-score': 0.864406779661017; 'support': 51}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 16}; 'accuracy': 0.7611940298507462; 'macro avg': {'precision': 0.3805970149253731; 'recall': 0.5; 'f1-score': 0.4322033898305085; 'support': 67}; 'weighted avg': {'precision': 0.5794163510804188; 'recall': 0.7611940298507462; 'f1-score': 0.6579812800404756; 'support': 67}}
10,1,DNF,7,607,67,37,[16; 17],6,0.630714,0.626866,2,[X0 < 6.500000 AND X1 < 4.500000],{'0': {'precision': 0.7673913043478261; 'recall': 0.7640692640692641; 'f1-score': 0.7657266811279826; 'support': 462}; '1': {'precision': 0.2585034013605442; 'recall': 0.2620689655172414; 'f1-score': 0.26027397260273977; 'support': 145}; 'accuracy': 0.6441515650741351; 'macro avg': {'precision': 0.5129473528541851; 'recall': 0.5130691147932528; 'f1-score': 0.5130003268653611; 'support': 607}; 'weighted avg': {'precision': 0.6458282962207159; 'recall': 0.6441515650741351; 'f1-score': 0.6449842713484765; 'support': 607}},{'0': {'precision': 0.75; 'recall': 0.7647058823529411; 'f1-score': 0.7572815533980582; 'support': 51}; '1': {'precision': 0.2; 'recall': 0.1875; 'f1-score': 0.19354838709677422; 'support': 16}; 'accuracy': 0.6268656716417911; 'macro avg': {'precision': 0.475; 'recall': 0.47610294117647056; 'f1-score': 0.47541497024741625; 'support': 67}; 'weighted avg': {'precision': 0.6186567164179105; 'recall': 0.6268656716417911; 'f1-score': 0.6226587077141694; 'support': 67}}
10,1,DNF,8,607,67,37,[16; 17],6,0.622019,0.761194,3,[X0 < 6.500000 AND X0 >= 6.500000 AND X2 >= 1125.000000],{'0': {'precision': 0.7611202635914333; 'recall': 1.0; 'f1-score': 0.8643592142188962; 'support': 462}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 145}; 'accuracy': 0.7611202635914333; 'macro avg': {'precision': 0.3805601317957166; 'recall': 0.5; 'f1-score': 0.4321796071094481; 'support': 607}; 'weighted avg': {'precision': 0.5793040556494928; 'recall': 0.7611202635914333; 'f1-score': 0.6578813129639705; 'support': 607}},{'0': {'precision': 0.7611940298507462; 'recall': 1.0; 'f1-score': 0.864406779661017; 'support': 51}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 16}; 'accuracy': 0.7611940298507462; 'macro avg': {'precision': 0.3805970149253731; 'recall': 0.5; 'f1-score': 0.4322033898305085; 'support': 67}; 'weighted avg': {'precision': 0.5794163510804188; 'recall': 0.7611940298507462; 'f1-score': 0.6579812800404756; 'support': 67}}
10,1,DNF,9,607,67,37,[16; 17],6,0.624106,0.776119,2,[X0 < 6.500000 AND X1 >= 4.500000],{'0': {'precision': 0.8529411764705882; 'recall': 0.816017316017316; 'f1-score': 0.834070796460177; 'support': 462}; '1': {'precision': 0.48484848484848486; 'recall': 0.5517241379310345; 'f1-score': 0.5161290322580646; 'support': 145}; 'accuracy': 0.7528830313014827; 'macro avg': {'precision': 0.6688948306595366; 'recall': 0.6838707269741753; 'f1-score': 0.6750999143591208; 'support': 607}; 'weighted avg': {'precision': 0.7650112913219803; 'recall': 0.7528830313014827; 'f1-score': 0.7581209516343018; 'support': 607}},{'0': {'precision': 0.8103448275862069; 'recall': 0.9215686274509803; 'f1-score': 0.8623853211009175; 'support': 51}; '1': {'precision': 0.5555555555555556; 'recall': 0.3125; 'f1-score': 0.39999999999999997; 'support': 16}; 'accuracy': 0.7761194029850746; 'macro avg': {'precision': 0.6829501915708812; 'recall': 0.6170343137254901; 'f1-score': 0.6311926605504588; 'support': 67}; 'weighted avg': {'precision': 0.7494996282953051; 'recall': 0.7761194029850746; 'f1-score': 0.7519649459126386; 'support': 67}}
10,1,DNF,0,606,68,18,[33; 34],6,0.307871,0.750000,3,[X0 < 6.500000 AND X1 >= 4.500000 AND X2 < 1125.000000],{'0': {'precision': 0.7623762376237624; 'recall': 1.0; 'f1-score': 0.8651685393258427; 'support': 462}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 144}; 'accuracy': 0.7623762376237624; 'macro avg': {'precision': 0.3811881188118812; 'recall': 0.5; 'f1-score': 0.43258426966292135; 'support': 606}; 'weighted avg': {'precision': 0.5812175276933634; 'recall': 0.7623762376237624; 'f1-score': 0.6595839359216821; 'support': 606}},{'0': {'precision': 0.75; 'recall': 1.0; 'f1-score': 0.8571428571428571; 'support': 51}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 17}; 'accuracy': 0.75; 'macro avg': {'precision': 0.375; 'recall': 0.5; 'f1-score': 0.42857142857142855; 'support': 68}; 'weighted avg': {'precision': 0.5625; 'recall': 0.75; 'f1-score': 0.6428571428571429; 'support': 68}}
10,1,DNF,1,606,68,18,[33; 34],6,0.305736,0.823529,2,[X0 < 6.500000 AND X1 >= 4.500000],{'0': {'precision': 0.8407079646017699; 'recall': 0.824295010845987; 'f1-score': 0.832420591456736; 'support': 461}; '1': {'precision': 0.474025974025974; 'recall': 0.503448275862069; 'f1-score': 0.4882943143812709; 'support': 145}; 'accuracy': 0.7475247524752475; 'macro avg': {'precision': 0.657366969313872; 'recall': 0.6638716433540279; 'f1-score': 0.6603574529190035; 'support': 606}; 'weighted avg': {'precision': 0.7529705246125118; 'recall': 0.7475247524752475; 'f1-score': 0.7500801456218474; 'support': 606}},{'0': {'precision': 0.9166666666666666; 'recall': 0.8461538461538461; 'f1-score': 0.8799999999999999; 'support': 52}; '1': {'precision': 0.6; 'recall': 0.75; 'f1-score': 0.6666666666666665; 'support': 16}; 'accuracy': 0.8235294117647058; 'macro avg': {'precision': 0.7583333333333333; 'recall': 0.7980769230769231; 'f1-score': 0.7733333333333332; 'support': 68}; 'weighted avg': {'precision': 0.842156862745098; 'recall': 0.8235294117647058; 'f1-score': 0.8298039215686273; 'support': 68}}
10,1,DNF,2,606,68,18,[33; 34],6,0.312068,0.676471,2,[X0 < 6.500000 AND X2 >= 1125.000000],{'0': {'precision': 0.8517699115044248; 'recall': 0.8351409978308026; 'f1-score': 0.8433734939759037; 'support': 461}; '1': {'precision': 0.5064935064935064; 'recall': 0.5379310344827586; 'f1-score': 0.5217391304347827; 'support': 145}; 'accuracy': 0.764026402640264; 'macro avg': {'precision': 0.6791317089989657; 'recall': 0.6865360161567806; 'f1-score': 0.6825563122053432; 'support': 606}; 'weighted avg': {'precision': 0.7691542700414163; 'recall': 0.764026402640264; 'f1-score': 0.7664147766269556; 'support': 606}},{'0': {'precision': 0.8125; 'recall': 0.75; 'f1-score': 0.78; 'support': 52}; '1': {'precision': 0.35; 'recall': 0.4375; 'f1-score': 0.38888888888888884; 'support': 16}; 'accuracy': 0.6764705882352942; 'macro avg': {'precision': 0.58125; 'recall': 0.59375; 'f1-score': 0.5844444444444444; 'support': 68}; 'weighted avg': {'precision': 0.7036764705882353; 'recall': 0.6764705882352942; 'f1-score': 0.6879738562091503; 'support': 68}}
10,1,DNF,3,606,68,18,[33; 34],6,0.307377,0.764706,3,[X0 < 6.500000 AND X1 < 4.500000 AND X2 >= 1125.000000],{'0': {'precision': 0.7607260726072608; 'recall': 1.0; 'f1-score': 0.8641049671977508; 'support': 461}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 145}; 'accuracy': 0.7607260726072608; 'macro avg': {'precision': 0.3803630363036304; 'recall': 0.5; 'f1-score': 0.4320524835988754; 'support': 606}; 'weighted avg': {'precision': 0.5787041575444674; 'recall': 0.7607260726072608; 'f1-score': 0.6573471780167708; 'support': 606}},{'0': {'precision': 0.7647058823529411; 'recall': 1.0; 'f1-score': 0.8666666666666666; 'support': 52}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 16}; 'accuracy': 0.7647058823529411; 'macro avg': {'precision': 0.38235294117647056; 'recall': 0.5; 'f1-score': 0.4333333333333333; 'support': 68}; 'weighted avg': {'precision': 0.5847750865051903; 'recall': 0.7647058823529411; 'f1-score': 0.6627450980392157; 'support': 68}}
10,1,DNF,4,607,67,18,[33; 34],6,0.318155,0.582090,2,[X0 < 6.500000 AND X1 < 4.500000],{'0': {'precision': 0.7665952890792291; 'recall': 0.7748917748917749; 'f1-score': 0.7707212055974165; 'support': 462}; '1': {'precision': 0.2571428571428571; 'recall': 0.2482758620689655; 'f1-score': 0.2526315789473684; 'support': 145}; 'accuracy': 0.6490939044481054; 'macro avg': {'precision': 0.5118690731110431; 'recall': 0.5115838184803702; 'f1-score': 0.5116763922723925; 'support': 607}; 'weighted avg': {'precision': 0.6448974264255654; 'recall': 0.6490939044481054; 'f1-score': 0.6469600921472404; 'support': 607}},{'0': {'precision': 0.7555555555555555; 'recall': 0.6666666666666666; 'f1-score': 0.7083333333333334; 'support': 51}; '1': {'precision': 0.22727272727272727; 'recall': 0.3125; 'f1-score': 0.2631578947368421; 'support': 16}; 'accuracy': 0.582089552238806; 'macro avg': {'precision': 0.4914141414141414; 'recall': 0.4895833333333333; 'f1-score': 0.48574561403508776; 'support': 67}; 'weighted avg': {'precision': 0.6293984622342831; 'recall': 0.582089552238806; 'f1-score': 0.6020227808326787; 'support': 67}}
10,1,DNF,5,607,67,18,[33; 34],6,0.326131,0.731343,2,[X0 < 6.500000 AND X2 >= 1125.000000],{'0': {'precision': 0.8492239467849224; 'recall': 0.829004329004329; 'f1-score': 0.8389923329682366; 'support': 462}; '1': {'precision': 0.4935897435897436; 'recall': 0.5310344827586206; 'f1-score': 0.5116279069767442; 'support': 145}; 'accuracy': 0.7578253706754531; 'macro avg': {'precision': 0.671406845187333; 'recall': 0.6800194058814748; 'f1-score': 0.6753101199724905; 'support': 607}; 'weighted avg': {'precision': 0.7642701420677874; 'recall': 0.7578253706754531; 'f1-score': 0.7607916051778472; 'support': 607}},{'0': {'precision': 0.8367346938775511; 'recall': 0.803921568627451; 'f1-score': 0.8200000000000001; 'support': 51}; '1': {'precision': 0.4444444444444444; 'recall': 0.5; 'f1-score': 0.47058823529411764; 'support': 16}; 'accuracy': 0.7313432835820896; 'macro avg': {'precision': 0.6405895691609977; 'recall': 0.6519607843137255; 'f1-score': 0.6452941176470588; 'support': 67}; 'weighted avg': {'precision': 0.7430534402815854; 'recall': 0.7313432835820896; 'f1-score': 0.736558384547849; 'support': 67}}
10,1,DNF,6,607,67,18,[33; 34],6,0.306502,0.761194,3,[X0 < 6.500000 AND X0 >= 6.500000 AND X2 >= 1125.000000],{'0': {'precision': 0.7611202635914333; 'recall': 1.0; 'f1-score': 0.8643592142188962; 'support': 462}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 145}; 'accuracy': 0.7611202635914333; 'macro avg': {'precision': 0.3805601317957166; 'recall': 0.5; 'f1-score': 0.4321796071094481; 'support': 607}; 'weighted avg': {'precision': 0.5793040556494928; 'recall': 0.7611202635914333; 'f1-score': 0.6578813129639705; 'support': 607}},{'0': {'precision': 0.7611940298507462; 'recall': 1.0; 'f1-score': 0.864406779661017; 'support': 51}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 16}; 'accuracy': 0.7611940298507462; 'macro avg': {'precision': 0.3805970149253731; 'recall': 0.5; 'f1-score': 0.4322033898305085; 'support': 67}; 'weighted avg': {'precision': 0.5794163510804188; 'recall': 0.7611940298507462; 'f1-score': 0.6579812800404756; 'support': 67}}
10,1,DNF,7,607,67,18,[33; 34],6,0.303311,0.761194,2,[X0 < 6.500000 AND X2 >= 1125.000000],{'0': {'precision': 0.8501118568232662; 'recall': 0.8225108225108225; 'f1-score': 0.8360836083608362; 'support': 462}; '1': {'precision': 0.4875; 'recall': 0.5379310344827586; 'f1-score': 0.5114754098360655; 'support': 145}; 'accuracy': 0.7545304777594728; 'macro avg': {'precision': 0.6688059284116331; 'recall': 0.6802209284967906; 'f1-score': 0.6737795090984509; 'support': 607}; 'weighted avg': {'precision': 0.7634912320467034; 'recall': 0.7545304777594728; 'f1-score': 0.7585412874611792; 'support': 607}},{'0': {'precision': 0.8301886792452831; 'recall': 0.8627450980392157; 'f1-score': 0.8461538461538461; 'support': 51}; '1': {'precision': 0.5; 'recall': 0.4375; 'f1-score': 0.4666666666666667; 'support': 16}; 'accuracy': 0.7611940298507462; 'macro avg': {'precision': 0.6650943396226415; 'recall': 0.6501225490196079; 'f1-score': 0.6564102564102564; 'support': 67}; 'weighted avg': {'precision': 0.7513376513658124; 'recall': 0.7611940298507462; 'f1-score': 0.7555300420972063; 'support': 67}}
10,1,DNF,8,607,67,18,[33; 34],6,0.301453,0.761194,3,[X0 < 6.500000 AND X0 >= 6.500000 AND X1 >= 4.500000],{'0': {'precision': 0.7611202635914333; 'recall': 1.0; 'f1-score': 0.8643592142188962; 'support': 462}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 145}; 'accuracy': 0.7611202635914333; 'macro avg': {'precision': 0.3805601317957166; 'recall': 0.5; 'f1-score': 0.4321796071094481; 'support': 607}; 'weighted avg': {'precision': 0.5793040556494928; 'recall': 0.7611202635914333; 'f1-score': 0.6578813129639705; 'support': 607}},{'0': {'precision': 0.7611940298507462; 'recall': 1.0; 'f1-score': 0.864406779661017; 'support': 51}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 16}; 'accuracy': 0.7611940298507462; 'macro avg': {'precision': 0.3805970149253731; 'recall': 0.5; 'f1-score': 0.4322033898305085; 'support': 67}; 'weighted avg': {'precision': 0.5794163510804188; 'recall': 0.7611940298507462; 'f1-score': 0.6579812800404756; 'support': 67}}
