l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,460,52,28,[16; 17],122,0.601955,0.903846,4,[X0 >= 15.045000 OR X5 >= 0.155250 OR X20 >= 16.795000 OR X23 >= 1214.000000],{'0.0': {'precision': 0.9540636042402827; 'recall': 0.9342560553633218; 'f1-score': 0.9440559440559441; 'support': 289}; '1.0': {'precision': 0.8926553672316384; 'recall': 0.9239766081871345; 'f1-score': 0.9080459770114941; 'support': 171}; 'accuracy': 0.9304347826086956; 'macro avg': {'precision': 0.9233594857359606; 'recall': 0.9291163317752281; 'f1-score': 0.926050960533719; 'support': 460}; 'weighted avg': {'precision': 0.9312357596131562; 'recall': 0.9304347826086956; 'f1-score': 0.9306696302198552; 'support': 460}},{'0.0': {'precision': 0.9090909090909091; 'recall': 0.9375; 'f1-score': 0.923076923076923; 'support': 32}; '1.0': {'precision': 0.8947368421052632; 'recall': 0.85; 'f1-score': 0.8717948717948718; 'support': 20}; 'accuracy': 0.9038461538461539; 'macro avg': {'precision': 0.9019138755980861; 'recall': 0.89375; 'f1-score': 0.8974358974358974; 'support': 52}; 'weighted avg': {'precision': 0.9035701140964298; 'recall': 0.9038461538461539; 'f1-score': 0.9033530571992111; 'support': 52}}
l: 5,1,CNF,1,460,52,28,[16; 17],122,0.756166,0.884615,2,[X3 >= 696.250000 OR X21 >= 29.295000],{'0.0': {'precision': 0.9453125; 'recall': 0.8402777777777778; 'f1-score': 0.8897058823529412; 'support': 288}; '1.0': {'precision': 0.7745098039215687; 'recall': 0.9186046511627907; 'f1-score': 0.8404255319148937; 'support': 172}; 'accuracy': 0.8695652173913043; 'macro avg': {'precision': 0.8599111519607843; 'recall': 0.8794412144702842; 'f1-score': 0.8650657071339174; 'support': 460}; 'weighted avg': {'precision': 0.8814471440750213; 'recall': 0.8695652173913043; 'f1-score': 0.8712793165369757; 'support': 460}},{'0.0': {'precision': 0.9354838709677419; 'recall': 0.8787878787878788; 'f1-score': 0.90625; 'support': 33}; '1.0': {'precision': 0.8095238095238095; 'recall': 0.8947368421052632; 'f1-score': 0.8500000000000001; 'support': 19}; 'accuracy': 0.8846153846153846; 'macro avg': {'precision': 0.8725038402457757; 'recall': 0.886762360446571; 'f1-score': 0.878125; 'support': 52}; 'weighted avg': {'precision': 0.8894600023632281; 'recall': 0.8846153846153846; 'f1-score': 0.8856971153846155; 'support': 52}}
l: 5,1,CNF,2,461,51,28,[16; 17],122,0.598199,0.941176,1,[X20 >= 16.795000],{'0.0': {'precision': 0.9117647058823529; 'recall': 0.9653979238754326; 'f1-score': 0.9378151260504202; 'support': 289}; '1.0': {'precision': 0.9354838709677419; 'recall': 0.8430232558139535; 'f1-score': 0.8868501529051989; 'support': 172}; 'accuracy': 0.9197396963123644; 'macro avg': {'precision': 0.9236242884250474; 'recall': 0.904210589844693; 'f1-score': 0.9123326394778095; 'support': 461}; 'weighted avg': {'precision': 0.9206143726821076; 'recall': 0.9197396963123644; 'f1-score': 0.9187999950721597; 'support': 461}},{'0.0': {'precision': 0.9393939393939394; 'recall': 0.96875; 'f1-score': 0.9538461538461539; 'support': 32}; '1.0': {'precision': 0.9444444444444444; 'recall': 0.8947368421052632; 'f1-score': 0.918918918918919; 'support': 19}; 'accuracy': 0.9411764705882353; 'macro avg': {'precision': 0.9419191919191919; 'recall': 0.9317434210526316; 'f1-score': 0.9363825363825364; 'support': 51}; 'weighted avg': {'precision': 0.9412755000990295; 'recall': 0.9411764705882353; 'f1-score': 0.9408340467163996; 'support': 51}}
l: 5,1,CNF,3,461,51,28,[16; 17],122,0.762782,0.882353,3,[X0 >= 15.045000 OR X5 >= 0.155250 OR X21 >= 29.295000],{'0.0': {'precision': 0.9669421487603306; 'recall': 0.8096885813148789; 'f1-score': 0.8813559322033898; 'support': 289}; '1.0': {'precision': 0.7488584474885844; 'recall': 0.9534883720930233; 'f1-score': 0.8388746803069054; 'support': 172}; 'accuracy': 0.8633405639913232; 'macro avg': {'precision': 0.8579002981244574; 'recall': 0.881588476703951; 'f1-score': 0.8601153062551476; 'support': 461}; 'weighted avg': {'precision': 0.8855746940559047; 'recall': 0.8633405639913232; 'f1-score': 0.8655060941856125; 'support': 461}},{'0.0': {'precision': 0.9642857142857143; 'recall': 0.84375; 'f1-score': 0.8999999999999999; 'support': 32}; '1.0': {'precision': 0.782608695652174; 'recall': 0.9473684210526315; 'f1-score': 0.8571428571428571; 'support': 19}; 'accuracy': 0.8823529411764706; 'macro avg': {'precision': 0.8734472049689441; 'recall': 0.8955592105263157; 'f1-score': 0.8785714285714286; 'support': 51}; 'weighted avg': {'precision': 0.896602119108513; 'recall': 0.8823529411764706; 'f1-score': 0.8840336134453781; 'support': 51}}
l: 5,1,CNF,4,461,51,28,[16; 17],122,0.712467,0.960784,2,[X6 >= 0.119200 OR X23 >= 884.550000],{'0.0': {'precision': 0.9442508710801394; 'recall': 0.9377162629757786; 'f1-score': 0.9409722222222223; 'support': 289}; '1.0': {'precision': 0.896551724137931; 'recall': 0.9069767441860465; 'f1-score': 0.9017341040462429; 'support': 172}; 'accuracy': 0.9262472885032538; 'macro avg': {'precision': 0.9204012976090352; 'recall': 0.9223465035809125; 'f1-score': 0.9213531631342327; 'support': 461}; 'weighted avg': {'precision': 0.9264542262340225; 'recall': 0.9262472885032538; 'f1-score': 0.9263324037270629; 'support': 461}},{'0.0': {'precision': 1.0; 'recall': 0.9375; 'f1-score': 0.967741935483871; 'support': 32}; '1.0': {'precision': 0.9047619047619048; 'recall': 1.0; 'f1-score': 0.9500000000000001; 'support': 19}; 'accuracy': 0.9607843137254902; 'macro avg': {'precision': 0.9523809523809523; 'recall': 0.96875; 'f1-score': 0.9588709677419356; 'support': 51}; 'weighted avg': {'precision': 0.9645191409897292; 'recall': 0.9607843137254902; 'f1-score': 0.9611321948134092; 'support': 51}}
l: 5,1,CNF,5,461,51,28,[16; 17],122,0.793538,0.882353,3,[X0 >= 15.045000 OR X5 >= 0.102150 OR X7 >= 0.079005],{'0.0': {'precision': 0.96; 'recall': 0.7474048442906575; 'f1-score': 0.8404669260700389; 'support': 289}; '1.0': {'precision': 0.690677966101695; 'recall': 0.9476744186046512; 'f1-score': 0.7990196078431372; 'support': 172}; 'accuracy': 0.8221258134490239; 'macro avg': {'precision': 0.8253389830508475; 'recall': 0.8475396314476543; 'f1-score': 0.8197432669565881; 'support': 461}; 'weighted avg': {'precision': 0.859515423361153; 'recall': 0.8221258134490239; 'f1-score': 0.8250028507229085; 'support': 461}},{'0.0': {'precision': 1.0; 'recall': 0.8125; 'f1-score': 0.896551724137931; 'support': 32}; '1.0': {'precision': 0.76; 'recall': 1.0; 'f1-score': 0.8636363636363636; 'support': 19}; 'accuracy': 0.8823529411764706; 'macro avg': {'precision': 0.88; 'recall': 0.90625; 'f1-score': 0.8800940438871474; 'support': 51}; 'weighted avg': {'precision': 0.9105882352941176; 'recall': 0.8823529411764706; 'f1-score': 0.8842891388530333; 'support': 51}}
l: 5,1,CNF,6,461,51,28,[16; 17],122,0.777122,0.921569,3,[X0 >= 15.045000 OR X5 >= 0.155250 OR X7 >= 0.079005],{'0.0': {'precision': 0.928082191780822; 'recall': 0.9377162629757786; 'f1-score': 0.9328743545611015; 'support': 289}; '1.0': {'precision': 0.893491124260355; 'recall': 0.877906976744186; 'f1-score': 0.8856304985337242; 'support': 172}; 'accuracy': 0.9154013015184381; 'macro avg': {'precision': 0.9107866580205886; 'recall': 0.9078116198599824; 'f1-score': 0.9092524265474129; 'support': 461}; 'weighted avg': {'precision': 0.9151761969575675; 'recall': 0.9154013015184381; 'f1-score': 0.9152475796441624; 'support': 461}},{'0.0': {'precision': 0.9117647058823529; 'recall': 0.96875; 'f1-score': 0.9393939393939394; 'support': 32}; '1.0': {'precision': 0.9411764705882353; 'recall': 0.8421052631578947; 'f1-score': 0.8888888888888888; 'support': 19}; 'accuracy': 0.9215686274509803; 'macro avg': {'precision': 0.9264705882352942; 'recall': 0.9054276315789473; 'f1-score': 0.9141414141414141; 'support': 51}; 'weighted avg': {'precision': 0.9227220299884661; 'recall': 0.9215686274509803; 'f1-score': 0.9205783323430382; 'support': 51}}
l: 5,1,CNF,7,461,51,28,[16; 17],122,0.703018,0.882353,2,[X0 >= 15.045000 OR X7 >= 0.079005],{'0.0': {'precision': 0.9123376623376623; 'recall': 0.972318339100346; 'f1-score': 0.9413735343383584; 'support': 289}; '1.0': {'precision': 0.9477124183006536; 'recall': 0.8430232558139535; 'f1-score': 0.8923076923076924; 'support': 172}; 'accuracy': 0.9240780911062907; 'macro avg': {'precision': 0.9300250403191579; 'recall': 0.9076707974571498; 'f1-score': 0.9168406133230254; 'support': 461}; 'weighted avg': {'precision': 0.9255360528488; 'recall': 0.9240780911062907; 'f1-score': 0.9230669728865697; 'support': 461}},{'0.0': {'precision': 0.8823529411764706; 'recall': 0.9375; 'f1-score': 0.9090909090909091; 'support': 32}; '1.0': {'precision': 0.8823529411764706; 'recall': 0.7894736842105263; 'f1-score': 0.8333333333333333; 'support': 19}; 'accuracy': 0.8823529411764706; 'macro avg': {'precision': 0.8823529411764706; 'recall': 0.8634868421052632; 'f1-score': 0.8712121212121211; 'support': 51}; 'weighted avg': {'precision': 0.8823529411764706; 'recall': 0.8823529411764706; 'f1-score': 0.8808674985145573; 'support': 51}}
l: 5,1,CNF,8,461,51,28,[16; 17],122,0.750619,0.921569,3,[X7 >= 0.079005 OR X20 >= 14.905000 OR X27 >= 0.175750],{'0.0': {'precision': 0.9955156950672646; 'recall': 0.7681660899653979; 'f1-score': 0.8671875; 'support': 289}; '1.0': {'precision': 0.7184873949579832; 'recall': 0.9941860465116279; 'f1-score': 0.8341463414634146; 'support': 172}; 'accuracy': 0.8524945770065075; 'macro avg': {'precision': 0.8570015450126238; 'recall': 0.8811760682385129; 'f1-score': 0.8506669207317072; 'support': 461}; 'weighted avg': {'precision': 0.8921558954603309; 'recall': 0.8524945770065075; 'f1-score': 0.8548597792444844; 'support': 461}},{'0.0': {'precision': 1.0; 'recall': 0.875; 'f1-score': 0.9333333333333333; 'support': 32}; '1.0': {'precision': 0.8260869565217391; 'recall': 1.0; 'f1-score': 0.9047619047619047; 'support': 19}; 'accuracy': 0.9215686274509803; 'macro avg': {'precision': 0.9130434782608696; 'recall': 0.9375; 'f1-score': 0.919047619047619; 'support': 51}; 'weighted avg': {'precision': 0.9352088661551577; 'recall': 0.9215686274509803; 'f1-score': 0.922689075630252; 'support': 51}}
l: 5,1,CNF,9,461,51,28,[16; 17],122,0.736680,0.745098,3,[X0 >= 15.045000 OR X5 >= 0.155250 OR X21 >= 29.295000],{'0.0': {'precision': 0.9678714859437751; 'recall': 0.8339100346020761; 'f1-score': 0.895910780669145; 'support': 289}; '1.0': {'precision': 0.7735849056603774; 'recall': 0.9534883720930233; 'f1-score': 0.8541666666666667; 'support': 172}; 'accuracy': 0.8785249457700651; 'macro avg': {'precision': 0.8707281958020763; 'recall': 0.8936992033475497; 'f1-score': 0.8750387236679058; 'support': 461}; 'weighted avg': {'precision': 0.8953827835386897; 'recall': 0.8785249457700651; 'f1-score': 0.8803359702387193; 'support': 461}},{'0.0': {'precision': 0.9523809523809523; 'recall': 0.625; 'f1-score': 0.7547169811320755; 'support': 32}; '1.0': {'precision': 0.6; 'recall': 0.9473684210526315; 'f1-score': 0.7346938775510204; 'support': 19}; 'accuracy': 0.7450980392156863; 'macro avg': {'precision': 0.7761904761904761; 'recall': 0.7861842105263157; 'f1-score': 0.744705429341548; 'support': 51}; 'weighted avg': {'precision': 0.8211017740429505; 'recall': 0.7450980392156863; 'f1-score': 0.7472573935234472; 'support': 51}}
