l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,DNF,0,283,32,1,[283; 283],564,35.192719,0.906250,5,[X0 AND X2 >= 0.000000 AND X3 >= -0.500000 AND X4 >= 0.067040 AND X5 >= -0.227030],{'0.0': {'precision': 0.9148936170212766; 'recall': 0.8431372549019608; 'f1-score': 0.8775510204081632; 'support': 102}; '1.0': {'precision': 0.9153439153439153; 'recall': 0.9558011049723757; 'f1-score': 0.9351351351351351; 'support': 181}; 'accuracy': 0.9151943462897526; 'macro avg': {'precision': 0.9151187661825959; 'recall': 0.8994691799371682; 'f1-score': 0.9063430777716492; 'support': 283}; 'weighted avg': {'precision': 0.9151816170085473; 'recall': 0.9151943462897526; 'f1-score': 0.9143804365409615; 'support': 283}},{'0.0': {'precision': 0.9; 'recall': 0.8181818181818182; 'f1-score': 0.8571428571428572; 'support': 11}; '1.0': {'precision': 0.9090909090909091; 'recall': 0.9523809523809523; 'f1-score': 0.9302325581395349; 'support': 21}; 'accuracy': 0.90625; 'macro avg': {'precision': 0.9045454545454545; 'recall': 0.8852813852813852; 'f1-score': 0.893687707641196; 'support': 32}; 'weighted avg': {'precision': 0.9059659090909091; 'recall': 0.90625; 'f1-score': 0.905107973421927; 'support': 32}}
l: 5,1,DNF,1,283,32,1,[283; 283],564,34.876996,0.875000,5,[X2 >= 0.000000 AND X4 >= 0.067040 AND X5 >= -0.227030 AND X13 >= -0.496390 AND X17 >= -0.686270],{'0.0': {'precision': 0.898989898989899; 'recall': 0.8725490196078431; 'f1-score': 0.8855721393034826; 'support': 102}; '1.0': {'precision': 0.9293478260869565; 'recall': 0.9447513812154696; 'f1-score': 0.936986301369863; 'support': 181}; 'accuracy': 0.9187279151943463; 'macro avg': {'precision': 0.9141688625384278; 'recall': 0.9086502004116563; 'f1-score': 0.9112792203366729; 'support': 283}; 'weighted avg': {'precision': 0.918406099712752; 'recall': 0.9187279151943463; 'f1-score': 0.9184554019678461; 'support': 283}},{'0.0': {'precision': 0.8181818181818182; 'recall': 0.8181818181818182; 'f1-score': 0.8181818181818182; 'support': 11}; '1.0': {'precision': 0.9047619047619048; 'recall': 0.9047619047619048; 'f1-score': 0.9047619047619048; 'support': 21}; 'accuracy': 0.875; 'macro avg': {'precision': 0.8614718614718615; 'recall': 0.8614718614718615; 'f1-score': 0.8614718614718615; 'support': 32}; 'weighted avg': {'precision': 0.875; 'recall': 0.875; 'f1-score': 0.875; 'support': 32}}
l: 5,1,DNF,2,283,32,1,[283; 283],564,44.939299,0.937500,5,[X0 AND X2 >= 0.000000 AND X3 >= -0.500000 AND X4 >= 0.067040 AND X5 >= -0.227030],{'0.0': {'precision': 0.9130434782608695; 'recall': 0.8316831683168316; 'f1-score': 0.8704663212435233; 'support': 101}; '1.0': {'precision': 0.9109947643979057; 'recall': 0.9560439560439561; 'f1-score': 0.932975871313673; 'support': 182}; 'accuracy': 0.911660777385159; 'macro avg': {'precision': 0.9120191213293876; 'recall': 0.8938635621803939; 'f1-score': 0.9017210962785982; 'support': 283}; 'weighted avg': {'precision': 0.9117259308295642; 'recall': 0.911660777385159; 'f1-score': 0.910666809274503; 'support': 283}},{'0.0': {'precision': 0.9166666666666666; 'recall': 0.9166666666666666; 'f1-score': 0.9166666666666666; 'support': 12}; '1.0': {'precision': 0.95; 'recall': 0.95; 'f1-score': 0.9500000000000001; 'support': 20}; 'accuracy': 0.9375; 'macro avg': {'precision': 0.9333333333333333; 'recall': 0.9333333333333333; 'f1-score': 0.9333333333333333; 'support': 32}; 'weighted avg': {'precision': 0.9375; 'recall': 0.9375; 'f1-score': 0.9375; 'support': 32}}
l: 5,1,DNF,3,283,32,1,[283; 283],564,41.252066,0.906250,5,[X2 >= 0.000000 AND X4 >= 0.067040 AND X5 >= -0.227030 AND X7 >= -0.672730 AND X13 >= -0.496390],{'0.0': {'precision': 0.8888888888888888; 'recall': 0.8712871287128713; 'f1-score': 0.88; 'support': 101}; '1.0': {'precision': 0.9293478260869565; 'recall': 0.9395604395604396; 'f1-score': 0.9344262295081968; 'support': 182}; 'accuracy': 0.9151943462897526; 'macro avg': {'precision': 0.9091183574879227; 'recall': 0.9054237841366555; 'f1-score': 0.9072131147540984; 'support': 283}; 'weighted avg': {'precision': 0.9149084174049605; 'recall': 0.9151943462897526; 'f1-score': 0.9150020274575683; 'support': 283}},{'0.0': {'precision': 1.0; 'recall': 0.75; 'f1-score': 0.8571428571428571; 'support': 12}; '1.0': {'precision': 0.8695652173913043; 'recall': 1.0; 'f1-score': 0.9302325581395349; 'support': 20}; 'accuracy': 0.90625; 'macro avg': {'precision': 0.9347826086956521; 'recall': 0.875; 'f1-score': 0.893687707641196; 'support': 32}; 'weighted avg': {'precision': 0.9184782608695652; 'recall': 0.90625; 'f1-score': 0.9028239202657807; 'support': 32}}
l: 5,1,DNF,4,283,32,1,[283; 283],564,63.083208,0.875000,3,[X2 >= 0.000000 AND X4 >= 0.067040 AND X26 < 1.000000],{'0.0': {'precision': 0.8811881188118812; 'recall': 0.8811881188118812; 'f1-score': 0.8811881188118812; 'support': 101}; '1.0': {'precision': 0.9340659340659341; 'recall': 0.9340659340659341; 'f1-score': 0.9340659340659341; 'support': 182}; 'accuracy': 0.9151943462897526; 'macro avg': {'precision': 0.9076270264389077; 'recall': 0.9076270264389077; 'f1-score': 0.9076270264389077; 'support': 283}; 'weighted avg': {'precision': 0.9151943462897526; 'recall': 0.9151943462897526; 'f1-score': 0.9151943462897526; 'support': 283}},{'0.0': {'precision': 0.8333333333333334; 'recall': 0.8333333333333334; 'f1-score': 0.8333333333333334; 'support': 12}; '1.0': {'precision': 0.9; 'recall': 0.9; 'f1-score': 0.9; 'support': 20}; 'accuracy': 0.875; 'macro avg': {'precision': 0.8666666666666667; 'recall': 0.8666666666666667; 'f1-score': 0.8666666666666667; 'support': 32}; 'weighted avg': {'precision': 0.875; 'recall': 0.875; 'f1-score': 0.875; 'support': 32}}
l: 5,1,DNF,5,284,31,1,[284; 284],564,39.773765,0.838710,5,[X2 >= 0.000000 AND X4 >= 0.067040 AND X5 >= -0.227030 AND X13 >= -0.496390 AND X17 >= -0.686270],{'0.0': {'precision': 0.9081632653061225; 'recall': 0.8725490196078431; 'f1-score': 0.89; 'support': 102}; '1.0': {'precision': 0.9301075268817204; 'recall': 0.9505494505494505; 'f1-score': 0.9402173913043479; 'support': 182}; 'accuracy': 0.9225352112676056; 'macro avg': {'precision': 0.9191353960939215; 'recall': 0.9115492350786468; 'f1-score': 0.9151086956521739; 'support': 284}; 'weighted avg': {'precision': 0.9222261371609071; 'recall': 0.9225352112676056; 'f1-score': 0.9221815676668709; 'support': 284}},{'0.0': {'precision': 0.75; 'recall': 0.8181818181818182; 'f1-score': 0.7826086956521738; 'support': 11}; '1.0': {'precision': 0.8947368421052632; 'recall': 0.85; 'f1-score': 0.8717948717948718; 'support': 20}; 'accuracy': 0.8387096774193549; 'macro avg': {'precision': 0.8223684210526316; 'recall': 0.8340909090909091; 'f1-score': 0.8272017837235228; 'support': 31}; 'weighted avg': {'precision': 0.8433786078098472; 'recall': 0.8387096774193549; 'f1-score': 0.840148164131334; 'support': 31}}
l: 5,1,DNF,6,284,31,1,[284; 284],564,30.687191,0.935484,5,[X2 >= 0.000000 AND X3 >= -0.500000 AND X4 >= 0.067040 AND X5 >= -0.227030 AND X13 >= -0.496390],{'0.0': {'precision': 0.9052631578947369; 'recall': 0.8431372549019608; 'f1-score': 0.8730964467005077; 'support': 102}; '1.0': {'precision': 0.9153439153439153; 'recall': 0.9505494505494505; 'f1-score': 0.9326145552560646; 'support': 182}; 'accuracy': 0.9119718309859155; 'macro avg': {'precision': 0.9103035366193262; 'recall': 0.8968433527257056; 'f1-score': 0.9028555009782862; 'support': 284}; 'weighted avg': {'precision': 0.9117233616121682; 'recall': 0.9119718309859155; 'f1-score': 0.9112383331692097; 'support': 284}},{'0.0': {'precision': 0.8461538461538461; 'recall': 1.0; 'f1-score': 0.9166666666666666; 'support': 11}; '1.0': {'precision': 1.0; 'recall': 0.9; 'f1-score': 0.9473684210526316; 'support': 20}; 'accuracy': 0.9354838709677419; 'macro avg': {'precision': 0.9230769230769231; 'recall': 0.95; 'f1-score': 0.9320175438596492; 'support': 31}; 'weighted avg': {'precision': 0.945409429280397; 'recall': 0.9354838709677419; 'f1-score': 0.9364742501414828; 'support': 31}}
l: 5,1,DNF,7,284,31,1,[284; 284],564,38.973563,0.903226,5,[X0 AND X2 >= 0.000000 AND X3 >= -0.500000 AND X4 >= 0.067040 AND X17 >= -0.686270],{'0.0': {'precision': 0.9239130434782609; 'recall': 0.8333333333333334; 'f1-score': 0.8762886597938144; 'support': 102}; '1.0': {'precision': 0.9114583333333334; 'recall': 0.9615384615384616; 'f1-score': 0.9358288770053476; 'support': 182}; 'accuracy': 0.9154929577464789; 'macro avg': {'precision': 0.9176856884057971; 'recall': 0.8974358974358975; 'f1-score': 0.906058768399581; 'support': 284}; 'weighted avg': {'precision': 0.9159315038783427; 'recall': 0.9154929577464789; 'f1-score': 0.9144447144857125; 'support': 284}},{'0.0': {'precision': 0.9; 'recall': 0.8181818181818182; 'f1-score': 0.8571428571428572; 'support': 11}; '1.0': {'precision': 0.9047619047619048; 'recall': 0.95; 'f1-score': 0.9268292682926829; 'support': 20}; 'accuracy': 0.9032258064516129; 'macro avg': {'precision': 0.9023809523809524; 'recall': 0.884090909090909; 'f1-score': 0.89198606271777; 'support': 31}; 'weighted avg': {'precision': 0.9030721966205837; 'recall': 0.9032258064516129; 'f1-score': 0.9021018320782285; 'support': 31}}
l: 5,1,DNF,8,284,31,1,[284; 284],564,37.315734,0.806452,5,[X2 >= 0.000000 AND X4 >= 0.067040 AND X13 >= -0.496390 AND X17 >= -0.686270 AND X21 < 0.821620],{'0.0': {'precision': 0.883495145631068; 'recall': 0.8921568627450981; 'f1-score': 0.8878048780487806; 'support': 102}; '1.0': {'precision': 0.9392265193370166; 'recall': 0.9340659340659341; 'f1-score': 0.9366391184573004; 'support': 182}; 'accuracy': 0.9190140845070423; 'macro avg': {'precision': 0.9113608324840423; 'recall': 0.9131113984055161; 'f1-score': 0.9122219982530405; 'support': 284}; 'weighted avg': {'precision': 0.9192103217384012; 'recall': 0.9190140845070423; 'f1-score': 0.9191000602824095; 'support': 284}},{'0.0': {'precision': 0.7272727272727273; 'recall': 0.7272727272727273; 'f1-score': 0.7272727272727273; 'support': 11}; '1.0': {'precision': 0.85; 'recall': 0.85; 'f1-score': 0.85; 'support': 20}; 'accuracy': 0.8064516129032258; 'macro avg': {'precision': 0.7886363636363636; 'recall': 0.7886363636363636; 'f1-score': 0.7886363636363636; 'support': 31}; 'weighted avg': {'precision': 0.8064516129032258; 'recall': 0.8064516129032258; 'f1-score': 0.8064516129032258; 'support': 31}}
l: 5,1,DNF,9,284,31,1,[284; 284],564,34.913949,0.806452,5,[X2 >= 0.000000 AND X4 >= 0.067040 AND X5 >= -0.227030 AND X13 >= -0.496390 AND X17 >= -0.686270],{'0.0': {'precision': 0.9090909090909091; 'recall': 0.8823529411764706; 'f1-score': 0.8955223880597014; 'support': 102}; '1.0': {'precision': 0.9351351351351351; 'recall': 0.9505494505494505; 'f1-score': 0.9427792915531334; 'support': 182}; 'accuracy': 0.926056338028169; 'macro avg': {'precision': 0.922113022113022; 'recall': 0.9164511958629605; 'f1-score': 0.9191508398064174; 'support': 284}; 'weighted avg': {'precision': 0.9257812229643216; 'recall': 0.926056338028169; 'f1-score': 0.9258067417069007; 'support': 284}},{'0.0': {'precision': 0.7272727272727273; 'recall': 0.7272727272727273; 'f1-score': 0.7272727272727273; 'support': 11}; '1.0': {'precision': 0.85; 'recall': 0.85; 'f1-score': 0.85; 'support': 20}; 'accuracy': 0.8064516129032258; 'macro avg': {'precision': 0.7886363636363636; 'recall': 0.7886363636363636; 'f1-score': 0.7886363636363636; 'support': 31}; 'weighted avg': {'precision': 0.8064516129032258; 'recall': 0.8064516129032258; 'f1-score': 0.8064516129032258; 'support': 31}}
