lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
5,1,CNF,1,284,32,17,[16; 17],564,0.801949,0.843750,1,[X26 < 1.000000],{'0.0': {'precision': 0.8428571428571429; 'recall': 0.5784313725490197; 'f1-score': 0.686046511627907; 'support': 102}; '1.0': {'precision': 0.7990654205607477; 'recall': 0.9395604395604396; 'f1-score': 0.8636363636363636; 'support': 182}; 'accuracy': 0.8098591549295775; 'macro avg': {'precision': 0.8209612817089453; 'recall': 0.7589959060547296; 'f1-score': 0.7748414376321353; 'support': 284}; 'weighted avg': {'precision': 0.8147934334981854; 'recall': 0.8098591549295775; 'f1-score': 0.7998540928445941; 'support': 284}},{'0.0': {'precision': 0.8; 'recall': 0.7272727272727273; 'f1-score': 0.761904761904762; 'support': 11}; '1.0': {'precision': 0.8636363636363636; 'recall': 0.9047619047619048; 'f1-score': 0.8837209302325582; 'support': 21}; 'accuracy': 0.84375; 'macro avg': {'precision': 0.8318181818181818; 'recall': 0.8160173160173161; 'f1-score': 0.8228128460686601; 'support': 32}; 'weighted avg': {'precision': 0.8417613636363637; 'recall': 0.84375; 'f1-score': 0.8418466223698782; 'support': 32}}
5,1,CNF,2,284,32,17,[16; 17],564,0.795332,0.781250,2,[X2 >= 0.328340 OR X5 < -0.061510],{'0.0': {'precision': 0.8936170212765957; 'recall': 0.4117647058823529; 'f1-score': 0.5637583892617449; 'support': 102}; '1.0': {'precision': 0.7468354430379747; 'recall': 0.9725274725274725; 'f1-score': 0.8448687350835321; 'support': 182}; 'accuracy': 0.7711267605633803; 'macro avg': {'precision': 0.8202262321572852; 'recall': 0.6921460892049127; 'f1-score': 0.7043135621726385; 'support': 284}; 'weighted avg': {'precision': 0.7995527704335357; 'recall': 0.7711267605633803; 'f1-score': 0.7439065686264114; 'support': 284}},{'0.0': {'precision': 0.8333333333333334; 'recall': 0.45454545454545453; 'f1-score': 0.5882352941176471; 'support': 11}; '1.0': {'precision': 0.7692307692307693; 'recall': 0.9523809523809523; 'f1-score': 0.8510638297872339; 'support': 21}; 'accuracy': 0.78125; 'macro avg': {'precision': 0.8012820512820513; 'recall': 0.7034632034632035; 'f1-score': 0.7196495619524406; 'support': 32}; 'weighted avg': {'precision': 0.7912660256410257; 'recall': 0.78125; 'f1-score': 0.7607165206508135; 'support': 32}}
5,1,CNF,3,284,32,17,[16; 17],564,0.778497,0.531250,4,[X6 < 0.000000 OR X8 < 0.000000 OR X9 < 0.000000 OR X33 < 0.000000],{'0.0': {'precision': 0.4090909090909091; 'recall': 0.3564356435643564; 'f1-score': 0.380952380952381; 'support': 101}; '1.0': {'precision': 0.6683673469387755; 'recall': 0.7158469945355191; 'f1-score': 0.6912928759894459; 'support': 183}; 'accuracy': 0.5880281690140845; 'macro avg': {'precision': 0.5387291280148423; 'recall': 0.5361413190499378; 'f1-score': 0.5361226284709134; 'support': 284}; 'weighted avg': {'precision': 0.5761598813661188; 'recall': 0.5880281690140845; 'f1-score': 0.5809253055713348; 'support': 284}},{'0.0': {'precision': 0.36363636363636365; 'recall': 0.3333333333333333; 'f1-score': 0.34782608695652173; 'support': 12}; '1.0': {'precision': 0.6190476190476191; 'recall': 0.65; 'f1-score': 0.6341463414634146; 'support': 20}; 'accuracy': 0.53125; 'macro avg': {'precision': 0.49134199134199136; 'recall': 0.4916666666666667; 'f1-score': 0.4909862142099682; 'support': 32}; 'weighted avg': {'precision': 0.5232683982683983; 'recall': 0.53125; 'f1-score': 0.5267762460233298; 'support': 32}}
5,1,CNF,4,284,32,17,[16; 17],564,0.755990,0.625000,2,[X9 < 0.000000 OR X26 < 0.708240],{'0.0': {'precision': 0.5384615384615384; 'recall': 0.48514851485148514; 'f1-score': 0.5104166666666667; 'support': 101}; '1.0': {'precision': 0.7305699481865285; 'recall': 0.7704918032786885; 'f1-score': 0.75; 'support': 183}; 'accuracy': 0.6690140845070423; 'macro avg': {'precision': 0.6345157433240335; 'recall': 0.6278201590650868; 'f1-score': 0.6302083333333334; 'support': 284}; 'weighted avg': {'precision': 0.6622497038829229; 'recall': 0.6690140845070423; 'f1-score': 0.6647960680751174; 'support': 284}},{'0.0': {'precision': 0.5; 'recall': 0.3333333333333333; 'f1-score': 0.4; 'support': 12}; '1.0': {'precision': 0.6666666666666666; 'recall': 0.8; 'f1-score': 0.7272727272727272; 'support': 20}; 'accuracy': 0.625; 'macro avg': {'precision': 0.5833333333333333; 'recall': 0.5666666666666667; 'f1-score': 0.5636363636363636; 'support': 32}; 'weighted avg': {'precision': 0.6041666666666666; 'recall': 0.625; 'f1-score': 0.6045454545454545; 'support': 32}}
5,1,CNF,5,284,32,17,[16; 17],564,0.773225,0.625000,3,[X3 >= 0.136450 OR X17 < -0.143290 OR X22 >= 0.299080],{'0.0': {'precision': 0.7674418604651163; 'recall': 0.32673267326732675; 'f1-score': 0.45833333333333337; 'support': 101}; '1.0': {'precision': 0.7178423236514523; 'recall': 0.9453551912568307; 'f1-score': 0.8160377358490566; 'support': 183}; 'accuracy': 0.7253521126760564; 'macro avg': {'precision': 0.7426420920582844; 'recall': 0.6360439322620787; 'f1-score': 0.637185534591195; 'support': 284}; 'weighted avg': {'precision': 0.7354815955464525; 'recall': 0.7253521126760564; 'f1-score': 0.6888259588980423; 'support': 284}},{'0.0': {'precision': 0.5; 'recall': 0.25; 'f1-score': 0.3333333333333333; 'support': 12}; '1.0': {'precision': 0.6538461538461539; 'recall': 0.85; 'f1-score': 0.7391304347826088; 'support': 20}; 'accuracy': 0.625; 'macro avg': {'precision': 0.5769230769230769; 'recall': 0.55; 'f1-score': 0.5362318840579711; 'support': 32}; 'weighted avg': {'precision': 0.5961538461538461; 'recall': 0.625; 'f1-score': 0.5869565217391305; 'support': 32}}
5,1,CNF,6,285,31,17,[16; 17],564,0.818172,0.645161,2,[X3 >= 0.016310 OR X31 < -0.325400],{'0.0': {'precision': 0.4824561403508772; 'recall': 0.5392156862745098; 'f1-score': 0.5092592592592592; 'support': 102}; '1.0': {'precision': 0.7251461988304093; 'recall': 0.6775956284153005; 'f1-score': 0.7005649717514123; 'support': 183}; 'accuracy': 0.6280701754385964; 'macro avg': {'precision': 0.6038011695906432; 'recall': 0.6084056573449051; 'f1-score': 0.6049121155053357; 'support': 285}; 'weighted avg': {'precision': 0.638288704216682; 'recall': 0.6280701754385964; 'f1-score': 0.6320976641226417; 'support': 285}},{'0.0': {'precision': 0.5; 'recall': 0.5454545454545454; 'f1-score': 0.5217391304347826; 'support': 11}; '1.0': {'precision': 0.7368421052631579; 'recall': 0.7; 'f1-score': 0.717948717948718; 'support': 20}; 'accuracy': 0.6451612903225806; 'macro avg': {'precision': 0.618421052631579; 'recall': 0.6227272727272727; 'f1-score': 0.6198439241917503; 'support': 31}; 'weighted avg': {'precision': 0.6528013582342954; 'recall': 0.6451612903225806; 'f1-score': 0.6483259610889344; 'support': 31}}
5,1,CNF,7,285,31,17,[16; 17],564,0.757527,0.806452,1,[X6 >= 0.037590],{'0.0': {'precision': 0.9464285714285714; 'recall': 0.5196078431372549; 'f1-score': 0.6708860759493671; 'support': 102}; '1.0': {'precision': 0.7860262008733624; 'recall': 0.9836065573770492; 'f1-score': 0.8737864077669902; 'support': 183}; 'accuracy': 0.8175438596491228; 'macro avg': {'precision': 0.8662273861509668; 'recall': 0.7516072002571521; 'f1-score': 0.7723362418581787; 'support': 285}; 'weighted avg': {'precision': 0.8434333650720688; 'recall': 0.8175438596491228; 'f1-score': 0.801169446905946; 'support': 285}},{'0.0': {'precision': 1.0; 'recall': 0.45454545454545453; 'f1-score': 0.625; 'support': 11}; '1.0': {'precision': 0.7692307692307693; 'recall': 1.0; 'f1-score': 0.8695652173913044; 'support': 20}; 'accuracy': 0.8064516129032258; 'macro avg': {'precision': 0.8846153846153846; 'recall': 0.7272727272727273; 'f1-score': 0.7472826086956522; 'support': 31}; 'weighted avg': {'precision': 0.8511166253101737; 'recall': 0.8064516129032258; 'f1-score': 0.7827840112201965; 'support': 31}}
5,1,CNF,8,285,31,17,[16; 17],564,0.783870,0.516129,3,[X12 < -0.024390 OR X17 < -0.050570 OR X29 >= 0.015470],{'0.0': {'precision': 0.5151515151515151; 'recall': 0.3333333333333333; 'f1-score': 0.40476190476190477; 'support': 102}; '1.0': {'precision': 0.6894977168949772; 'recall': 0.825136612021858; 'f1-score': 0.7512437810945274; 'support': 183}; 'accuracy': 0.6491228070175439; 'macro avg': {'precision': 0.6023246160232462; 'recall': 0.5792349726775956; 'f1-score': 0.578002842928216; 'support': 285}; 'weighted avg': {'precision': 0.6271001289025803; 'recall': 0.6491228070175439; 'f1-score': 0.6272397411439046; 'support': 285}},{'0.0': {'precision': 0.3; 'recall': 0.2727272727272727; 'f1-score': 0.28571428571428564; 'support': 11}; '1.0': {'precision': 0.6190476190476191; 'recall': 0.65; 'f1-score': 0.6341463414634146; 'support': 20}; 'accuracy': 0.5161290322580645; 'macro avg': {'precision': 0.45952380952380956; 'recall': 0.46136363636363636; 'f1-score': 0.45993031358885017; 'support': 31}; 'weighted avg': {'precision': 0.5058371735791091; 'recall': 0.5161290322580645; 'f1-score': 0.5105091603911431; 'support': 31}}
5,1,CNF,9,285,31,17,[16; 17],564,0.802245,0.516129,1,[X11 >= 0.028250],{'0.0': {'precision': 0.475177304964539; 'recall': 0.6568627450980392; 'f1-score': 0.5514403292181069; 'support': 102}; '1.0': {'precision': 0.7569444444444444; 'recall': 0.5956284153005464; 'f1-score': 0.6666666666666666; 'support': 183}; 'accuracy': 0.6175438596491228; 'macro avg': {'precision': 0.6160608747044918; 'recall': 0.6262455801992928; 'f1-score': 0.6090534979423867; 'support': 285}; 'weighted avg': {'precision': 0.656101468209531; 'recall': 0.6175438596491228; 'f1-score': 0.6254277669482348; 'support': 285}},{'0.0': {'precision': 0.3888888888888889; 'recall': 0.6363636363636364; 'f1-score': 0.4827586206896552; 'support': 11}; '1.0': {'precision': 0.6923076923076923; 'recall': 0.45; 'f1-score': 0.5454545454545455; 'support': 20}; 'accuracy': 0.5161290322580645; 'macro avg': {'precision': 0.5405982905982906; 'recall': 0.5431818181818182; 'f1-score': 0.5141065830721003; 'support': 31}; 'weighted avg': {'precision': 0.5846429556106976; 'recall': 0.5161290322580645; 'f1-score': 0.5232076044089392; 'support': 31}}
5,1,CNF,0,284,32,8,[35; 36],564,0.478971,0.781250,1,[X6 >= 0.037590],{'0.0': {'precision': 0.9473684210526315; 'recall': 0.5294117647058824; 'f1-score': 0.679245283018868; 'support': 102}; '1.0': {'precision': 0.788546255506608; 'recall': 0.9835164835164835; 'f1-score': 0.8753056234718826; 'support': 182}; 'accuracy': 0.8204225352112676; 'macro avg': {'precision': 0.8679573382796197; 'recall': 0.7564641241111829; 'f1-score': 0.7772754532453753; 'support': 284}; 'weighted avg': {'precision': 0.8455880191886305; 'recall': 0.8204225352112676; 'f1-score': 0.8048895857035464; 'support': 284}},{'0.0': {'precision': 1.0; 'recall': 0.36363636363636365; 'f1-score': 0.5333333333333333; 'support': 11}; '1.0': {'precision': 0.75; 'recall': 1.0; 'f1-score': 0.8571428571428571; 'support': 21}; 'accuracy': 0.78125; 'macro avg': {'precision': 0.875; 'recall': 0.6818181818181819; 'f1-score': 0.6952380952380952; 'support': 32}; 'weighted avg': {'precision': 0.8359375; 'recall': 0.78125; 'f1-score': 0.7458333333333333; 'support': 32}}
