lamda, n_clause, rule_type, partition_size, n_partitions, id_cv, training_time, accuracy
---> Chosen: (5, 1, 'DNF', [71, 72], 4, 6), (mean val acc cv) 0.917843, (test acc holdout) 0.885714, (mean training time) 0.222203
5,1,DNF,[142, 142],2,0,0.175676,0.875000
5,1,DNF,[142, 142],2,1,0.182746,0.937500
5,1,DNF,[142, 142],2,2,0.156942,0.937500
5,1,DNF,[142, 142],2,3,0.166824,0.875000
5,1,DNF,[142, 142],2,4,0.166123,0.937500
5,1,DNF,[142, 142],2,5,0.167632,0.937500
5,1,DNF,[142, 143],2,6,0.180690,0.935484
5,1,DNF,[142, 143],2,7,0.190370,0.903226
5,1,DNF,[142, 143],2,8,0.174968,0.870968
5,1,DNF,[142, 143],2,9,0.177065,0.935484
---> Chosen: (5, 1, 'DNF', [142, 142], 2, 1), (mean val acc cv) 0.914516, (test acc holdout) 0.885714, (mean training time) 0.173904
5,2,CNF,[8, 9],35,0,0.943517,0.656250
5,2,CNF,[8, 9],35,1,0.942565,0.718750
5,2,CNF,[8, 9],35,2,0.952280,0.875000
5,2,CNF,[8, 9],35,3,0.912105,0.875000
5,2,CNF,[8, 9],35,4,0.902056,0.687500
5,2,CNF,[8, 9],35,5,0.899421,0.906250
5,2,CNF,[8, 9],35,6,0.903908,0.774194
5,2,CNF,[8, 9],35,7,0.939592,0.903226
5,2,CNF,[8, 9],35,8,0.930432,0.806452
5,2,CNF,[8, 9],35,9,0.909577,0.677419
---> Chosen: (5, 2, 'CNF', [8, 9], 35, 5), (mean val acc cv) 0.788004, (test acc holdout) 0.914286, (mean training time) 0.923545
5,2,CNF,[16, 17],17,0,0.543314,0.468750
5,2,CNF,[16, 17],17,1,0.525447,0.750000
5,2,CNF,[16, 17],17,2,0.503936,0.843750
5,2,CNF,[16, 17],17,3,0.499511,0.625000
5,2,CNF,[16, 17],17,4,0.508126,0.750000
5,2,CNF,[16, 17],17,5,0.526987,0.875000
5,2,CNF,[16, 17],17,6,0.548250,0.709677
5,2,CNF,[16, 17],17,7,0.530303,0.838710
5,2,CNF,[16, 17],17,8,0.553496,0.645161
5,2,CNF,[16, 17],17,9,0.541587,0.806452
---> Chosen: (5, 2, 'CNF', [16, 17], 17, 5), (mean val acc cv) 0.731250, (test acc holdout) 0.628571, (mean training time) 0.528096
5,2,CNF,[35, 36],8,0,0.372183,0.812500
5,2,CNF,[35, 36],8,1,0.412293,0.843750
5,2,CNF,[35, 36],8,2,0.353384,0.843750
5,2,CNF,[35, 36],8,3,0.408626,0.718750
5,2,CNF,[35, 36],8,4,0.392870,0.750000
5,2,CNF,[35, 36],8,5,0.371600,0.843750
5,2,CNF,[35, 36],8,6,0.351694,0.774194
5,2,CNF,[35, 36],8,7,0.378232,0.838710
5,2,CNF,[35, 36],8,8,0.382343,0.806452
5,2,CNF,[35, 36],8,9,0.363408,0.741935
---> Chosen: (5, 2, 'CNF', [35, 36], 8, 1), (mean val acc cv) 0.797379, (test acc holdout) 0.828571, (mean training time) 0.378663
5,2,CNF,[71, 71],4,0,1.177130,0.781250
5,2,CNF,[71, 71],4,1,0.955516,0.843750
5,2,CNF,[71, 71],4,2,0.917851,0.718750
5,2,CNF,[71, 71],4,3,0.433520,0.843750
5,2,CNF,[71, 71],4,4,0.924349,0.843750
5,2,CNF,[71, 71],4,5,0.882789,0.875000
5,2,CNF,[71, 72],4,6,1.461985,0.870968
5,2,CNF,[71, 72],4,7,1.269311,0.903226
5,2,CNF,[71, 72],4,8,1.736801,0.838710
5,2,CNF,[71, 72],4,9,1.796899,0.838710
---> Chosen: (5, 2, 'CNF', [71, 72], 4, 7), (mean val acc cv) 0.835786, (test acc holdout) 0.771429, (mean training time) 1.155615
5,2,CNF,[142, 142],2,0,11.638821,0.875000
5,2,CNF,[142, 142],2,1,5.961717,0.906250
5,2,CNF,[142, 142],2,2,4.250015,0.843750
5,2,CNF,[142, 142],2,3,5.354025,0.843750
5,2,CNF,[142, 142],2,4,5.172336,0.906250
5,2,CNF,[142, 142],2,5,16.942911,0.968750
5,2,CNF,[142, 143],2,6,6.019199,0.838710
5,2,CNF,[142, 143],2,7,12.623567,0.967742
5,2,CNF,[142, 143],2,8,8.120491,0.806452
5,2,CNF,[142, 143],2,9,12.478725,0.838710
---> Chosen: (5, 2, 'CNF', [142, 142], 2, 5), (mean val acc cv) 0.879536, (test acc holdout) 0.857143, (mean training time) 8.856181
5,2,DNF,[8, 9],35,0,0.915065,0.812500
5,2,DNF,[8, 9],35,1,0.898610,0.937500
5,2,DNF,[8, 9],35,2,0.871346,0.937500
5,2,DNF,[8, 9],35,3,0.876822,0.906250
5,2,DNF,[8, 9],35,4,0.924301,0.875000
5,2,DNF,[8, 9],35,5,0.855233,0.937500
5,2,DNF,[8, 9],35,6,0.864130,0.774194
5,2,DNF,[8, 9],35,7,0.913923,0.935484
5,2,DNF,[8, 9],35,8,0.904171,0.903226
5,2,DNF,[8, 9],35,9,0.900314,0.935484
---> Chosen: (5, 2, 'DNF', [8, 9], 35, 1), (mean val acc cv) 0.895464, (test acc holdout) 0.885714, (mean training time) 0.892391
5,2,DNF,[16, 17],17,0,0.554027,0.875000
5,2,DNF,[16, 17],17,1,0.539445,0.687500
5,2,DNF,[16, 17],17,2,0.536463,0.843750
5,2,DNF,[16, 17],17,3,0.530593,0.875000
5,2,DNF,[16, 17],17,4,0.552926,0.875000
5,2,DNF,[16, 17],17,5,0.500692,0.968750
5,2,DNF,[16, 17],17,6,0.525305,0.935484
5,2,DNF,[16, 17],17,7,0.577170,0.935484
5,2,DNF,[16, 17],17,8,0.524230,0.774194
5,2,DNF,[16, 17],17,9,0.534617,0.774194
