l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,605,68,37,[16; 17],64,0.809569,0.764706,0,[],{'0': {'precision': 0.7619834710743801; 'recall': 1.0; 'f1-score': 0.8649155722326454; 'support': 461}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 144}; 'accuracy': 0.7619834710743801; 'macro avg': {'precision': 0.38099173553719007; 'recall': 0.5; 'f1-score': 0.4324577861163227; 'support': 605}; 'weighted avg': {'precision': 0.5806188101905607; 'recall': 0.7619834710743801; 'f1-score': 0.6590513699161149; 'support': 605}},{'0': {'precision': 0.7647058823529411; 'recall': 1.0; 'f1-score': 0.8666666666666666; 'support': 52}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 16}; 'accuracy': 0.7647058823529411; 'macro avg': {'precision': 0.38235294117647056; 'recall': 0.5; 'f1-score': 0.4333333333333333; 'support': 68}; 'weighted avg': {'precision': 0.5847750865051903; 'recall': 0.7647058823529411; 'f1-score': 0.6627450980392157; 'support': 68}}
l: 5,1,CNF,1,605,68,37,[16; 17],64,1.068655,0.764706,0,[],{'0': {'precision': 0.7619834710743801; 'recall': 1.0; 'f1-score': 0.8649155722326454; 'support': 461}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 144}; 'accuracy': 0.7619834710743801; 'macro avg': {'precision': 0.38099173553719007; 'recall': 0.5; 'f1-score': 0.4324577861163227; 'support': 605}; 'weighted avg': {'precision': 0.5806188101905607; 'recall': 0.7619834710743801; 'f1-score': 0.6590513699161149; 'support': 605}},{'0': {'precision': 0.7647058823529411; 'recall': 1.0; 'f1-score': 0.8666666666666666; 'support': 52}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 16}; 'accuracy': 0.7647058823529411; 'macro avg': {'precision': 0.38235294117647056; 'recall': 0.5; 'f1-score': 0.4333333333333333; 'support': 68}; 'weighted avg': {'precision': 0.5847750865051903; 'recall': 0.7647058823529411; 'f1-score': 0.6627450980392157; 'support': 68}}
l: 5,1,CNF,2,605,68,37,[16; 17],64,1.077283,0.764706,0,[],{'0': {'precision': 0.7619834710743801; 'recall': 1.0; 'f1-score': 0.8649155722326454; 'support': 461}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 144}; 'accuracy': 0.7619834710743801; 'macro avg': {'precision': 0.38099173553719007; 'recall': 0.5; 'f1-score': 0.4324577861163227; 'support': 605}; 'weighted avg': {'precision': 0.5806188101905607; 'recall': 0.7619834710743801; 'f1-score': 0.6590513699161149; 'support': 605}},{'0': {'precision': 0.7647058823529411; 'recall': 1.0; 'f1-score': 0.8666666666666666; 'support': 52}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 16}; 'accuracy': 0.7647058823529411; 'macro avg': {'precision': 0.38235294117647056; 'recall': 0.5; 'f1-score': 0.4333333333333333; 'support': 68}; 'weighted avg': {'precision': 0.5847750865051903; 'recall': 0.7647058823529411; 'f1-score': 0.6627450980392157; 'support': 68}}
l: 5,1,CNF,3,606,67,37,[16; 17],64,1.073865,0.761194,0,[],{'0': {'precision': 0.7623762376237624; 'recall': 1.0; 'f1-score': 0.8651685393258427; 'support': 462}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 144}; 'accuracy': 0.7623762376237624; 'macro avg': {'precision': 0.3811881188118812; 'recall': 0.5; 'f1-score': 0.43258426966292135; 'support': 606}; 'weighted avg': {'precision': 0.5812175276933634; 'recall': 0.7623762376237624; 'f1-score': 0.6595839359216821; 'support': 606}},{'0': {'precision': 0.7611940298507462; 'recall': 1.0; 'f1-score': 0.864406779661017; 'support': 51}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 16}; 'accuracy': 0.7611940298507462; 'macro avg': {'precision': 0.3805970149253731; 'recall': 0.5; 'f1-score': 0.4322033898305085; 'support': 67}; 'weighted avg': {'precision': 0.5794163510804188; 'recall': 0.7611940298507462; 'f1-score': 0.6579812800404756; 'support': 67}}
l: 5,1,CNF,4,606,67,37,[16; 17],64,1.039077,0.567164,1,[X0 < 7.000000],{'0': {'precision': 0.8954248366013072; 'recall': 0.5930735930735931; 'f1-score': 0.7135416666666666; 'support': 462}; '1': {'precision': 0.37333333333333335; 'recall': 0.7777777777777778; 'f1-score': 0.5045045045045045; 'support': 144}; 'accuracy': 0.636963696369637; 'macro avg': {'precision': 0.6343790849673203; 'recall': 0.6854256854256855; 'f1-score': 0.6090230855855856; 'support': 606}; 'weighted avg': {'precision': 0.7713634892901055; 'recall': 0.636963696369637; 'f1-score': 0.663869469717242; 'support': 606}},{'0': {'precision': 0.84375; 'recall': 0.5294117647058824; 'f1-score': 0.6506024096385543; 'support': 51}; '1': {'precision': 0.3142857142857143; 'recall': 0.6875; 'f1-score': 0.43137254901960786; 'support': 16}; 'accuracy': 0.5671641791044776; 'macro avg': {'precision': 0.5790178571428571; 'recall': 0.6084558823529411; 'f1-score': 0.5409874793290811; 'support': 67}; 'weighted avg': {'precision': 0.7173107675906183; 'recall': 0.5671641791044776; 'f1-score': 0.5982490100877611; 'support': 67}}
l: 5,1,CNF,5,606,67,37,[16; 17],64,1.182073,0.671642,1,[X3 < 14.000000],{'0': {'precision': 0.7670682730923695; 'recall': 0.8268398268398268; 'f1-score': 0.7958333333333334; 'support': 462}; '1': {'precision': 0.25925925925925924; 'recall': 0.19444444444444445; 'f1-score': 0.2222222222222222; 'support': 144}; 'accuracy': 0.6765676567656765; 'macro avg': {'precision': 0.5131637661758144; 'recall': 0.5106421356421357; 'f1-score': 0.5090277777777779; 'support': 606}; 'weighted avg': {'precision': 0.6464007846567789; 'recall': 0.6765676567656765; 'f1-score': 0.659529702970297; 'support': 606}},{'0': {'precision': 0.7636363636363637; 'recall': 0.8235294117647058; 'f1-score': 0.7924528301886793; 'support': 51}; '1': {'precision': 0.25; 'recall': 0.1875; 'f1-score': 0.21428571428571427; 'support': 16}; 'accuracy': 0.6716417910447762; 'macro avg': {'precision': 0.5068181818181818; 'recall': 0.5055147058823529; 'f1-score': 0.5033692722371967; 'support': 67}; 'weighted avg': {'precision': 0.6409769335142469; 'recall': 0.6716417910447762; 'f1-score': 0.6543830711670757; 'support': 67}}
l: 5,1,CNF,6,606,67,37,[16; 17],64,1.188614,0.761194,0,[],{'0': {'precision': 0.7623762376237624; 'recall': 1.0; 'f1-score': 0.8651685393258427; 'support': 462}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 144}; 'accuracy': 0.7623762376237624; 'macro avg': {'precision': 0.3811881188118812; 'recall': 0.5; 'f1-score': 0.43258426966292135; 'support': 606}; 'weighted avg': {'precision': 0.5812175276933634; 'recall': 0.7623762376237624; 'f1-score': 0.6595839359216821; 'support': 606}},{'0': {'precision': 0.7611940298507462; 'recall': 1.0; 'f1-score': 0.864406779661017; 'support': 51}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 16}; 'accuracy': 0.7611940298507462; 'macro avg': {'precision': 0.3805970149253731; 'recall': 0.5; 'f1-score': 0.4322033898305085; 'support': 67}; 'weighted avg': {'precision': 0.5794163510804188; 'recall': 0.7611940298507462; 'f1-score': 0.6579812800404756; 'support': 67}}
l: 5,1,CNF,7,606,67,37,[16; 17],64,1.041360,0.761194,0,[],{'0': {'precision': 0.7623762376237624; 'recall': 1.0; 'f1-score': 0.8651685393258427; 'support': 462}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 144}; 'accuracy': 0.7623762376237624; 'macro avg': {'precision': 0.3811881188118812; 'recall': 0.5; 'f1-score': 0.43258426966292135; 'support': 606}; 'weighted avg': {'precision': 0.5812175276933634; 'recall': 0.7623762376237624; 'f1-score': 0.6595839359216821; 'support': 606}},{'0': {'precision': 0.7611940298507462; 'recall': 1.0; 'f1-score': 0.864406779661017; 'support': 51}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 16}; 'accuracy': 0.7611940298507462; 'macro avg': {'precision': 0.3805970149253731; 'recall': 0.5; 'f1-score': 0.4322033898305085; 'support': 67}; 'weighted avg': {'precision': 0.5794163510804188; 'recall': 0.7611940298507462; 'f1-score': 0.6579812800404756; 'support': 67}}
l: 5,1,CNF,8,606,67,37,[16; 17],64,0.778299,0.626866,1,[X0 < 11.000000],{'0': {'precision': 0.8892857142857142; 'recall': 0.538961038961039; 'f1-score': 0.6711590296495957; 'support': 462}; '1': {'precision': 0.34662576687116564; 'recall': 0.7847222222222222; 'f1-score': 0.48085106382978715; 'support': 144}; 'accuracy': 0.5973597359735974; 'macro avg': {'precision': 0.6179557405784399; 'recall': 0.6618416305916306; 'f1-score': 0.5760050467396914; 'support': 606}; 'weighted avg': {'precision': 0.760336815890178; 'recall': 0.5973597359735974; 'f1-score': 0.6259373348013244; 'support': 606}},{'0': {'precision': 1.0; 'recall': 0.5098039215686274; 'f1-score': 0.6753246753246753; 'support': 51}; '1': {'precision': 0.3902439024390244; 'recall': 1.0; 'f1-score': 0.5614035087719299; 'support': 16}; 'accuracy': 0.6268656716417911; 'macro avg': {'precision': 0.6951219512195121; 'recall': 0.7549019607843137; 'f1-score': 0.6183640920483027; 'support': 67}; 'weighted avg': {'precision': 0.8543866035675282; 'recall': 0.6268656716417911; 'f1-score': 0.6481196206255122; 'support': 67}}
l: 5,1,CNF,9,606,67,37,[16; 17],64,0.758324,0.746269,1,[X0 < 4.000000],{'0': {'precision': 0.8100686498855835; 'recall': 0.7662337662337663; 'f1-score': 0.7875417130144605; 'support': 462}; '1': {'precision': 0.3609467455621302; 'recall': 0.4236111111111111; 'f1-score': 0.38977635782747605; 'support': 144}; 'accuracy': 0.6848184818481848; 'macro avg': {'precision': 0.5855076977238568; 'recall': 0.5949224386724387; 'f1-score': 0.5886590354209683; 'support': 606}; 'weighted avg': {'precision': 0.7033466132146639; 'recall': 0.6848184818481848; 'f1-score': 0.6930232127720087; 'support': 606}},{'0': {'precision': 0.8035714285714286; 'recall': 0.8823529411764706; 'f1-score': 0.8411214953271029; 'support': 51}; '1': {'precision': 0.45454545454545453; 'recall': 0.3125; 'f1-score': 0.3703703703703703; 'support': 16}; 'accuracy': 0.746268656716418; 'macro avg': {'precision': 0.6290584415584416; 'recall': 0.5974264705882353; 'f1-score': 0.6057459328487366; 'support': 67}; 'weighted avg': {'precision': 0.7202219422368676; 'recall': 0.746268656716418; 'f1-score': 0.7287033162329578; 'support': 67}}
